# Generalized Rosenzweig-Porter model RPSF
# size=3500x3500, gamma=2.25
# CDF of level statistics r_S
# r_S CDF
3.648799999999999821e-01 0.000000000000000000e+00
3.695499999999999896e-01 1.100000000000000039e-04
3.699299999999999811e-01 2.200000000000000078e-04
3.709700000000000220e-01 3.299999999999999982e-04
3.723000000000000198e-01 4.400000000000000157e-04
3.736700000000000021e-01 5.599999999999999509e-04
3.738299999999999956e-01 6.700000000000000226e-04
3.740399999999999836e-01 7.799999999999999859e-04
3.740999999999999881e-01 8.899999999999999491e-04
3.743299999999999961e-01 1.000000000000000021e-03
3.745200000000000196e-01 1.110000000000000092e-03
3.748199999999999865e-01 1.219999999999999947e-03
3.752800000000000025e-01 1.330000000000000019e-03
3.755200000000000204e-01 1.440000000000000091e-03
3.756099999999999994e-01 1.559999999999999972e-03
3.757199999999999984e-01 1.670000000000000043e-03
3.757199999999999984e-01 1.779999999999999898e-03
3.762099999999999889e-01 1.889999999999999970e-03
3.763500000000000179e-01 2.000000000000000042e-03
3.765200000000000213e-01 2.109999999999999896e-03
3.765600000000000058e-01 2.220000000000000185e-03
3.767599999999999838e-01 2.330000000000000040e-03
3.767900000000000138e-01 2.439999999999999895e-03
3.768000000000000238e-01 2.560000000000000209e-03
3.770299999999999763e-01 2.670000000000000064e-03
3.771399999999999753e-01 2.779999999999999919e-03
3.771700000000000053e-01 2.890000000000000208e-03
3.772599999999999842e-01 3.000000000000000062e-03
3.772699999999999942e-01 3.109999999999999917e-03
3.773500000000000187e-01 3.220000000000000206e-03
3.773699999999999832e-01 3.330000000000000061e-03
3.774199999999999777e-01 3.439999999999999915e-03
3.774299999999999877e-01 3.559999999999999797e-03
3.775399999999999867e-01 3.670000000000000085e-03
3.775600000000000067e-01 3.779999999999999940e-03
3.775999999999999912e-01 3.889999999999999795e-03
3.776200000000000112e-01 4.000000000000000083e-03
3.776399999999999757e-01 4.109999999999999938e-03
3.776499999999999857e-01 4.219999999999999793e-03
3.776900000000000257e-01 4.329999999999999648e-03
3.777599999999999847e-01 4.440000000000000370e-03
3.777699999999999947e-01 4.559999999999999817e-03
3.777800000000000047e-01 4.669999999999999672e-03
3.777800000000000047e-01 4.780000000000000394e-03
3.778699999999999837e-01 4.890000000000000249e-03
3.780200000000000227e-01 5.000000000000000104e-03
3.781100000000000017e-01 5.109999999999999959e-03
3.782200000000000006e-01 5.219999999999999814e-03
3.782499999999999751e-01 5.329999999999999669e-03
3.782699999999999951e-01 5.449999999999999983e-03
3.782800000000000051e-01 5.559999999999999838e-03
3.783599999999999741e-01 5.669999999999999693e-03
3.783699999999999841e-01 5.780000000000000415e-03
3.784100000000000241e-01 5.890000000000000270e-03
3.784199999999999786e-01 6.000000000000000125e-03
3.784899999999999931e-01 6.109999999999999980e-03
3.785899999999999821e-01 6.219999999999999835e-03
3.785899999999999821e-01 6.329999999999999689e-03
3.786599999999999966e-01 6.450000000000000004e-03
3.786599999999999966e-01 6.559999999999999859e-03
3.786800000000000166e-01 6.669999999999999714e-03
3.786999999999999811e-01 6.779999999999999569e-03
3.787099999999999911e-01 6.890000000000000291e-03
3.787200000000000011e-01 7.000000000000000146e-03
3.787499999999999756e-01 7.110000000000000001e-03
3.788300000000000001e-01 7.219999999999999855e-03
3.788400000000000101e-01 7.329999999999999710e-03
3.788900000000000046e-01 7.450000000000000025e-03
3.789799999999999836e-01 7.559999999999999880e-03
3.790100000000000136e-01 7.669999999999999735e-03
3.790600000000000080e-01 7.779999999999999589e-03
3.790999999999999925e-01 7.889999999999999444e-03
3.791599999999999970e-01 8.000000000000000167e-03
3.791700000000000070e-01 8.109999999999999154e-03
3.791900000000000270e-01 8.219999999999999876e-03
3.791900000000000270e-01 8.330000000000000598e-03
3.791999999999999815e-01 8.449999999999999178e-03
3.792200000000000015e-01 8.559999999999999901e-03
3.792499999999999760e-01 8.670000000000000623e-03
3.793400000000000105e-01 8.779999999999999610e-03
3.793599999999999750e-01 8.890000000000000333e-03
3.793900000000000050e-01 8.999999999999999320e-03
3.794500000000000095e-01 9.110000000000000042e-03
3.794600000000000195e-01 9.220000000000000764e-03
3.794899999999999940e-01 9.329999999999999752e-03
3.795200000000000240e-01 9.450000000000000067e-03
3.796300000000000230e-01 9.560000000000000789e-03
3.796399999999999775e-01 9.669999999999999776e-03
3.796499999999999875e-01 9.780000000000000498e-03
3.796999999999999820e-01 9.889999999999999486e-03
3.797099999999999920e-01 1.000000000000000021e-02
3.797400000000000220e-01 1.010999999999999920e-02
3.797400000000000220e-01 1.021999999999999992e-02
3.797499999999999765e-01 1.033000000000000064e-02
3.797699999999999965e-01 1.044999999999999922e-02
3.797900000000000165e-01 1.055999999999999994e-02
3.798199999999999910e-01 1.067000000000000066e-02
3.798199999999999910e-01 1.077999999999999965e-02
3.798799999999999955e-01 1.089000000000000037e-02
3.798900000000000055e-01 1.099999999999999936e-02
3.799299999999999899e-01 1.111000000000000008e-02
3.799600000000000199e-01 1.122000000000000081e-02
3.800000000000000044e-01 1.132999999999999979e-02
3.800200000000000244e-01 1.145000000000000011e-02
3.800499999999999989e-01 1.156000000000000083e-02
3.800899999999999834e-01 1.166999999999999982e-02
3.801100000000000034e-01 1.178000000000000054e-02
3.802300000000000124e-01 1.188999999999999953e-02
3.802300000000000124e-01 1.200000000000000025e-02
3.802699999999999969e-01 1.210999999999999924e-02
3.802699999999999969e-01 1.221999999999999996e-02
3.803199999999999914e-01 1.233000000000000068e-02
3.803500000000000214e-01 1.244999999999999926e-02
3.803799999999999959e-01 1.255999999999999998e-02
3.804699999999999749e-01 1.267000000000000071e-02
3.804799999999999849e-01 1.277999999999999969e-02
3.805000000000000049e-01 1.289000000000000042e-02
3.805299999999999794e-01 1.299999999999999940e-02
3.805499999999999994e-01 1.311000000000000013e-02
3.805700000000000194e-01 1.322000000000000085e-02
3.805700000000000194e-01 1.332999999999999984e-02
3.805999999999999939e-01 1.345000000000000015e-02
3.806100000000000039e-01 1.355999999999999914e-02
3.806499999999999884e-01 1.366999999999999986e-02
3.806599999999999984e-01 1.378000000000000058e-02
3.806700000000000084e-01 1.388999999999999957e-02
3.806899999999999729e-01 1.400000000000000029e-02
3.807499999999999774e-01 1.410999999999999928e-02
3.807499999999999774e-01 1.422000000000000000e-02
3.807699999999999974e-01 1.433000000000000072e-02
3.807800000000000074e-01 1.444999999999999930e-02
3.807900000000000174e-01 1.456000000000000003e-02
3.808099999999999818e-01 1.467000000000000075e-02
3.808300000000000018e-01 1.477999999999999974e-02
3.808500000000000218e-01 1.489000000000000046e-02
