# Rosenzweig-Porter model
# size=3500x3500, gamma=0.5
# CDF of level statistics r_S
# r_S CDF
5.107800000000000118e-01 0.000000000000000000e+00
5.219300000000000050e-01 5.000999999999999890e-02
5.238899999999999668e-01 1.000100000000000017e-01
5.251400000000000512e-01 1.500199999999999867e-01
5.261500000000000066e-01 2.000200000000000033e-01
5.270399999999999530e-01 2.500299999999999745e-01
5.279199999999999449e-01 3.000300000000000189e-01
5.286399999999999988e-01 3.500400000000000178e-01
5.293099999999999472e-01 4.000400000000000067e-01
5.299700000000000522e-01 4.500500000000000056e-01
5.306100000000000261e-01 5.000599999999999490e-01
5.312999999999999945e-01 5.500599999999999934e-01
5.319500000000000339e-01 6.000699999999999923e-01
5.326199999999999823e-01 6.500700000000000367e-01
5.333599999999999453e-01 7.000800000000000356e-01
5.341599999999999682e-01 7.500799999999999690e-01
5.350700000000000456e-01 8.000899999999999679e-01
5.361000000000000210e-01 8.500900000000000123e-01
5.373999999999999888e-01 9.001000000000000112e-01
5.393999999999999906e-01 9.501100000000000101e-01
