# Transverse-field Ising model
# L=6, J=1, f=0.5, W_J=0.2, W=1.5
# Correlations between the gap ratio r_S and V (the rescaled ratio between variances of off-diagonal and diagonal hamiltonian matrix elements)
# V r_S
2.490566990499999966e-01 4.648244646999999952e-01
2.763256292199999797e-01 6.137842426999999823e-01
2.370823024400000034e-01 3.847191993499999851e-01
3.349906295299999726e-01 5.135925501600000498e-01
2.970063505700000217e-01 5.242729512399999514e-01
2.357660550300000046e-01 2.950718854700000171e-01
2.639987804300000240e-01 4.690817532600000117e-01
3.122093311599999921e-01 5.303085407900000048e-01
1.834645432600000015e-01 4.275584405299999724e-01
2.103673301400000029e-01 4.932589012499999925e-01
1.719383314500000093e-01 3.968840327200000018e-01
6.585485794600000053e-01 5.677068625300000226e-01
2.969461384900000112e-01 4.623201319999999948e-01
1.874393098799999879e-01 5.508594220900000504e-01
2.271019576099999882e-01 4.880021020399999965e-01
3.553852324899999804e-01 5.636202485500000359e-01
1.890563138999999948e-01 4.462228414700000201e-01
2.082717678000000072e-01 3.980188593499999761e-01
3.291572821100000046e-01 5.682141429000000521e-01
2.340386656900000084e-01 5.151750540299999681e-01
2.664394429399999931e-01 4.099298401300000005e-01
2.122340870399999913e-01 3.570167511099999746e-01
1.790382446300000097e-01 3.826014969200000060e-01
2.467435774099999979e-01 5.548656549999999577e-01
1.853452472600000123e-01 3.739643507400000066e-01
1.838650879400000049e-01 4.196742013900000012e-01
2.844285523100000268e-01 4.428528121699999986e-01
2.176570729800000048e-01 4.123222329599999791e-01
2.067762350500000068e-01 4.438053892200000128e-01
1.998822076900000078e-01 4.156621605999999969e-01
1.655823498800000071e-01 4.132229085499999899e-01
2.780424807699999890e-01 6.227345777299999607e-01
2.433667044900000020e-01 5.236194740099999745e-01
2.095107144099999930e-01 4.861630346599999930e-01
2.705178826599999864e-01 4.174456576400000229e-01
2.707160235500000178e-01 5.011435314800000151e-01
3.375966695000000017e-01 5.174091080299999534e-01
2.231088975899999938e-01 4.918625952899999820e-01
2.098633202100000095e-01 6.091813091900000199e-01
2.380290797899999866e-01 4.706272215100000267e-01
2.472469130299999873e-01 3.900236566999999988e-01
2.043228878799999981e-01 5.470365485300000552e-01
3.378288951999999790e-01 5.875436550200000552e-01
2.420237474599999938e-01 3.670250084100000199e-01
2.199854739000000059e-01 3.777117704099999806e-01
3.234143403099999925e-01 5.342814450599999709e-01
2.114321514599999952e-01 4.792175807299999812e-01
1.967979734099999933e-01 4.641163680500000055e-01
2.451299036700000100e-01 5.344609352400000457e-01
2.756608674100000100e-01 5.851004449700000221e-01
1.544035284199999913e-01 4.279707983100000113e-01
2.407363967599999988e-01 4.188250894500000210e-01
1.512816620699999892e-01 3.918364038200000121e-01
2.276259932699999933e-01 4.876807252300000006e-01
2.930284044500000018e-01 4.283311420099999989e-01
1.551206285600000012e-01 3.267387040299999934e-01
1.950987266700000000e-01 5.057277893299999549e-01
5.293378877300000118e-01 4.418464948799999958e-01
2.017706653999999933e-01 3.972295458299999749e-01
2.313614818799999973e-01 4.769908226099999760e-01
2.357103265499999878e-01 5.091492859799999771e-01
2.872651007600000028e-01 6.015318212500000428e-01
2.068108065800000062e-01 4.728478070200000105e-01
1.763556343100000090e-01 4.329305291900000241e-01
3.001177886699999964e-01 4.996344472700000039e-01
2.672972795199999863e-01 5.074620698699999766e-01
1.950495034099999914e-01 5.363583866600000194e-01
1.840210767200000097e-01 3.649035141099999935e-01
2.189285013700000004e-01 5.543356677699999846e-01
2.618961883800000057e-01 4.782769072799999965e-01
2.182427753500000012e-01 6.006746380699999888e-01
3.299497450600000215e-01 5.088483242800000417e-01
2.504345349200000070e-01 4.113671175399999935e-01
1.746126080300000050e-01 4.319183644099999775e-01
3.882168712399999833e-01 4.215111279400000077e-01
2.516017326500000206e-01 4.055702535599999825e-01
3.760495349199999837e-01 5.476492238500000331e-01
1.680430934000000098e-01 4.564569143700000220e-01
1.590956467699999877e-01 3.732996598600000215e-01
2.385350934200000106e-01 4.844349158699999824e-01
1.912540501099999901e-01 3.519893375700000049e-01
1.864086630300000047e-01 3.800730302399999982e-01
1.677572096999999929e-01 3.912719146699999984e-01
1.866154999599999864e-01 4.889579843099999823e-01
2.671218422900000222e-01 4.722290631900000202e-01
2.370204503799999973e-01 5.642650649899999538e-01
1.345310234400000082e-01 4.885912337200000177e-01
1.605656379200000039e-01 5.046369965600000507e-01
2.670834750500000188e-01 5.209602960400000482e-01
2.849959149099999811e-01 6.007224072100000312e-01
1.978741740399999893e-01 3.734753769499999931e-01
1.711122489799999924e-01 6.056520046600000207e-01
3.648153510200000116e-01 5.462476411500000184e-01
3.995252442800000248e-01 5.387889742999999454e-01
3.513657429200000015e-01 5.458214167599999556e-01
2.578737542499999758e-01 5.251496422100000450e-01
4.652719094700000224e-01 4.719287696600000248e-01
2.671849236100000136e-01 5.253335708599999876e-01
1.483972826999999939e-01 5.076360083400000001e-01
2.826359906300000002e-01 5.741343902600000160e-01
2.058805239200000026e-01 5.129107498199999560e-01
2.148568794600000109e-01 4.517086659399999760e-01
2.686332621899999995e-01 3.803703676899999886e-01
1.542820944099999869e-01 3.566326142899999829e-01
2.618864595800000084e-01 4.947926535500000167e-01
2.544279362299999847e-01 5.313355750499999530e-01
2.872481600099999755e-01 4.030709833100000195e-01
1.980270953999999917e-01 3.301282512900000077e-01
2.159032855599999912e-01 3.871649154399999793e-01
1.844954624100000051e-01 5.586351174600000524e-01
2.311980798100000123e-01 4.820324000599999770e-01
2.163965709200000032e-01 5.259841575899999455e-01
3.062861680599999747e-01 4.325171155499999975e-01
2.410022427500000120e-01 5.692206682399999496e-01
3.232818816399999906e-01 6.087709059200000494e-01
1.947329793900000050e-01 4.397814905399999863e-01
2.230602306199999940e-01 3.577771964199999988e-01
2.166021487400000001e-01 4.619249315699999747e-01
2.732319522800000233e-01 4.366779605900000250e-01
2.220940961300000016e-01 4.558452423300000111e-01
1.636543875900000056e-01 6.016037013599999650e-01
2.215389876499999910e-01 5.327688448299999768e-01
1.853844192300000138e-01 4.324247754700000224e-01
1.969385598500000001e-01 4.067887388499999979e-01
1.765525756100000121e-01 3.414992492200000229e-01
2.141237393700000102e-01 5.431464330599999890e-01
2.001350771300000053e-01 4.570786893100000081e-01
2.067334252699999930e-01 4.512152757999999819e-01
4.984666946899999895e-01 5.121187088799999954e-01
1.897383173199999884e-01 3.588578998499999950e-01
2.185041766799999952e-01 5.208432162899999662e-01
3.660190124500000142e-01 5.509316836400000028e-01
1.918137898099999961e-01 4.367019153300000234e-01
2.233918934299999881e-01 4.603134975900000092e-01
4.338581958600000177e-01 4.834321952200000272e-01
2.048216250800000138e-01 4.996469890099999867e-01
1.848487546500000023e-01 3.713359298200000214e-01
