# Transverse-field Ising model
# L=8, J=1, f=0.5, W_J=0.2, W=0.9
# Correlations between the gap ratio r_S and V (the rescaled ratio between variances of off-diagonal and diagonal hamiltonian matrix elements)
# V r_S
5.280737510399999834e-01 5.148755908200000064e-01
4.780251271400000057e-01 5.417136933499999696e-01
4.439815507200000066e-01 5.381526606099999999e-01
5.210591111900000350e-01 5.457048763299999772e-01
4.076726692100000049e-01 5.472248362899999607e-01
5.130355414999999697e-01 5.059122351499999448e-01
5.973308852499999988e-01 5.250554898200000542e-01
4.185757542699999889e-01 5.109192343199999709e-01
4.439440549399999991e-01 5.375686518600000241e-01
4.019439172100000013e-01 4.939892825000000154e-01
5.968079727599999718e-01 5.888324604800000417e-01
4.723088613099999944e-01 5.811714103999999770e-01
5.290858725399999463e-01 5.482225558000000110e-01
4.970658949099999724e-01 5.113017062900000465e-01
4.534362288600000124e-01 5.445168451299999823e-01
4.121452476399999898e-01 5.154085726299999504e-01
7.014489266900000297e-01 5.725666107200000354e-01
3.982927845400000000e-01 5.443534985000000326e-01
4.839328031499999794e-01 5.028168600700000379e-01
4.195723130399999778e-01 5.318030154499999718e-01
4.215136265000000160e-01 5.184754722100000102e-01
4.355886132199999761e-01 5.045042610600000144e-01
6.042707406599999720e-01 4.589449168599999962e-01
6.527985845499999495e-01 4.347350880199999934e-01
5.139226110700000349e-01 5.379206644599999754e-01
3.991118978800000106e-01 5.338206629999999731e-01
5.106490330099999753e-01 4.767377571199999942e-01
4.409397422799999910e-01 5.190066733999999515e-01
4.859261916900000089e-01 5.828973710899999494e-01
4.250529993700000175e-01 5.094312785300000312e-01
4.577633235199999873e-01 4.706113411599999741e-01
4.379826465300000193e-01 5.204575635399999456e-01
3.691827664399999764e-01 4.445435479100000031e-01
5.595696374799999928e-01 5.362535957499999784e-01
4.299503044599999879e-01 4.924355146800000194e-01
5.577108121299999555e-01 5.834177207699999812e-01
5.839812588499999624e-01 5.611612199200000095e-01
7.201796410899999890e-01 5.105874629800000175e-01
4.746499334100000023e-01 5.245729663399999465e-01
8.083788782099999848e-01 4.917318295700000008e-01
4.658644013100000092e-01 4.875297574299999881e-01
4.333065342199999836e-01 6.011940524500000160e-01
5.621205504499999783e-01 5.872906693199999584e-01
4.022443994100000086e-01 5.197816250100000257e-01
4.562391511600000227e-01 4.709331291400000175e-01
6.220015273000000233e-01 5.411823629099999922e-01
3.975947061199999744e-01 5.564894727600000479e-01
5.059400698599999524e-01 5.418009826699999865e-01
4.627470346199999973e-01 5.044481120799999552e-01
4.555633306099999835e-01 5.444114595100000287e-01
4.688736907800000187e-01 4.632080664200000086e-01
4.904843188699999912e-01 5.549444619900000264e-01
5.263669593299999949e-01 5.251419743199999823e-01
5.752625503199999546e-01 5.361020652500000372e-01
4.722496837899999855e-01 4.599905819699999787e-01
5.081115349799999459e-01 5.424677037299999727e-01
5.604106931200000252e-01 5.801796526000000398e-01
7.161859503099999857e-01 5.397314384100000417e-01
4.992393069100000136e-01 5.311134242899999691e-01
4.590700163099999953e-01 4.795741368499999990e-01
3.948510460199999850e-01 4.944867307399999912e-01
8.231861210099999937e-01 5.390080658900000543e-01
4.622638308400000007e-01 5.476582341300000323e-01
4.097473741300000083e-01 4.695293933499999905e-01
4.410955362299999738e-01 5.264534996999999938e-01
5.204184051500000407e-01 5.388423256500000091e-01
4.640233723400000176e-01 5.328364063499999581e-01
5.282907520999999829e-01 5.704286629200000514e-01
4.093490140700000168e-01 5.361186222699999560e-01
5.016865050600000098e-01 5.140606045700000237e-01
4.032931934699999776e-01 4.994856724399999726e-01
4.110832259600000205e-01 5.293219139100000525e-01
5.133140727299999595e-01 5.520308583799999891e-01
4.577349519600000249e-01 5.301584843000000102e-01
5.800590093599999886e-01 5.196920728599999650e-01
5.508081144099999937e-01 4.862017817900000094e-01
5.034934870499999660e-01 4.949509450699999813e-01
4.512290699300000041e-01 5.420091903000000544e-01
5.143926898899999767e-01 5.307880276099999906e-01
3.630419516200000252e-01 5.067002083199999563e-01
4.093004776199999917e-01 4.936788221499999740e-01
5.157538263299999981e-01 5.432381413300000350e-01
5.014762759199999920e-01 6.128678360599999486e-01
6.311045876699999946e-01 5.164231953700000322e-01
4.959401950999999809e-01 5.591769461500000205e-01
4.523062280199999785e-01 5.883532163000000370e-01
4.669411412200000222e-01 5.289137696400000310e-01
4.364564490999999768e-01 5.077371684000000496e-01
4.489875009300000053e-01 5.435772834500000039e-01
4.381984407799999759e-01 5.037704432599999782e-01
4.998592553999999799e-01 5.371315932100000357e-01
5.411814094600000402e-01 5.706674677799999928e-01
4.610445103599999928e-01 5.566095753099999932e-01
5.160466177500000473e-01 5.034256797499999658e-01
4.650933719600000016e-01 4.891276413699999770e-01
4.041179192800000153e-01 5.063861902399999781e-01
4.879230750199999855e-01 5.118449151699999700e-01
5.591072297500000454e-01 5.687023564700000033e-01
4.157879114799999942e-01 4.925866533100000111e-01
4.506234940400000166e-01 5.291804370899999554e-01
4.610103681000000120e-01 4.856980168500000250e-01
4.282818318600000174e-01 5.081741551699999748e-01
5.161430022099999793e-01 5.138853771200000420e-01
3.774033521399999813e-01 5.028310840799999903e-01
4.537546894799999730e-01 5.940661846800000534e-01
5.632907574300000109e-01 5.170748183000000164e-01
4.337535552499999780e-01 4.864943224800000188e-01
6.437163176400000353e-01 5.467376082299999496e-01
5.189233808400000036e-01 5.475526165699999837e-01
4.091462894599999789e-01 5.081394338700000457e-01
5.547670221599999563e-01 4.780644882100000270e-01
3.480139705099999925e-01 5.198488688200000318e-01
4.966655337199999964e-01 4.873708165799999770e-01
4.650833568500000181e-01 4.875390011599999851e-01
3.052616522500000151e-01 5.089275879000000335e-01
4.127188942600000243e-01 5.074869109799999833e-01
5.571308639499999993e-01 5.114683573099999547e-01
4.662699108400000236e-01 5.222861118499999566e-01
6.199557383199999494e-01 4.938378890299999768e-01
4.601393399300000020e-01 4.958819361599999809e-01
4.363811490799999748e-01 4.886600280499999727e-01
3.871712673800000171e-01 4.817161455499999745e-01
4.584612555300000003e-01 4.628405833600000019e-01
5.126547779800000315e-01 5.418932534399999446e-01
