# Transverse-field Ising model
# L=10, J=1, f=0.5, W_J=0.2, W=2.0
# Correlations between the gap ratio r_S and V (the rescaled ratio between variances of off-diagonal and diagonal hamiltonian matrix elements)
# V r_S
1.775362674800000096e-01 4.230981118800000162e-01
1.590452354199999863e-01 3.777538741099999986e-01
1.601620681200000007e-01 4.153211885699999995e-01
1.805824817999999998e-01 3.853805280000000000e-01
1.824793017399999884e-01 4.209320300000000126e-01
2.694099153300000271e-01 4.865060965899999923e-01
1.593673242599999984e-01 3.985605766399999972e-01
2.109063328499999890e-01 4.448910575900000275e-01
1.488344554000000097e-01 4.048014597299999795e-01
1.773845112000000113e-01 4.240684871100000031e-01
1.553337748099999915e-01 4.174349205199999746e-01
1.215519683199999951e-01 3.950128567499999743e-01
1.540606996799999961e-01 4.291437422900000187e-01
1.629311955299999892e-01 3.913869004400000184e-01
1.265177247500000046e-01 3.975396377300000061e-01
1.348327266400000113e-01 4.075036881899999908e-01
1.487926699000000075e-01 4.016531334199999748e-01
2.604320570399999979e-01 4.548673840199999874e-01
1.435707506499999953e-01 3.961055557200000021e-01
9.201355839500000022e-02 4.261524234399999833e-01
1.415256630700000018e-01 4.127759503199999735e-01
2.525604968899999858e-01 4.987000536899999781e-01
1.194796152300000025e-01 3.957395908299999876e-01
1.777656888299999904e-01 4.176377338200000233e-01
1.404290688000000009e-01 4.327062819999999976e-01
1.194084888699999958e-01 4.116372937900000251e-01
2.481612526499999971e-01 4.662134887000000116e-01
1.307029302100000123e-01 3.932117205599999776e-01
1.796859164400000097e-01 4.139575116399999977e-01
1.919521521499999994e-01 4.310973999100000120e-01
1.720057532900000075e-01 3.995004275699999829e-01
1.805177776999999928e-01 4.404222247499999798e-01
1.254213716600000028e-01 4.011950700699999928e-01
2.125690053500000065e-01 4.300591448300000175e-01
1.392114109800000055e-01 3.885848478000000217e-01
1.283600209100000111e-01 4.094427855000000172e-01
1.934008741200000103e-01 4.299480794500000203e-01
1.495223496499999971e-01 4.573669888399999883e-01
2.724210548600000115e-01 4.900095348399999828e-01
2.019389974799999932e-01 4.302896284500000168e-01
1.407084294100000021e-01 3.803277520300000214e-01
1.455305401199999960e-01 4.156046598900000055e-01
1.005896592200000023e-01 3.986710506100000218e-01
1.780635946899999933e-01 4.593564433399999758e-01
1.745365946799999901e-01 4.488331259100000192e-01
1.607621841200000123e-01 4.172218140400000275e-01
1.421092878599999887e-01 4.008111405800000027e-01
1.633800833600000113e-01 4.295014159600000214e-01
1.509978983899999960e-01 4.183055807700000184e-01
1.826923132699999897e-01 4.303755961399999830e-01
1.263114998400000077e-01 4.003809808400000114e-01
2.113112801400000018e-01 4.478565977599999748e-01
1.818172030699999886e-01 4.292564307799999757e-01
