# Transverse-field Ising model
# L=12, J=1, f=0.5, W_J=0.2, W=1.2
# Correlations between the gap ratio r_S and V (the rescaled ratio between variances of off-diagonal and diagonal hamiltonian matrix elements)
# V r_S
4.287863386499999874e-01 5.242864031699999705e-01
3.223876282099999990e-01 5.011597644399999885e-01
3.817036292100000061e-01 5.382160659400000435e-01
3.144564275899999761e-01 4.803788783999999867e-01
3.092851004900000200e-01 5.071779616499999532e-01
3.606828773799999888e-01 5.059796379000000011e-01
3.869964911400000096e-01 5.116008248700000260e-01
3.108246660799999783e-01 4.903080740599999876e-01
3.842112168499999814e-01 5.197649507599999552e-01
2.858301220100000206e-01 4.794154367499999791e-01
3.076747371999999925e-01 4.917601159200000183e-01
2.913133336900000092e-01 5.120135988599999743e-01
3.250736431999999843e-01 5.074229818000000058e-01
4.123737896099999856e-01 5.361644846099999917e-01
3.616518221999999727e-01 5.335565718600000507e-01
2.983301781800000163e-01 4.759067118199999946e-01
2.985983158000000137e-01 5.145930130600000485e-01
2.956797335899999934e-01 5.023745697400000543e-01
3.307996975699999953e-01 4.863570286200000203e-01
4.149762826599999732e-01 5.268863599499999939e-01
2.918394322499999749e-01 5.176144320300000157e-01
3.294286586299999819e-01 5.127837795099999818e-01
3.554071384799999955e-01 4.996668772399999736e-01
3.030735901500000162e-01 4.911385264400000006e-01
2.883332254200000055e-01 4.764902826299999838e-01
3.109911411399999825e-01 4.980123826799999764e-01
3.156879078700000063e-01 4.912039984000000081e-01
3.904834130500000056e-01 5.267363206999999825e-01
3.545511223100000220e-01 5.245551377099999524e-01
2.834974185899999943e-01 4.914424175700000119e-01
2.435643699699999998e-01 4.779372433699999867e-01
2.850205211699999852e-01 4.876692618299999782e-01
3.498560437700000136e-01 5.230056850300000004e-01
4.222251802599999992e-01 5.363533056000000521e-01
4.803994969700000062e-01 5.396515196100000189e-01
3.542781176400000009e-01 5.137440094499999832e-01
3.694013768200000158e-01 5.236837884899999684e-01
4.457280550100000127e-01 5.249077237300000531e-01
3.258504285700000169e-01 5.083646319100000310e-01
2.991953665100000048e-01 4.905648407900000119e-01
3.088184592800000128e-01 5.304937402399999558e-01
3.502988577999999742e-01 5.210158013700000312e-01
3.243060597199999839e-01 5.075957362799999872e-01
4.194550449800000247e-01 5.298679827600000225e-01
3.308829415099999727e-01 4.998797884499999733e-01
3.494626972100000062e-01 5.310474639900000238e-01
3.767236351400000127e-01 5.320223069499999680e-01
2.985091429699999743e-01 5.131176723400000528e-01
3.549194475599999898e-01 5.317986005999999488e-01
3.468587106500000128e-01 5.213946641400000193e-01
3.063003674299999979e-01 5.124183308899999956e-01
3.116837499099999742e-01 5.067557303699999904e-01
4.171887518899999869e-01 5.247400089599999484e-01
2.794190665599999845e-01 4.787183440500000220e-01
5.004893238500000008e-01 5.171323241099999857e-01
3.308104084799999844e-01 5.298740549699999525e-01
3.745042885100000052e-01 5.246578978200000520e-01
4.287680425600000067e-01 5.383916838000000205e-01
3.072108472799999768e-01 5.022529096100000201e-01
4.482217219699999866e-01 5.360547866799999506e-01
3.339609460599999857e-01 5.029120200600000201e-01
3.101506173299999891e-01 5.013143293299999748e-01
3.236777071699999953e-01 5.256700352199999982e-01
3.314703743399999847e-01 5.068143275399999981e-01
3.850837614700000078e-01 5.277218476999999686e-01
3.421882371500000186e-01 4.963830611500000267e-01
4.908839644399999869e-01 5.404468205600000408e-01
4.443783114800000100e-01 5.320475810100000480e-01
2.467141545800000113e-01 4.747127446400000172e-01
4.260922755100000070e-01 5.334154830299999706e-01
3.134066633900000065e-01 4.955269289800000032e-01
3.357302205600000145e-01 5.248401537300000363e-01
2.619718359300000077e-01 4.871349622100000221e-01
3.359691415100000134e-01 5.168484331899999562e-01
3.387126803500000172e-01 5.114586926499999908e-01
3.210335643500000224e-01 5.207551523000000238e-01
4.510139375600000222e-01 5.279524660900000166e-01
2.803184609900000179e-01 4.866838683199999904e-01
4.356276418600000255e-01 5.205597421200000019e-01
4.343960470700000132e-01 5.225267384999999765e-01
3.123830275300000237e-01 5.174102817200000315e-01
3.162953364500000197e-01 4.983943352599999876e-01
2.938470100200000212e-01 4.848349489400000101e-01
3.535125467799999921e-01 5.208680328200000487e-01
3.001545121099999935e-01 4.832688577600000035e-01
3.323350420899999769e-01 5.074903449900000085e-01
2.765479654899999917e-01 5.101098149999999665e-01
3.925002451699999839e-01 5.179804998700000551e-01
3.008064297499999928e-01 5.022230856499999563e-01
3.258953157899999731e-01 5.121073999399999854e-01
4.920282040699999748e-01 5.182288515799999828e-01
3.720417494800000169e-01 5.154812423900000384e-01
3.042597681800000009e-01 4.985711432100000118e-01
3.748560791800000236e-01 5.080003361999999578e-01
3.332113228999999954e-01 5.117147185999999515e-01
4.682509923100000027e-01 5.378608987699999844e-01
3.170475115999999982e-01 4.944513363099999892e-01
3.697762974800000157e-01 5.425148741699999944e-01
4.117159736900000144e-01 5.147269492599999552e-01
3.312327000799999976e-01 5.111307658799999487e-01
3.866575269699999984e-01 5.259074266200000070e-01
