# Heisenberg model
# L=12, J=1, W=2.5
# Correlations between the gap ratio r_S and V (the rescaled ratio between variances of off-diagonal and diagonal hamiltonian matrix elements)
# V r_S
2.652569900000000258e-01 4.902000000000000246e-01
2.370523700000000122e-01 4.378000000000000225e-01
2.852649300000000276e-01 4.722000000000000086e-01
3.647798099999999821e-01 4.781000000000000250e-01
3.151085299999999978e-01 4.647000000000000020e-01
1.431891200000000031e-01 4.842000000000000193e-01
2.975473699999999777e-01 4.577999999999999847e-01
2.020670599999999928e-01 4.355999999999999872e-01
2.434090700000000052e-01 4.950999999999999845e-01
2.618992399999999776e-01 4.440999999999999948e-01
1.941955999999999960e-01 4.596999999999999975e-01
4.158645000000000258e-01 5.168000000000000371e-01
2.316788499999999917e-01 4.330999999999999850e-01
2.449955500000000064e-01 4.627000000000000002e-01
3.157264000000000181e-01 5.175999999999999490e-01
2.867508799999999858e-01 4.398000000000000242e-01
2.278516700000000061e-01 4.319999999999999951e-01
2.284549800000000019e-01 4.395000000000000018e-01
1.860306399999999971e-01 4.122999999999999998e-01
2.016657699999999942e-01 4.485999999999999988e-01
3.036524500000000182e-01 4.389000000000000123e-01
3.315416500000000211e-01 4.844999999999999862e-01
2.116757200000000116e-01 4.462999999999999745e-01
1.736082399999999970e-01 4.310999999999999832e-01
1.642222899999999930e-01 3.998999999999999777e-01
3.008004799999999812e-01 5.074999999999999512e-01
3.101217299999999844e-01 4.390000000000000013e-01
2.367603400000000136e-01 4.428000000000000269e-01
2.022725400000000007e-01 4.087999999999999967e-01
2.451457599999999903e-01 4.491999999999999882e-01
1.777383600000000119e-01 4.838000000000000078e-01
5.541694400000000131e-01 5.190000000000000169e-01
2.876345299999999994e-01 4.672000000000000042e-01
2.531890500000000266e-01 4.454000000000000181e-01
2.114577099999999932e-01 4.274000000000000021e-01
2.081753399999999865e-01 4.215999999999999748e-01
2.019481800000000049e-01 4.636000000000000121e-01
2.203223699999999896e-01 4.157000000000000139e-01
2.450025000000000119e-01 4.682999999999999940e-01
2.162057400000000074e-01 4.772000000000000131e-01
3.472350100000000106e-01 4.762000000000000122e-01
1.918256000000000128e-01 3.958999999999999742e-01
1.579922099999999940e-01 4.153999999999999915e-01
2.122083200000000058e-01 4.161000000000000254e-01
2.124842299999999962e-01 4.457999999999999741e-01
1.479441599999999912e-01 3.854000000000000203e-01
2.530443399999999787e-01 4.512999999999999790e-01
2.087947500000000012e-01 5.372000000000000108e-01
2.046782299999999888e-01 4.169999999999999818e-01
2.908271000000000051e-01 4.495999999999999996e-01
1.808597000000000121e-01 4.541000000000000036e-01
1.868111500000000091e-01 4.456999999999999851e-01
3.029852100000000048e-01 4.784999999999999809e-01
3.283882599999999874e-01 4.884000000000000008e-01
