# Heisenberg model
# L=16, J=1, W=2.5
# Correlations between the gap ratio r_S and V (the rescaled ratio between variances of off-diagonal and diagonal hamiltonian matrix elements)
# V r_S
2.311893899999999946e-01 4.349999999999999978e-01
1.938439999999999885e-01 4.122999999999999998e-01
1.986467199999999989e-01 4.818999999999999950e-01
2.258863600000000083e-01 4.459000000000000186e-01
1.718888500000000097e-01 4.132000000000000117e-01
2.405244599999999955e-01 4.737999999999999989e-01
2.620916899999999883e-01 5.020000000000000018e-01
2.351662800000000053e-01 5.234999999999999654e-01
1.401780699999999880e-01 4.248000000000000109e-01
2.356597800000000131e-01 4.712000000000000077e-01
3.624022000000000077e-01 5.251000000000000112e-01
3.652868799999999805e-01 5.272000000000000020e-01
2.680088500000000207e-01 4.494000000000000217e-01
2.448004099999999961e-01 5.111999999999999877e-01
2.146933199999999931e-01 4.304000000000000048e-01
2.993909799999999732e-01 4.995999999999999885e-01
2.193864100000000039e-01 4.445999999999999952e-01
1.933535600000000076e-01 4.423000000000000265e-01
3.020965899999999982e-01 5.040000000000000036e-01
2.324472700000000114e-01 4.873000000000000109e-01
1.472208100000000075e-01 4.172000000000000153e-01
1.770704300000000009e-01 4.380999999999999894e-01
2.231328800000000057e-01 5.037000000000000366e-01
2.489721000000000017e-01 4.932000000000000273e-01
2.137824299999999955e-01 4.433000000000000274e-01
1.731229200000000135e-01 4.010000000000000231e-01
1.823624600000000040e-01 4.447999999999999732e-01
2.261892500000000084e-01 4.701000000000000179e-01
2.568907200000000168e-01 4.646000000000000130e-01
3.173596399999999984e-01 5.195999999999999508e-01
2.331890299999999916e-01 4.761000000000000232e-01
2.235535100000000108e-01 4.506000000000000005e-01
3.365468999999999822e-01 5.263999999999999790e-01
2.661834100000000092e-01 5.011999999999999789e-01
2.584076200000000045e-01 4.893000000000000127e-01
1.958553500000000114e-01 4.555000000000000160e-01
2.776523300000000027e-01 5.030000000000000027e-01
2.577748499999999998e-01 4.920999999999999819e-01
2.084452499999999986e-01 4.524000000000000243e-01
1.986791800000000108e-01 4.230999999999999761e-01
2.209311100000000139e-01 5.243999999999999773e-01
2.130785400000000107e-01 4.683999999999999830e-01
2.498764099999999932e-01 4.494000000000000217e-01
2.601555500000000132e-01 4.855999999999999761e-01
1.900990999999999931e-01 4.371999999999999775e-01
1.765403700000000020e-01 4.153999999999999915e-01
2.263405699999999909e-01 5.106000000000000538e-01
2.271686699999999892e-01 5.076000000000000512e-01
1.958651399999999931e-01 4.228999999999999981e-01
3.111360599999999921e-01 5.355999999999999650e-01
1.967093199999999931e-01 4.268000000000000127e-01
1.923501300000000080e-01 4.237000000000000210e-01
2.062248299999999979e-01 4.405999999999999917e-01
2.429973900000000075e-01 4.461999999999999855e-01
1.717704800000000032e-01 4.179999999999999827e-01
2.549594399999999816e-01 4.777000000000000135e-01
2.791346499999999842e-01 4.882000000000000228e-01
2.895710000000000228e-01 4.783999999999999919e-01
