# Transverse-field Ising model
# L=14, J=1, f=0.5, W_J=0.2
# The variance of the gap ratio obtained for fixed W
# V_inf(W) sigma^2(r_S)*10^-3
4.777070063694267565e-01 1.795299034175412006e-02
3.409090909090908839e-01 1.398516877575017303e-01
2.757352941176470784e-01 7.177974822199253424e-01
2.491694352159468662e-01 9.818246080777427442e-01
2.259036144578313032e-01 1.124305911259076529e+00
2.054794520547945369e-01 1.108287047607304565e+00
1.875000000000000000e-01 9.389392470256401335e-01
1.716247139588100712e-01 7.435060012651369954e-01
1.575630252100840289e-01 5.364007961782049083e-01
1.239669421487603479e-01 2.096030086340637255e-01
7.684426229508196926e-02 2.733709148991270849e-02
3.569728700618752387e-02 2.022222593533565260e-02
