# Transverse-field Ising model
# L=14, J=1, f=0.5, W_J=0.2
# The variance of the gap ratio obtained for fixed V
# V sigma^2(r_S)*10^-4
4.632701048627749923e-02 1.748230817673387671e-01
5.316324315539500134e-02 2.118198264635194894e-01
5.754895799890499819e-02 1.946935311738087482e-01
6.159710529307749899e-02 2.042937197541924432e-01
6.499806279120749763e-02 1.828884033274567611e-01
6.812597273692999611e-02 2.003471722262542831e-01
7.115979449360000653e-02 2.006965707875060512e-01
7.413352753143000184e-02 2.009669482434967569e-01
7.714680024307750406e-02 2.172128507562747501e-01
8.005926649423250607e-02 1.933618507992869440e-01
8.318689591685750340e-02 1.868182708912227430e-01
8.649431557215252198e-02 1.880933254400271037e-01
8.999204890493001097e-02 2.060101874242649955e-01
9.360415949498500365e-02 1.859384327312458007e-01
9.734588236289748453e-02 1.854511473100257379e-01
1.014208925864700100e-01 2.044927223111834558e-01
1.054863584447749969e-01 1.854056504496853497e-01
1.096925625309499996e-01 2.005967861438545385e-01
1.141724576015999970e-01 2.473818653572705528e-01
1.188012330457749871e-01 2.646552044975821749e-01
1.239562688521749917e-01 2.323994776083780356e-01
1.296967515188499898e-01 3.011375300439868563e-01
1.352104720494999857e-01 3.003941626329912906e-01
1.414958294688999918e-01 4.092776727154970318e-01
1.479801551764000078e-01 4.308540409095810708e-01
1.540658456933000076e-01 6.786291354711574408e-01
1.611916544111750005e-01 6.893749811919814841e-01
1.687654856295000005e-01 7.385610965726087107e-01
1.771388532364500112e-01 9.369626043314847053e-01
1.859861456499000143e-01 1.263585832384841900e+00
1.954760061110999980e-01 1.595533243715571814e+00
2.052267194035749809e-01 1.962061838148316362e+00
2.155921164867999895e-01 2.215823505370593693e+00
2.269928785147750094e-01 2.374840795466568455e+00
2.392979280579250190e-01 2.337252882817309363e+00
2.520967991084749893e-01 2.300244408454965139e+00
2.660433391776250156e-01 2.211416725424637075e+00
2.795837176942750357e-01 1.693210607271131707e+00
2.953121402759499858e-01 1.275282404373394129e+00
3.140328143387749460e-01 9.535588764650413385e-01
3.332466690944249632e-01 6.212441703514665070e-01
3.538021311406500113e-01 4.453382354197215620e-01
3.761327258609749591e-01 2.610790487044074015e-01
4.004488174898749309e-01 1.781040656269718137e-01
4.269594237052249941e-01 1.630937350990922519e-01
4.564276634187500181e-01 1.784307168560494705e-01
4.863273283543749215e-01 1.692667558681252293e-01
5.211062265109499547e-01 1.710848990812648684e-01
5.634628488342999786e-01 1.751158494302259561e-01
6.329216669290750330e-01 1.725507549918013084e-01
