# Heisenberg model
# L=16, J=1
# The variance of the gap ratio obtained for fixed W
# V_inf(W) sigma^2(r_S)*10^-3
4.261363636363636465e-01 2.119560651044145871e-02
2.491694352159468662e-01 2.201654334193020937e-02
1.575630252100840289e-01 4.181766582504513052e-01
1.288106483469300123e-01 9.845146056929826583e-01
1.069900142653352343e-01 1.383023035953875324e+00
9.316770186335403270e-02 1.409190166402063404e+00
7.684426229508196926e-02 1.065337694370657839e+00
5.764796310530361650e-02 4.811025268079114903e-01
4.474940334128878205e-02 1.885163846882801086e-01
2.911490683229813609e-02 5.245286353370359755e-02
2.040261153427638807e-02 2.877483515362150995e-02
1.507234726688102926e-02 2.458416241890506310e-02
1.158122297714638503e-02 2.222151727383657807e-02
