# Heisenberg model
# L=16, J=1
# The variance of the gap ratio obtained for fixed V
# V sigma^2(r_S)*10^-4
1.808480253796750092e-02 2.278818185097343241e-01
2.020086802601999895e-02 2.841304236093443736e-01
2.137554046278499972e-02 2.357982953498242440e-01
2.230913676688750166e-02 2.404961660383599653e-01
2.310872780621250205e-02 2.210924611660775307e-01
2.381545848012500341e-02 2.279338904552773992e-01
2.442523228389250137e-02 2.406995558297943261e-01
2.502827251664249686e-02 2.287375927146093058e-01
2.562627537582500351e-02 2.645321835823775114e-01
2.619818562057999595e-02 2.661686176487100264e-01
2.673405299309750127e-02 2.230673966314976053e-01
2.729245306891999942e-02 2.484544792336493280e-01
2.785042771564250064e-02 2.596774739875744586e-01
2.839297662406749939e-02 2.620307366269976623e-01
2.892948030888249644e-02 2.737387311303944859e-01
2.945110041591500125e-02 2.378882841255993419e-01
2.993439986694250432e-02 2.273139594204998948e-01
3.039845047918749918e-02 2.522520293821944315e-01
3.086320086225000092e-02 2.302676206968775896e-01
3.136534174541000253e-02 2.355740979221743470e-01
3.187454303224500352e-02 2.446461712445743286e-01
3.238525517405500126e-02 2.416052007258943368e-01
3.288655831712000016e-02 2.645159824187342523e-01
3.338868252130750003e-02 2.401177024780994651e-01
3.393430434436749826e-02 2.854765593500773191e-01
3.443448577492499996e-02 2.437126286204743808e-01
3.495723855856249646e-02 2.583998595855994673e-01
3.549638421929499771e-02 2.776145580943902291e-01
3.603980735988249889e-02 2.619479642958974508e-01
3.657556623781999666e-02 2.488710869434244410e-01
3.708932424935999783e-02 2.669759155377344761e-01
3.764593462673999913e-02 2.634570277302101249e-01
3.819552734230999974e-02 2.279175595871693605e-01
3.879693285392250141e-02 2.758433089271098426e-01
3.938953661344250096e-02 2.741904861555243822e-01
3.998760439795250032e-02 2.437619524877974730e-01
4.060312241695750168e-02 3.362841887076092884e-01
4.125434638196999459e-02 2.445942392753693850e-01
4.187222749277250133e-02 2.914626031805898076e-01
4.248890849316499380e-02 2.576914412378102370e-01
4.308750661574750618e-02 2.242371208875899580e-01
4.372984621397749821e-02 2.720361818392599274e-01
4.437754650632250164e-02 2.185481047633743845e-01
4.507732530239499241e-02 2.649691974708899278e-01
4.576700391869001350e-02 2.768689356730774653e-01
4.650452020080750315e-02 2.841310963211093887e-01
4.726750677449000071e-02 2.750559774913493571e-01
4.797521596482499234e-02 2.627064841144601259e-01
4.869110372426749961e-02 2.794948677039943985e-01
4.947087448372999852e-02 2.644060977032994808e-01
5.027107603477750514e-02 2.969648409960743973e-01
5.107062620102750805e-02 2.915517059754744733e-01
5.184054340391749949e-02 2.464640595721194205e-01
5.263173252785999928e-02 2.715627341218975754e-01
5.346175019690000557e-02 3.339090077770100473e-01
5.435371980068250813e-02 4.577591388525776850e-01
5.529067658019249515e-02 3.402514463358399244e-01
5.624897157334499825e-02 2.971599217569373952e-01
5.717336308188500360e-02 3.337698324969377017e-01
5.810474899900750639e-02 2.901545210271775921e-01
5.909254505279249586e-02 4.320120911001975039e-01
6.005938305856499404e-02 2.944828367918493339e-01
6.107536205926999279e-02 3.491251485057442761e-01
6.216845800172000197e-02 6.182854212194693888e-01
6.318097433055999690e-02 3.764286831139400658e-01
6.432721601631749553e-02 3.118433565858994561e-01
6.547208210353000490e-02 3.596698609997973639e-01
6.662478258084499061e-02 3.006625158679099297e-01
6.786217136988499654e-02 3.973093917630493577e-01
6.917702739356000607e-02 4.832781854027499713e-01
7.044846739224248922e-02 4.257716683378600098e-01
7.176852834464250708e-02 4.477433591835774385e-01
7.314139415944000133e-02 3.338933524884399318e-01
7.447236752748749578e-02 4.989530702848192778e-01
7.589124718156999017e-02 7.610625833443943611e-01
7.731996630274501348e-02 4.043066873734493250e-01
7.889459930265249610e-02 4.093411291000444430e-01
8.059423758462250231e-02 4.651573389944972936e-01
8.215791622158750973e-02 4.563865811027972286e-01
8.379615808416250589e-02 5.970140322107900799e-01
8.542205785347499469e-02 6.651896870928496464e-01
8.729483273098498364e-02 9.461195282226692038e-01
8.909420862594501223e-02 8.362957539258444317e-01
9.090918379411501438e-02 7.858592026470000436e-01
9.278141151245000717e-02 9.283343133384973633e-01
9.472092592688749479e-02 9.620699957831971849e-01
9.691248567820000270e-02 7.461000693641693937e-01
9.909935994820501248e-02 1.119418319869697642e+00
1.013558370783525092e-01 1.276001999443199475e+00
1.036187636763624964e-01 1.323562047836437605e+00
1.058387257400574960e-01 1.095177646163249863e+00
1.082183316714050020e-01 1.315592367198439749e+00
1.106628321242074942e-01 1.355012739315740067e+00
1.131422909587599807e-01 1.382184823092694081e+00
1.156741578298475098e-01 1.860935391074234335e+00
1.185406110422874970e-01 1.571653786075659642e+00
1.213343291439149818e-01 3.149442312439744374e+00
1.244887394183875201e-01 2.214187123707969551e+00
1.275811013345400091e-01 2.348863647663859577e+00
1.306813671380000208e-01 2.662601041115610023e+00
1.338057242039900063e-01 3.628444699720174249e+00
1.371638057333625094e-01 2.788288376769437527e+00
1.406447221598274844e-01 2.747930051032944299e+00
1.441913669316449986e-01 3.747872103951733536e+00
1.480323526250424959e-01 4.168357460910734780e+00
1.524251052242474869e-01 4.034157617084998648e+00
1.565231892953949933e-01 4.268931376080733919e+00
1.609656857528649621e-01 4.191067071936398492e+00
1.655014404288225327e-01 4.912957009077249637e+00
1.699190838045600005e-01 5.381418036685697182e+00
1.746359940992149862e-01 5.306258501271268635e+00
1.795299296235975117e-01 6.178190912955937364e+00
1.847290253270324756e-01 6.369211911389099257e+00
1.903054423343875090e-01 6.571277414723250665e+00
1.962057824349174862e-01 7.418738362709098588e+00
2.018611588338675156e-01 7.485523187943010193e+00
2.076065547391824917e-01 6.714780364109984134e+00
2.139775080903800197e-01 6.848485991846437138e+00
2.207686409201825017e-01 6.708609943932041020e+00
2.275053393747049901e-01 6.545978868359360270e+00
2.348792183120124721e-01 6.777944250283890248e+00
2.422951615196999586e-01 6.222511503261879184e+00
2.494895937075075065e-01 5.464014552466793795e+00
2.578185430185649940e-01 4.847247232638898673e+00
2.665725473958425185e-01 5.038260645193484599e+00
2.760335889918499874e-01 3.803203396428984195e+00
2.852278582163449983e-01 3.108365998667149910e+00
2.947563199703250314e-01 2.778912660825437086e+00
3.044501542823849771e-01 2.136665377363677010e+00
3.151393801791950167e-01 1.510918725983639854e+00
3.271474980433025093e-01 1.195413171879548875e+00
3.390623985173399912e-01 8.404665238007748007e-01
3.520623118565100462e-01 5.388041743358394919e-01
3.654365246342874962e-01 4.695334712174776270e-01
3.793177569489949996e-01 3.078995478390400553e-01
3.946010352300500235e-01 2.837085033186495520e-01
4.097567104861624676e-01 2.353088438072443445e-01
4.253243124991624158e-01 2.553864223817993717e-01
4.431824756825424871e-01 2.154383260899242480e-01
4.613097693312400160e-01 1.890035769601098592e-01
4.831252955876225164e-01 2.209968089580190698e-01
5.035624801407749818e-01 2.288322601835244829e-01
5.252439511427025032e-01 2.255996480265195780e-01
5.483538872654899476e-01 2.388460097711776475e-01
5.717304312070224936e-01 2.084558990986093707e-01
5.975812430755025328e-01 2.276768351491400555e-01
6.251524348910799667e-01 2.171928268720742794e-01
6.539420164517776302e-01 2.323579880532243291e-01
6.836021860001625372e-01 2.146332406949443550e-01
7.156718630231574396e-01 2.118313418613098353e-01
7.474886567882225163e-01 2.299630975073440886e-01
7.868336484669126163e-01 2.453030853448101567e-01
8.315979513089498676e-01 2.305658858467600769e-01
8.861156946034723925e-01 2.140557221780693686e-01
9.755418188325599704e-01 2.248666298012501619e-01
