# Heisenberg S=1/2 chain with anisotropy 
# L=28, J=1.0 , Delta=1.5, Delta_{2}  = 0.00, deltaJ = 0.00, deltah = 0.00, F = 0.30
# Time-dependent dynamical diffusion D_{F}(t)
# Time tJ, Dynamical diffusion D_{F}(t)

  0.280000  0.098886
  0.480000  0.164871
  0.680000  0.223654
  0.880000  0.273379
  1.080000  0.313243
  1.280000  0.343101
  1.480000  0.363833
  1.680000  0.376741
  1.880000  0.383348
  2.080000  0.385371
  2.280000  0.384264
  2.480000  0.381345
  2.680000  0.377649
  2.880000  0.373851
  3.080000  0.370495
  3.280000  0.367735
  3.480000  0.365825
  3.680000  0.364686
  3.880000  0.364379
  4.080000  0.364778
  4.280000  0.365791
  4.480000  0.367266
  4.680000  0.369152
  4.880000  0.371126
  5.080000  0.373094
  5.280000  0.374845
  5.480000  0.376277
  5.680000  0.377337
  5.880000  0.378104
  6.080000  0.378547
  6.280000  0.378771
  6.480000  0.378831
  6.680000  0.378726
  6.880000  0.378402
  7.080000  0.377893
  7.280000  0.377135
  7.480000  0.376134
  7.680000  0.375076
  7.880000  0.373858
  8.080000  0.372593
  8.280000  0.371418
  8.480000  0.370232
  8.680000  0.369204
  8.880000  0.368220
  9.080000  0.367383
  9.280000  0.366736
  9.480000  0.366164
  9.680000  0.365905
  9.880000  0.365886
 10.080000  0.366269
 10.280000  0.367074
 10.480000  0.368335
 10.680000  0.369900
 10.880000  0.371598
 11.080000  0.373407
 11.280000  0.375069
 11.480000  0.376801
 11.680000  0.378535
 11.880000  0.380408
 12.080000  0.382423
 12.280000  0.384651
 12.480000  0.386887
 12.680000  0.389187
 12.880000  0.391483
 13.080000  0.393801
 13.280000  0.396300
 13.480000  0.398853
 13.680000  0.401448
 13.880000  0.403913
 14.080000  0.406347
 14.280000  0.408733
 14.480000  0.411290
 14.680000  0.414065
 14.880000  0.417032
 15.080000  0.420107
 15.280000  0.423024
 15.480000  0.425690
 15.680000  0.428025
 15.880000  0.430144
 16.080000  0.432147
 16.280000  0.434216
 16.480000  0.436290
 16.680000  0.438154
 16.880000  0.439727
 17.080000  0.440674
 17.280000  0.441032
 17.480000  0.440802
 17.680000  0.440305
 17.880000  0.439901
 18.080000  0.439686
 18.280000  0.439826
 18.480000  0.440149
 18.680000  0.440628
 18.880000  0.441150
 19.080000  0.441620
 19.280000  0.442249
 19.480000  0.443007
 19.680000  0.444063
 19.880000  0.445240
 20.080000  0.446473
 20.280000  0.447543
 20.480000  0.448718
 20.680000  0.450190
 20.880000  0.452136
 21.080000  0.454482
 21.280000  0.456923
 21.480000  0.458816
 21.680000  0.459886
 21.880000  0.459990
 22.080000  0.459481
 22.280000  0.458788
 22.480000  0.458339
 22.680000  0.458698
 22.880000  0.459610
 23.080000  0.461161
 23.280000  0.463110
 23.480000  0.465224
 23.680000  0.467416
 23.880000  0.469574
 24.080000  0.471717
 24.280000  0.473956
 24.480000  0.476217
 24.680000  0.478255
 24.880000  0.479872
 25.080000  0.480753
 25.280000  0.480861
 25.480000  0.480294
 25.680000  0.479330
 25.880000  0.478332
 26.080000  0.477579
 26.280000  0.476756
 26.480000  0.476084
 26.680000  0.475085
 26.880000  0.473933
 27.080000  0.472769
 27.280000  0.471837
 27.480000  0.471350
 27.680000  0.471584
 27.880000  0.472120
 28.080000  0.472545
 28.280000  0.472435
 28.480000  0.471547
 28.680000  0.469799
 28.880000  0.467793
 29.080000  0.465911
 29.280000  0.464612
 29.480000  0.463866
 29.680000  0.463619
 29.880000  0.463446
 30.080000  0.463168
 30.280000  0.462983
 30.480000  0.463117
 30.680000  0.463485
 30.880000  0.464251
 31.080000  0.464812
 31.280000  0.465210
 31.480000  0.465186
 31.680000  0.465167
 31.880000  0.465225
 32.080000  0.465685
 32.280000  0.466326
 32.480000  0.467294
 32.680000  0.468384
 32.880000  0.469600
 33.080000  0.470728
 33.280000  0.471692
 33.480000  0.472369
 33.680000  0.472725
 33.880000  0.473242
 34.080000  0.474244
 34.280000  0.475912
 34.480000  0.478142
 34.680000  0.480348
 34.880000  0.482456
 35.080000  0.484058
 35.280000  0.485166
 35.480000  0.486198
 35.680000  0.487279
 35.880000  0.488307
 36.080000  0.488891
 36.280000  0.488837
 36.480000  0.487710
