# Interacting fermions (standard model)
# L=14, Delta=1
# Statistical properties of ||N_i^perp||^2 from 10^4 curves 
# W median min
1.000000000000000000e+00 5.922855548620212240e-02 2.682108930904556973e-02
2.000000000000000000e+00 4.795128530158788982e-02 6.471237457776004079e-03
3.000000000000000000e+00 3.678480932039250584e-02 2.097148002200689785e-03
4.000000000000000000e+00 2.734175390254460492e-02 1.130137099623139190e-03
5.000000000000000000e+00 2.003479506213081893e-02 7.134160223846644630e-04
6.000000000000000000e+00 1.471624689673262966e-02 4.921475940425520902e-04
8.000000000000000000e+00 8.437056789444757898e-03 2.751349550320562713e-04
1.000000000000000000e+01 5.314416208165813338e-03 1.756090280723420231e-04
1.500000000000000000e+01 2.239897554093482276e-03 7.784520154299419176e-05
2.000000000000000000e+01 1.194818283375821124e-03 4.374871207544749085e-05
4.000000000000000000e+01 2.800221079834475926e-04 1.092782303833983357e-05
1.000000000000000000e+02 4.217362672030012502e-05 1.748037428126332279e-06
