# Interacting fermions (rescaled model)
# L=16, W=100
# Probability distribution of gap ratio r 
# r P(r)
1.666666669999999906e-02 1.944219527000000114e-01
5.000000000000000278e-02 4.741041496999999771e-01
8.333333330000000649e-02 6.810434967999999811e-01
1.166666667000000046e-01 8.400647197999999705e-01
1.499999999999999944e-01 9.641968185999999497e-01
1.833333333000000120e-01 1.057358149299999939e+00
2.166666667000000102e-01 1.130388989000000066e+00
2.500000000000000000e-01 1.179299831200000037e+00
2.833333332999999898e-01 1.213348702600000051e+00
3.166666666999999880e-01 1.233574060900000102e+00
3.499999999999999778e-01 1.243016740100000073e+00
3.833333333000000231e-01 1.244465159600000037e+00
4.166666667000000213e-01 1.238032821500000047e+00
4.500000000000000111e-01 1.225144428299999921e+00
4.833333333000000009e-01 1.205469638899999918e+00
5.166666667000000546e-01 1.187500765900000088e+00
5.500000000000000444e-01 1.162281324600000110e+00
5.833333333000000342e-01 1.138437458500000110e+00
6.166666667000000324e-01 1.105379611000000040e+00
6.500000000000000222e-01 1.078803229300000055e+00
6.833333333000000120e-01 1.053822650300000108e+00
7.166666667000000102e-01 1.021886269199999919e+00
7.500000000000000000e-01 9.935683959000000121e-01
7.833333332999999898e-01 9.650912811999999841e-01
8.166666666999999880e-01 9.330464804000000445e-01
8.499999999999999778e-01 9.047472416999999822e-01
8.833333332999999676e-01 8.724280035000000488e-01
9.166666666999999658e-01 8.480471210000000148e-01
9.499999999999999556e-01 8.171830785999999458e-01
9.833333332999999454e-01 7.938474299000000123e-01
