# Analytical predictions for the distributions of r 
# Probability distribution of gap ratio r 
# r Poisson GOE
1.666666669999999906e-02 1.934963719303377960e+00 1.096700490314490850e-01
5.000000000000000278e-02 1.814058956916099641e+00 3.118227626743299008e-01
8.333333330000000649e-02 1.704142011939190127e+00 4.909550506075539555e-01
1.166666667000000046e-01 1.603920694936544766e+00 6.474573153747467114e-01
1.499999999999999944e-01 1.512287334593573007e+00 7.821872703372815261e-01
1.833333333000000120e-01 1.428288038168147978e+00 8.963454636025661726e-01
2.166666667000000102e-01 1.351097766861602212e+00 9.913657127443841199e-01
2.500000000000000000e-01 1.280000000000000027e+00 1.068822319523228037e+00
2.833333332999999898e-01 1.214370045601961046e+00 1.130354298715591232e+00
3.166666666999999880e-01 1.153661272173601038e+00 1.177605722465637550e+00
3.499999999999999778e-01 1.097393689986282395e+00 1.212180593975276333e+00
3.833333333000000231e-01 1.045144433204672429e+00 1.235610304350864386e+00
4.166666667000000213e-01 9.965397923406471570e-01 1.249331616941098178e+00
4.500000000000000111e-01 9.512485136741973824e-01 1.254673191182242853e+00
4.833333333000000009e-01 9.089761394171941289e-01 1.252848823658263999e+00
5.166666667000000546e-01 8.694602100813327850e-01 1.244955807196693520e+00
5.500000000000000444e-01 8.324661810613942503e-01 1.231977053571063241e+00
5.833333333000000342e-01 7.977839335515962693e-01 1.214785863245779973e+00
6.166666667000000324e-01 7.652247847489735966e-01 1.194152448009512257e+00
6.500000000000000222e-01 7.346189164370983127e-01 1.170751507405608738e+00
6.833333333000000120e-01 7.058131556009359375e-01 1.145170325808420486e+00
7.166666667000000102e-01 6.786690545499469707e-01 1.117916997455630446e+00
7.500000000000000000e-01 6.530612244897958663e-01 1.089428497322279865e+00
7.833333332999999898e-01 6.288758843802217946e-01 1.060078404056784773e+00
8.166666666999999880e-01 6.060095951296843308e-01 1.030184152425153821e+00
8.499999999999999778e-01 5.843681519357194487e-01 1.000013742756158841e+00
8.833333332999999676e-01 5.638656120490929125e-01 9.697918733748123188e-01
9.166666666999999658e-01 5.444234404347497724e-01 9.397054923926665415e-01
9.499999999999999556e-01 5.259697567389874928e-01 9.099087822213904886e-01
9.833333332999999454e-01 5.084386696025715580e-01 8.805276030890163419e-01
