# Interacting fermions (standard model)
# L=16, Delta=1, W=2.0
# Diagonal matrix elements (A_i)_m in Hamiltonian eigenbasis, A_i=2n_i-1
# E_m/|E_0| (A_i)_m
-1.000000000000000000e+00 6.418526177000000166e-01
-9.218567271445952116e-01 4.482379591000000274e-01
-9.014281638768217864e-01 3.420292370999999942e-01
-8.792029201312117070e-01 4.619053604999999729e-01
-8.781375515798910403e-01 2.478534937000000105e-02
-8.715228792033019589e-01 5.936523595999999570e-01
-8.630621022655934338e-01 6.433503929999999649e-01
-8.597626082275707793e-01 6.879419785999999482e-01
-8.518968932811473715e-01 5.962879046000000294e-01
-8.415478630303734331e-01 5.578130999000000534e-01
-8.412102783989889865e-01 3.794012033999999978e-01
-8.351118893779898578e-01 6.602810738000000068e-01
-8.262336712365687674e-01 5.826954053999999772e-01
-8.236010617084830177e-01 -4.014158876999999737e-01
-8.195014776161156922e-01 3.455921451999999783e-01
-8.168545632430278536e-01 2.134864629999999874e-01
-8.145283545443385842e-01 7.289244328999999745e-01
-8.019076206073583180e-01 -7.731810470000000102e-01
-7.971112475881515502e-01 -1.192990577999999968e-01
-7.958761093343926785e-01 4.536573631999999967e-01
-7.940004911367308793e-01 6.091868701000000552e-01
-7.896067218712831126e-01 3.568204734000000045e-01
-7.856538677408081428e-01 3.609748838999999876e-01
-7.846614236163544920e-01 4.403115746999999858e-01
-7.817799591754032162e-01 6.704794652000000132e-01
-7.794015314813921291e-01 -6.755349215999999490e-01
-7.778428928155337596e-01 -7.484967586999999867e-01
-7.729774464257864741e-01 6.100870269999999485e-01
-7.688162349718735689e-01 5.926210109999999753e-01
-7.649459058429864955e-01 3.769087313000000217e-01
-7.636726142461112143e-01 5.837646189999999846e-01
-7.625259307786262930e-01 4.818303246999999789e-01
-7.596308130838368422e-01 4.308322715999999830e-01
-7.560370250853392093e-01 4.146463313000000039e-01
-7.529160671134469407e-01 -6.433910017999999731e-01
-7.527318714005591938e-01 6.379710903999999960e-01
-7.522608215471648929e-01 7.286721152999999784e-01
-7.516997891768290030e-01 3.775883684999999934e-01
-7.512774841828576688e-01 2.801049616999999881e-01
-7.445113243135995651e-01 4.369285184999999738e-01
-7.420555629908136552e-01 -1.898873822999999905e-01
-7.408728776078405964e-01 -7.284087416000000204e-01
-7.380444735211298957e-01 4.056616037999999924e-01
-7.371043418375803347e-01 -4.036677262000000210e-01
-7.366085266384648778e-01 4.546460189000000041e-01
-7.363463657545971097e-01 5.370399152999999481e-01
-7.348512917898994967e-01 4.794614032999999775e-01
-7.343145173522858116e-01 4.138568758000000236e-01
-7.329858421626812559e-01 -7.153709434999999672e-01
-7.319036253379991308e-01 4.763729311000000077e-01
-7.290277831481383197e-01 -6.983005529000000378e-01
-7.287973255958019037e-01 2.019188083000000022e-01
-7.236072247584474093e-01 -7.766857282000000362e-01
-7.227964840869520735e-01 6.908800349000000507e-01
-7.187620400208983851e-01 7.284401817000000223e-01
-7.178008344408073338e-01 7.738104709999999997e-01
-7.169711876882431945e-01 6.467402990999999712e-01
-7.145515962563530055e-01 4.436922992999999815e-01
-7.139589475495332627e-01 5.403760425000000422e-01
-7.128463393797559444e-01 -2.569538278000000134e-02
-7.127073012445281908e-01 1.111825748000000030e-01
-7.119058028815753447e-01 -5.073536267999999572e-01
-7.093219499807799089e-01 -1.347052014000000020e-01
-7.087178734545592773e-01 -2.546988278999999800e-01
-7.068633213081944033e-01 4.294732200999999971e-01
-7.063833441764204579e-01 1.049465537000000004e-01
-7.058466039963756655e-01 -4.056429245000000017e-01
-7.057166510032867324e-01 6.636270545000000354e-01
-7.014855922890197437e-01 -4.236671238999999978e-01
-7.012232013651409357e-01 2.818181705999999731e-01
-7.001796898401302371e-01 -7.851203826999999524e-01
-6.998273700084823856e-01 4.953692902999999870e-01
-6.978162657409234804e-01 6.326929783000000418e-01
-6.968465838968584958e-01 7.322940434000000387e-01
-6.956260598522545635e-01 -6.811960561000000025e-01
-6.934270862051832296e-01 5.817243235000000290e-01
-6.926164332260906775e-01 1.312111044000000004e-01
-6.908842227034935890e-01 3.045921858999999787e-01
-6.901333075151557805e-01 6.387636145999999737e-01
-6.897749519880171931e-01 5.594930604000000196e-01
-6.888343610961396024e-01 -1.582072519000000121e-01
-6.873233666890302684e-01 9.524052140000000000e-02
-6.841934609539525036e-01 -2.601808671999999989e-02
-6.835433902854693988e-01 7.073030918999999583e-01
-6.828280259110443007e-01 2.862914925000000221e-01
-6.826833844404831542e-01 4.447667754999999890e-01
-6.815366120602238675e-01 1.446805542000000055e-01
-6.800695332413559946e-01 1.282912401999999896e-01
-6.796414486555515388e-01 2.012786913000000066e-01
-6.794560452979830911e-01 5.365796608999999773e-01
-6.786062648578802259e-01 -1.281905296999999964e-02
-6.782957172064291163e-01 -1.757110836000000120e-01
-6.781822146456218947e-01 4.247148692000000114e-01
