# Interacting fermions (rescaled model)
# L=16,  W=1.0
# Diagonal matrix elements (A_i)_m in Hamiltonian eigenbasis, A_i=2n_i-1
# E_m/|E_0| (A_i)_m
-1.000000000000000000e+00 2.261611343999999912e-01
-9.675289676893591428e-01 3.244501790000000052e-01
-9.554914020281035647e-01 3.490110961999999817e-01
-9.306155592591461856e-01 4.346900481000000038e-01
-9.037577670974173971e-01 2.420148709000000120e-02
-9.003808752324814479e-01 -2.552044184000000215e-01
-8.967969043448664745e-01 3.114290891000000006e-01
-8.833993042691820063e-01 1.667182742999999967e-01
-8.779976579551348470e-01 -2.315968658999999902e-02
-8.668235601313919458e-01 8.360287916000000430e-02
-8.586575795056313742e-01 3.729963611000000068e-01
-8.559053371027738333e-01 5.636119922999999893e-02
-8.528778317340974802e-01 -1.639130209999999921e-01
-8.439158120233778426e-01 -1.488015205999999868e-01
-8.412926263012605599e-01 -1.095866345000000019e-01
-8.355554185488616170e-01 3.906931191999999942e-01
-8.290713267732090497e-01 -1.751013724000000105e-01
-8.253179794994118801e-01 1.626607945999999916e-02
-8.197285775417633147e-01 9.518172150999999748e-02
-8.167084177491373831e-01 9.020919496000000259e-02
-8.131840230196111241e-01 9.481723725000000547e-02
-8.076791343070155449e-01 2.704226162999999739e-01
-8.065475042165255459e-01 1.007702444999999947e-01
-8.012212121534080245e-01 3.689398971999999777e-01
-8.002712775022056135e-01 2.166378146999999865e-01
-7.978224334242901561e-01 -4.911134613999999787e-02
-7.937075802062723007e-01 1.193067809000000062e-01
-7.910921514389358533e-01 1.618467016000000036e-01
-7.894366805965258305e-01 2.574870315000000187e-01
-7.889333890340988198e-01 2.133386308999999856e-02
-7.829896669174237767e-01 4.926991090999999906e-02
-7.803321619193758218e-01 3.176303925000000250e-01
-7.784466645075815983e-01 1.936677460000000017e-01
-7.758371998779119982e-01 1.841737659999999888e-01
-7.746401375132739853e-01 1.842833426999999913e-01
-7.721839573592320649e-01 1.458995506000000109e-01
-7.699306439188804418e-01 1.224834018999999968e-01
-7.688235757217278810e-01 -6.865261959000000525e-02
-7.652190746444679226e-01 4.094109533999999995e-01
-7.642088445094723514e-01 -4.621874998000000123e-02
-7.630548982436291539e-01 2.930222437000000110e-02
-7.605575337843226702e-01 -5.895696521999999745e-02
-7.583056969950758841e-01 7.286980262999999576e-03
-7.570267002411528168e-01 -6.387511535999999823e-02
-7.552722987915329034e-01 1.639033830999999941e-01
-7.536675068413309919e-01 7.128528484000000442e-02
-7.529249686597053737e-01 5.366412888000000186e-02
-7.500505533918078171e-01 5.241669125000000123e-02
-7.492466505046082581e-01 4.967466278999999735e-02
-7.482485467557203895e-01 1.490873778000000038e-01
-7.472193412163909976e-01 1.295110990999999989e-01
-7.448825168263366603e-01 7.633752769000000382e-02
-7.421892057608848736e-01 4.525069770000000186e-02
-7.414099489854498737e-01 1.225651276999999983e-01
-7.393398501182967264e-01 3.109176283000000263e-01
-7.382273651498837408e-01 1.473032743000000089e-01
-7.363817064698521264e-01 6.545250864000000390e-02
-7.342910690872779256e-01 4.046951825999999808e-01
-7.323835826604339072e-01 2.079922361000000053e-01
-7.313546876298555599e-01 -7.160358976000000264e-02
-7.300954885040239484e-01 1.162724730999999956e-01
-7.297133531012895968e-01 6.351641684000000621e-02
-7.288271763893189314e-01 1.829057122999999951e-01
-7.270604329373391295e-01 1.545923294000000059e-01
-7.256873199028495147e-01 1.314991624000000081e-01
