# Interacting fermions (standard model)
# L=16, Delta=1, W=20.0
# Diagonal matrix elements (A_i)_m in Hamiltonian eigenbasis, A_i=2n_i-1
# E_m/|E_0| (A_i)_m
-1.000000000000000000e+00 9.930086979000000147e-01
-9.993760076044133633e-01 9.930125806999999805e-01
-9.837588775747179159e-01 -9.999980871000000437e-01
-9.692750447641192979e-01 9.930087008000000326e-01
-9.654165219181308766e-01 9.930083968999999788e-01
-9.536455113064248312e-01 -9.999994302000000390e-01
-9.530145181467448712e-01 -9.999980897000000368e-01
-9.353032844302689996e-01 9.930045171000000392e-01
-9.346721623627787245e-01 9.930083973000000119e-01
-9.313521346987496674e-01 9.930089415999999725e-01
-9.190426462286634957e-01 -9.999986593999999895e-01
-9.157349211082600471e-01 -9.999915851999999772e-01
-9.156190543863802489e-01 9.930125806999999805e-01
-9.151110577478632768e-01 -9.999902425000000150e-01
-9.101067790995596152e-01 9.929967349999999637e-01
-9.094827868313523078e-01 9.930006180999999543e-01
-8.938655696742433543e-01 -9.999986518000000268e-01
-8.895236389724437975e-01 9.932971009000000073e-01
-8.855058172806561378e-01 9.930087008000000326e-01
-8.850099659997586743e-01 -9.999915851999999772e-01
-8.848584436577422441e-01 9.930125811000000136e-01
-8.793818239910582424e-01 9.929967378999999816e-01
-8.740168851090336366e-01 -9.999602748999999458e-01
-8.736554958838116391e-01 9.973086489000000388e-01
-8.703531426015330696e-01 -9.952956683000000471e-01
-8.697296207449304317e-01 -9.952840428000000461e-01
-8.692452896442478538e-01 -9.999980897000000368e-01
-8.637522034059504916e-01 -9.999999949000000221e-01
-8.631212102462705316e-01 -9.999986544000000199e-01
-8.608078984456800642e-01 -9.999363500000000293e-01
-8.595519965240218108e-01 9.930086979000000147e-01
-8.555641559611254499e-01 9.932928653999999469e-01
-8.509029315674547789e-01 9.930083973000000119e-01
-8.475955268058885661e-01 9.930089415999999725e-01
-8.469552817084651242e-01 9.930128244000000493e-01
-8.439346927490165573e-01 -9.999994302000000390e-01
-8.433108766463247585e-01 -9.999980870000000355e-01
-8.432900398197028524e-01 -9.999602765999999754e-01
-8.429566141632837128e-01 9.939237681000000491e-01
-8.423106855306875529e-01 9.932876414000000320e-01
-8.406305971732287441e-01 9.970988670999999526e-01
-8.400061939795309129e-01 9.971311945999999926e-01
-8.396281872382731493e-01 -9.952956644999999547e-01
-8.361902308369142389e-01 -9.953649809000000293e-01
-8.313544474347961399e-01 -9.999902425000000150e-01
-8.277745938503939804e-01 -9.999368267999999560e-01
-8.271507290888252539e-01 -9.999353867000000395e-01
-8.268483102190935519e-01 -9.999372163999999952e-01
-8.257261613601533101e-01 9.930006180999999543e-01
-8.255930779302017575e-01 9.930045141000000131e-01
-8.249691329196995326e-01 9.930083968999999788e-01
-8.248373025195221420e-01 9.932928665000000379e-01
-8.207412548043684364e-01 9.941336638000000114e-01
-8.201172561671981054e-01 9.941379675999999499e-01
-8.168543205241014515e-01 9.930089444999999904e-01
-8.132097848982203780e-01 -9.999994302000000390e-01
-8.101484261687520450e-01 9.941197725999999513e-01
-8.099056418099688237e-01 9.970990130000000340e-01
-8.093518449397224535e-01 -9.999986569000000047e-01
-8.093181955429207264e-01 -9.999616238999999851e-01
-8.071382136511485728e-01 -9.978140624000000347e-01
-8.063334024481730866e-01 -9.978162171000000136e-01
-8.060764989901468835e-01 -9.953708635000000360e-01
-8.057666869008237587e-01 9.932971009000000073e-01
-8.054496383957777672e-01 -9.998579593999999959e-01
-8.054458715363205235e-01 -9.953651258000000279e-01
-8.053690632441109498e-01 -9.999527338000000487e-01
-8.017003817332087889e-01 -9.952940020999999637e-01
-8.012410814212616028e-01 -9.999915852999999855e-01
-8.005938368335375754e-01 -9.999902451000000081e-01
-7.996304201100715714e-01 9.932853985999999802e-01
-7.970496387418926076e-01 -9.999368267999999560e-01
-7.961032326268565606e-01 -9.999372158999999538e-01
-7.956129242544293101e-01 9.929967378999999816e-01
-7.949655506315154163e-01 9.930006184999999874e-01
-7.948681699520262489e-01 9.930045170000000310e-01
-7.924968646674853678e-01 9.932948342999999847e-01
-7.900162995684877343e-01 9.941336670999999514e-01
-7.898985452133635565e-01 9.973086490000000470e-01
-7.892579786106895812e-01 9.973434270000000046e-01
-7.885184615065342628e-01 9.930086979000000147e-01
-7.878793977243618851e-01 9.930125806999999805e-01
-7.859726675268973173e-01 -9.952840428000000461e-01
-7.846851281638385078e-01 9.971004646000000138e-01
-7.841236039582036854e-01 -9.999616056000000253e-01
-7.808749611596595974e-01 -9.953699387000000121e-01
-7.802514628682198916e-01 -9.953639869999999501e-01
-7.793523096179867382e-01 -9.999986544000000199e-01
-7.792384786714294798e-01 -1.000000000000000000e+00
-7.786075327694548243e-01 -9.999986593999999895e-01
-7.770509429348200214e-01 -9.999363500000000293e-01
-7.767907404813562122e-01 9.930123849999999974e-01
-7.764132413464470694e-01 -9.978140638000000395e-01
-7.761889781867301608e-01 9.941139843999999837e-01
-7.754291601404970091e-01 9.941235997999999796e-01
-7.753362746750699364e-01 -9.998595042000000266e-01
-7.752776282450360990e-01 -9.999915848999999524e-01
-7.750235822859347090e-01 9.932971019999999873e-01
-7.747052789678048335e-01 -9.998579625000000304e-01
-7.723738161322755147e-01 -9.978165897999999867e-01
-7.722773392086312860e-01 -9.999980870000000355e-01
-7.709146007355461849e-01 -9.999372071000000028e-01
-7.696495876302260619e-01 9.929967346000000417e-01
-7.647264316096458181e-01 9.941283046000000123e-01
-7.599863688805091888e-01 -9.952248475999999622e-01
-7.595208118267227082e-01 -9.999602765999999754e-01
-7.591996640023525034e-01 9.939237681000000491e-01
-7.591573386768178944e-01 9.973088639999999616e-01
-7.590363234126547010e-01 -9.999350994000000270e-01
-7.587662860065772508e-01 9.930123851000000057e-01
-7.585594163573438076e-01 9.939278194999999760e-01
-7.585537278543803552e-01 9.932876414000000320e-01
-7.577784364126188832e-01 9.930087008000000326e-01
-7.562492384686708702e-01 9.971311945999999926e-01
-7.558589597548099892e-01 -9.952956643999999464e-01
-7.552120570530179711e-01 -9.952842568999999973e-01
-7.540321968551866316e-01 -9.999999950000000304e-01
-7.539356082199319964e-01 9.930083968999999788e-01
-7.534083807524949439e-01 -9.999986518000000268e-01
-7.533967586688727902e-01 -9.999616081000000101e-01
-7.501500057963995660e-01 -9.953699339999999562e-01
-7.500519551020062847e-01 -9.998605006999999878e-01
-7.494280890666449313e-01 -9.998589573999999702e-01
-7.467070776551693045e-01 9.929905539000000170e-01
-7.466233459180767751e-01 9.930125724999999681e-01
-7.462896141692972884e-01 -9.999363494999999880e-01
-7.454640100855443041e-01 9.941141007999999557e-01
-7.433937763803091237e-01 -9.999353867000000395e-01
-7.431374373397809929e-01 -9.999799658000000369e-01
-7.424413807651195629e-01 -9.978144396000000471e-01
-7.421639731950968599e-01 -9.999994302000000390e-01
-7.416294416735500494e-01 -9.978167068000000084e-01
-7.415179097952445675e-01 -9.999980896000000286e-01
-7.410680722337152915e-01 9.932928665000000379e-01
-7.384903770102316800e-01 -9.978134505000000321e-01
-7.371029130764954473e-01 9.932973458999999616e-01
-7.363603005289589554e-01 9.941379675999999499e-01
-7.335688830342272926e-01 -9.999602748999999458e-01
-7.301519040861925713e-01 9.974754755000000417e-01
-7.299051384886586780e-01 -9.952956682000000388e-01
-7.284584575931860595e-01 9.939237712999999808e-01
-7.277923945032042097e-01 9.932876377999999562e-01
-7.264470024102765988e-01 -9.953013697000000493e-01
-7.263914752435455258e-01 9.941197726999999595e-01
-7.261364120336789574e-01 9.970990130000000340e-01
-7.256154046228546761e-01 9.941293749999999818e-01
-7.254886276126537581e-01 9.971311992000000402e-01
-7.247951304694503216e-01 9.930082014000000123e-01
-7.238223711142079964e-01 9.930045171000000392e-01
-7.233072890043904524e-01 -9.999999949000000221e-01
-7.231761786791659485e-01 9.930083973000000119e-01
-7.225764488480019843e-01 -9.978162171000000136e-01
-7.216766407409966888e-01 -9.953651258000000279e-01
-7.216124540774571106e-01 -9.999527338000000487e-01
-7.212278624653879477e-01 9.973093441999999476e-01
-7.202552545640851234e-01 9.941134623999999809e-01
-7.198463136423176589e-01 9.930089415999999725e-01
-7.193269998661255826e-01 -9.998605005999999795e-01
-7.179437739677267949e-01 -9.952940020999999637e-01
-7.174085059393024988e-01 -9.998909340999999618e-01
-7.173039991545288041e-01 -9.952823476000000058e-01
-7.172449163231525704e-01 -9.978144300000000300e-01
-7.171433480505126079e-01 9.930125803999999556e-01
-7.165101085575943385e-01 9.930086926000000203e-01
-7.164401048654185367e-01 -9.978165814999999661e-01
-7.158789850889321071e-01 9.930125729000000012e-01
-7.158737957852858713e-01 9.932853986999999885e-01
-7.151167658162810303e-01 9.932928653999999469e-01
-7.132804117679464317e-01 -9.999368267999999560e-01
-7.132381612140370475e-01 -9.952807006999999651e-01
-7.126331657790504481e-01 -9.999353895000000492e-01
-7.123340005577399880e-01 -9.999372158999999538e-01
