# Interacting fermions (rescaled model)
# L=16,  W=20.0
# Diagonal matrix elements (A_i)_m in Hamiltonian eigenbasis, A_i=2n_i-1
# E_m/|E_0| (A_i)_m
-1.000000000000000000e+00 5.614812836000000473e-01
-9.491461067535323926e-01 5.626508958000000504e-01
-9.380116692285220825e-01 -3.146898631999999751e-01
-9.214179861412661321e-01 -9.988460558999999739e-01
-9.175483975848166551e-01 5.115112529999999991e-01
-9.128399265948555774e-01 7.711564161999999722e-01
-8.888608658924253003e-01 2.803682160000000034e-01
-8.875922230683074288e-01 -3.089062692000000276e-01
-8.873414187571627698e-01 5.394504786999999579e-01
-8.867006434617688004e-01 -8.853026579999999646e-01
-8.850073464446137628e-01 7.410624322000000097e-01
-8.783482080265009317e-01 5.418720720999999907e-01
-8.742628218676452567e-01 -1.016951960999999960e-01
-8.737795696924279820e-01 -9.903603570000000245e-01
-8.681234933931533115e-01 1.469141972000000129e-01
-8.668692008370131319e-01 -7.686713855000000262e-01
-8.657397819312540044e-01 4.742778284999999983e-01
-8.630325774396445659e-01 2.776499069999999736e-01
-8.559949880761695828e-01 -1.306478792000000111e-01
-8.491442814307673670e-01 7.798868093999999918e-01
-8.442001255009753402e-01 7.572443451999999464e-01
-8.411730948397312391e-01 2.468787533000000034e-01
-8.386501518465463434e-01 -8.757154309000000358e-01
-8.382643041024980812e-01 9.414359754999999941e-02
-8.315519948291262287e-01 2.870805225999999988e-01
-8.301707040228379908e-01 -6.945391945000000122e-01
-8.301542565418557063e-01 -5.569034135000000552e-01
-8.299173006387410290e-01 7.776880081999999472e-01
-8.277093203414540579e-01 7.396864171000000487e-01
-8.256547668165591380e-01 -9.719859596000000046e-01
-8.240436738854026721e-01 9.366512018000000550e-02
-8.239745457425460273e-01 3.040405903999999770e-01
-8.158068033696649346e-01 1.123630706000000035e-01
-8.144110720278394666e-01 -9.935904044000000157e-01
-8.129853899493023617e-01 -4.278941627000000247e-01
-8.104184241692952151e-01 2.054286338000000101e-01
-8.090822708009425268e-01 2.469671665000000016e-01
-8.068195084762711522e-01 3.503910860000000183e-01
-8.060002328883262290e-01 6.064033011999999667e-01
-8.041632517664526469e-01 3.769295181000000272e-01
-8.020055287486170803e-01 3.176146405999999978e-01
-7.990026000201191358e-01 -1.877710135000000002e-01
-7.976575397252551047e-01 5.156481972000000191e-02
-7.960382963156683589e-01 3.174253682000000021e-01
-7.929032316990546336e-01 9.032822130999999810e-02
