# Interacting fermions (standard model)
# L=16, Delta=1, W=1.0
# Diagonal matrix elements (A_i)_m in Hamiltonian eigenbasis, A_i=2n_i-1
# E_m/|E_0| (A_i)_m
-1.000000000000000000e+00 3.613512101999999948e-01
-9.312546635685375884e-01 4.279386237000000204e-01
-9.179547867183177612e-01 -6.079241852000000224e-02
-8.844000025267708676e-01 2.537952444000000085e-01
-8.760773092285910613e-01 3.919744182000000077e-01
-8.739462710357212005e-01 2.385080321999999975e-01
-8.712454520991154139e-01 3.855301717999999878e-01
-8.536375612516839961e-01 1.447773388999999966e-01
-8.497598604958523927e-01 3.283742273999999961e-01
-8.329585657861886538e-01 4.742478810999999905e-01
-8.288924199829381667e-01 6.274973672000000446e-02
-8.171376723801868636e-01 3.783541758000000255e-01
-8.125776399592580246e-01 2.663993466999999837e-01
-8.094413127452799728e-01 2.488068343000000016e-01
-8.063485495277569193e-01 -1.376736279999999923e-01
-8.006589178239338356e-01 1.214833604000000039e-01
-7.951587897655140180e-01 2.286890853999999917e-01
-7.934786653951073632e-01 -9.993087237999999373e-03
-7.917006835407410792e-01 1.683988144999999936e-01
-7.852059229215213598e-01 3.927919713999999951e-01
-7.796234047105585763e-01 2.440772351000000118e-01
-7.776551178433043221e-01 1.674306262999999961e-01
-7.756901203733795880e-01 1.575771145000000040e-01
-7.739162938522764490e-01 1.826451954999999960e-01
-7.706059558271100007e-01 1.968730545000000054e-01
-7.681538169978875397e-01 3.052667300999999944e-01
-7.662720709795670659e-01 3.415855944000000255e-01
-7.593259366760569673e-01 2.054873306999999982e-01
-7.572936860078423038e-01 -1.953618511999999918e-01
-7.569345367029928218e-01 2.276726524999999890e-01
-7.558806028324216442e-01 2.599650955999999874e-03
-7.517742969607955628e-01 3.030196486999999772e-01
-7.479192650630119843e-01 2.934435706000000210e-03
-7.467709613321087403e-01 2.692253317000000146e-01
-7.453001158248895308e-01 1.324462668999999981e-01
-7.418404148637526285e-01 2.225360648999999968e-01
-7.390022774992580645e-01 1.091227713000000044e-01
-7.383710947106788547e-01 2.016162324000000117e-01
-7.362221368604655591e-01 3.163456016000000259e-01
-7.357859017533338042e-01 3.170845959999999963e-01
-7.348996520292324641e-01 1.732027891000000042e-01
-7.304624267119570469e-01 2.167204446000000062e-01
-7.286286788153117921e-01 1.931130565999999993e-01
-7.269098877972300921e-01 2.707653479000000085e-01
-7.242159621511583545e-01 3.177992144999999824e-01
-7.233610686975193715e-01 2.136474600999999918e-01
-7.213538654870076394e-01 -4.400500326000000156e-02
-7.193243295917017832e-01 2.837445821999999840e-01
-7.191814376431053812e-01 1.615952424000000054e-01
-7.171929916250268100e-01 2.021655035999999905e-01
-7.163231000914651592e-01 6.586181566000000320e-02
-7.136145516043753689e-01 9.200308079999999777e-02
-7.133146236232469350e-01 1.409503471000000119e-01
-7.112886189381697477e-01 1.249304643000000020e-01
-7.092283491566085951e-01 2.861160920999999968e-01
-7.084306057357587783e-01 1.667568124999999901e-01
-7.064396105970404127e-01 1.176465435000000059e-01
-7.056536419342165356e-01 5.232627145999999702e-02
-7.044968411345138293e-01 1.617125238000000076e-01
-7.028410497956844027e-01 3.776579483999999987e-01
-7.010233705168931184e-01 1.363976346000000117e-01
-6.979809695304737271e-01 1.504695554999999907e-01
-6.963534224251490823e-01 -3.875175427999999825e-03
-6.955324756307772471e-01 1.511087121999999949e-01
-6.922449043016680736e-01 2.586421508999999785e-01
-6.909322754906332964e-01 1.030017934999999940e-01
-6.897028347219716915e-01 1.829342881000000087e-01
-6.895480370237021539e-01 1.186318628999999958e-01
-6.878082116451175176e-01 -8.606903238999999428e-02
-6.874497790848299594e-01 1.406613414000000006e-01
-6.865153507487924411e-01 -2.156047261000000048e-01
-6.837012497719590076e-01 -7.984894000999999408e-02
-6.826014230357352330e-01 2.464767562000000078e-01
-6.815323122178859050e-01 2.025967550999999839e-02
-6.805727171406011911e-01 -6.488642517999999859e-03
-6.781861491364151728e-01 1.657217729000000084e-01
-6.776590200844758716e-01 7.300029864000000257e-02
-6.767761345272726992e-01 -6.858680839000000362e-03
-6.757186433640650636e-01 5.774412797999999708e-02
-6.746548160305505526e-01 3.697861394999999995e-01
-6.731501562467729904e-01 2.579274120999999753e-01
-6.726188637470438270e-01 3.636198205999999766e-01
-6.711408437229751112e-01 1.153773354999999973e-01
-6.709588935428235645e-01 8.799609894000000321e-02
-6.702114278460766794e-01 1.409197161999999892e-01
-6.697385448696209220e-01 1.101670841000000067e-01
-6.685106725230719471e-01 1.277972916000000014e-01
-6.677622444434441196e-01 1.569426721000000136e-01
-6.668733768570686005e-01 3.163856864999999713e-02
-6.656294720602707882e-01 1.408281700000000025e-01
-6.644562875672299640e-01 5.812377829000000239e-03
-6.630396833826999181e-01 -8.310095460999999961e-02
-6.625056975555971839e-01 3.293293516000000282e-02
-6.617528374373415900e-01 1.288404465999999915e-01
-6.615523260885404211e-01 5.570675204000000158e-02
-6.610749434910409006e-01 5.239315734999999696e-02
-6.604776658617201868e-01 1.594746496999999985e-01
-6.584052166390884642e-01 8.600587321000000007e-02
-6.569328984611729760e-01 2.873502463000000007e-01
-6.557592676691569311e-01 1.829320080000000071e-01
-6.549282166659879945e-01 1.062277588999999967e-01
-6.535320359340129892e-01 -1.004600087000000058e-01
-6.521904903111218621e-01 1.241236364000000009e-01
-6.521352056921269069e-01 1.573569579999999912e-01
-6.510124497374658592e-01 2.205165047000000045e-01
-6.504221922171414816e-01 1.381445480000000059e-01
-6.494152981426281057e-01 -1.092295123000000014e-02
-6.486391445796028110e-01 1.796519504000000100e-01
-6.485439901604489465e-01 1.075074126000000047e-01
