# Interacting fermions (rescaled model)
# L=16,  W=100.0
# Diagonal matrix elements (A_i)_m in Hamiltonian eigenbasis, A_i=2n_i-1
# E_m/|E_0| (A_i)_m
-1.000000000000000000e+00 6.219885596999999988e-01
-9.460142488955984863e-01 6.363371182999999487e-01
-9.365003209854616539e-01 -2.743665175000000178e-01
-9.196242073754035129e-01 -9.957893765999999980e-01
-9.176185655347079972e-01 4.410003888999999844e-01
-9.124154281691385648e-01 8.028592170999999666e-01
-8.900683412249928983e-01 3.594051621000000085e-01
-8.876850512185290309e-01 6.202044120999999910e-01
-8.867363244834913782e-01 -9.765452649000000429e-01
-8.854688504023986440e-01 8.151911694000000264e-01
-8.821207183121549944e-01 -2.434982784999999983e-01
-8.793009916792104974e-01 -6.233674302999999695e-01
-8.768601668914584035e-01 -4.736450053999999854e-01
-8.758472524871047105e-01 6.202737775000000120e-01
-8.738023005349723205e-01 -9.670250984999999577e-01
-8.692013958616119362e-01 1.785734837999999880e-01
-8.647059885209474883e-01 3.572391654000000027e-01
-8.623901163058681485e-01 3.919806473999999930e-01
-8.573946687768393415e-01 3.154618685999999728e-01
-8.501782892013229898e-01 8.189110967999999602e-01
-8.451947302108764326e-01 2.858098474999999916e-01
-8.439783334559874950e-01 3.584307649999999845e-01
-8.419275352498629683e-01 -9.949308593000000256e-01
-8.413440597374527430e-01 7.378140574999999535e-01
-8.365657975758812315e-01 8.197524032999999877e-01
-8.351836115286788154e-01 -9.920123641000000436e-01
-8.326616834638116416e-01 -3.123156269999999846e-01
-8.317713543235987217e-01 -6.450305469999999541e-01
-8.302047383468653674e-01 1.488054423000000070e-01
-8.277655343974721358e-01 7.793406070999999713e-01
-8.275012548702498361e-01 2.346051523999999888e-01
-8.240104894028608129e-01 -2.383681206999999913e-01
-8.206482060549986635e-01 -9.963930653000000470e-01
-8.204316492206071842e-01 7.247835559999999955e-01
-8.182882161975979507e-01 -4.032718198999999948e-01
-8.135187427411688654e-01 6.930244596000000312e-01
-8.099920604440251637e-01 1.356838344000000085e-01
-8.096266532336353627e-01 5.934725170000000327e-01
-8.088309911340162417e-01 3.685363316999999972e-01
-8.082159915506780257e-01 -3.656074088999999860e-01
-8.035962854711035108e-01 4.029899715999999965e-01
-7.997002277384873681e-01 -2.875377595999999980e-01
-7.994811988068496467e-01 -3.833932407999999792e-01
-7.960191137714094367e-01 3.293735584999999966e-01
-7.956562760759106068e-01 2.134167778000000126e-01
-7.934501648590335243e-01 2.212292556999999882e-01
-7.918963843044516393e-01 3.097864959000000140e-01
-7.888671099270837539e-01 6.042996762000000244e-01
-7.854919722313518093e-01 -2.219881085000000032e-01
