# Interacting fermions (rescaled model)
# L=14, W=2.0
# Probability density function f of the eigenstate-to-eigenstate fluctuations <delta A>,
# <delta A> f(<delta A>) 
5.588505333553731719e-02 1.663696822468496705e+00
6.257518377313289748e-02 7.542092261857185953e+00
6.926531421072845696e-02 1.504721348321507080e+01
7.595544464832404419e-02 2.340266863605680570e+01
8.264557508591963142e-02 2.192382701608485718e+01
8.933570552351519090e-02 1.970556458612686157e+01
9.602583596111077813e-02 1.552783700970593728e+01
1.027159663987063515e-01 1.212650128377040026e+01
1.094060968363019248e-01 9.020933881829162004e+00
1.160962272738975121e-01 6.100221682384487920e+00
1.227863577114930715e-01 4.880177345907590336e+00
1.294764881490886310e-01 3.660133009430700302e+00
1.361666185866842183e-01 2.403117632454490504e+00
1.428567490242798055e-01 2.255233470457290501e+00
1.495468794618753927e-01 1.109131214978995583e+00
1.562370098994709799e-01 9.242760124825001311e-01
1.629271403370665117e-01 6.285076884881001247e-01
1.696172707746620989e-01 4.066814454922983435e-01
1.763074012122576861e-01 3.697104049929985092e-01
1.829975316498532734e-01 3.697104049929985092e-01
1.896876620874488328e-01 2.218262429958009485e-01
1.963777925250443923e-01 1.478841619971993926e-01
2.030679229626399795e-01 0.000000000000000000e+00
2.097580534002355668e-01 0.000000000000000000e+00
2.164481838378311540e-01 3.697104049929984815e-02
