# Interacting fermions (rescaled model)
# L=16, W=20.0
# Probability density function f of the eigenstate-to-eigenstate fluctuations <delta A>,
# <delta A> f(<delta A>) 
7.729952120757876965e-02 2.787917308272589434e-01
1.149595336315806238e-01 1.226683615639939662e+00
1.526195460555824779e-01 2.447171859483716627e+00
1.902795584795843598e-01 3.642878616142851023e+00
2.279395709035862139e-01 4.039382411097175662e+00
2.655995833275880957e-01 3.934061090562430252e+00
3.032595957515899499e-01 2.868457141622687168e+00
3.409196081755918040e-01 2.199356987637265615e+00
3.785796205995936581e-01 1.740899474721328666e+00
4.162396330235955122e-01 1.201902128455294427e+00
4.538996454475973663e-01 8.797427950549062681e-01
4.915596578715992759e-01 7.000770129662272634e-01
5.292196702956011301e-01 4.646528847120983685e-01
5.668796827196029842e-01 3.283547051965495234e-01
6.045396951436048383e-01 2.540102436426137644e-01
6.421997075676066924e-01 1.239074359232262418e-01
6.798597199916085465e-01 8.673520514625837619e-02
7.175197324156104006e-01 5.575834616545180533e-02
7.551797448396122547e-01 3.097685898080656045e-02
7.928397572636141089e-01 2.478148718464524836e-02
8.304997696876159630e-01 1.858611538848393627e-02
8.681597821116178171e-01 0.000000000000000000e+00
9.058197945356196712e-01 0.000000000000000000e+00
9.434798069596215253e-01 0.000000000000000000e+00
9.811398193836234904e-01 6.195371796161312089e-03
