# Interacting fermions (rescaled model)
# L=14, W=100.0
# Probability density function f of the eigenstate-to-eigenstate fluctuations <delta A>,
# <delta A> f(<delta A>) 
1.087965026083021619e-01 5.508411124741242199e-02
1.447184521872655616e-01 2.547640145192826555e-01
1.806404017662289474e-01 6.541238210630231364e-01
2.165623513451923610e-01 1.349560725561604446e+00
2.524843009241557468e-01 2.113852769119454855e+00
2.884062505031191326e-01 2.609609770346161817e+00
3.243282000820825739e-01 3.277504619221037085e+00
3.602501496610459597e-01 3.428985925151431413e+00
3.961720992400093455e-01 2.898801354395076579e+00
4.320940488189727313e-01 2.843717243147672935e+00
4.680159983979361171e-01 2.306647158485393589e+00
5.039379479768995029e-01 1.693836420857930847e+00
5.398598975558629443e-01 1.432186892432726344e+00
5.757818471348263856e-01 1.094796711042321347e+00
6.117037967137897159e-01 5.921541959096849883e-01
6.476257462927530462e-01 4.200163482615194566e-01
6.835476958717165985e-01 2.685350423311353985e-01
7.194696454506799288e-01 2.065654171777970838e-01
7.553915950296432591e-01 1.583668198363105961e-01
7.913135446086067004e-01 8.262616687111883074e-02
8.272354941875701417e-01 3.442756952963274553e-02
8.631574437665334720e-01 1.377102781185309509e-02
8.990793933454969133e-01 1.377102781185314019e-02
9.350013429244603547e-01 2.065654171777964523e-02
9.709232925034236850e-01 1.377102781185314019e-02
