# Interacting fermions (standard model)
# L=14, Delta=1, W=10.0, dmax=2
# Comparison between projected perturbation ||N_i^perp||^2 and its approximation ||N~_i||^2
# ||N_i^perp||^2 ||~N_i||^2
1.091607040000000008e-02 1.091607040000000008e-02
3.361392228099999852e-02 3.361208889600000166e-02
1.622865111040000139e-03 1.622591185960000053e-03
8.017335620100000644e-04 8.017278990400000154e-04
1.209370176000000140e-03 1.209370176000000140e-03
8.294918408100000924e-04 8.294860806400000414e-04
8.120220160000000704e-04 8.120220160000000704e-04
1.311276912099999976e-02 1.311254010000000025e-02
1.071076165290000019e-03 1.071069619839999871e-03
1.273941116099999889e-02 1.273941116099999889e-02
2.160083642890000058e-03 2.160074347559999986e-03
1.041198009760000006e-03 1.040739860249999867e-03
1.159498240000000034e-02 1.142782380099999912e-02
3.349485625600000238e-02 3.349485625600000238e-02
1.934435905600000519e-02 1.934296824100000325e-02
7.047652870090000653e-03 6.996820608999999684e-03
2.202493446400000457e-02 2.198844122499999873e-02
2.343934761639999975e-03 2.341572744039999848e-03
3.067296876899999400e-02 3.067261849599999673e-02
6.267683059689999059e-03 6.217527511689999870e-03
3.215386922499999939e-02 3.212948700899999344e-02
4.075290244000000402e-03 4.065720168999999856e-03
2.845024358399999773e-02 2.844990624099999477e-02
5.598451399839999600e-03 5.597703196840000776e-03
4.608492627599999891e-02 4.557883406399999143e-02
2.515744932099999928e-02 2.515681488100000168e-02
3.262322316099999786e-02 3.262322316099999786e-02
2.689731201600000302e-02 2.567846002499999877e-02
4.588504382249999208e-03 4.588504382249999208e-03
1.637913636100000320e-02 1.637913636100000320e-02
2.192057913599999852e-02 2.104327396899999952e-02
1.704225811599999890e-02 1.704225811599999890e-02
1.943765756099999700e-02 1.943765756099999700e-02
1.767995715600000073e-02 1.700807222500000035e-02
2.794211316090000098e-03 2.794052737439999684e-03
8.392145486399999865e-04 8.392145486399999865e-04
1.792929648999999973e-03 1.792895774760000158e-03
1.702808478009999954e-03 1.702808478009999954e-03
1.270580283040000178e-03 1.270451963559999934e-03
1.821633616359999951e-03 1.821625080250000332e-03
8.794486802500001144e-04 8.794249560099999660e-04
1.629656496399999738e-02 1.629630964899999798e-02
1.178701062399999978e-02 1.178701062399999978e-02
1.104432288999999956e-03 1.104418995839999895e-03
1.357730886760000200e-03 1.357332963999999991e-03
1.255114841759999694e-03 1.255051072889999892e-03
1.453664262399999817e-02 1.453664262399999817e-02
1.074757872250000062e-03 1.074731645610000133e-03
1.419267168899999987e-02 1.419267168899999987e-02
1.113316648959999933e-03 1.113209879040000065e-03
1.517971843599999829e-02 1.517971843599999829e-02
3.412884716009999698e-03 3.412884716009999698e-03
1.513096806400000133e-02 1.513096806400000133e-02
2.976564452409999773e-03 2.976466248999999967e-03
1.139321412100000042e-02 1.139321412100000042e-02
1.145964674410000252e-03 1.145524639360000251e-03
1.544278436100000179e-02 1.544203875600000039e-02
1.639398552099999642e-02 1.639321729600000388e-02
3.342315240000000298e-02 3.238452184900000169e-02
2.844653292100000203e-02 2.843675142400000147e-02
2.778488934400000221e-02 2.778488934400000221e-02
3.219691922500000220e-02 3.065580774399999722e-02
7.204835089690000798e-03 7.170363684000000647e-03
1.047613660900000021e-02 1.045731212100000154e-02
3.577726558810000266e-03 3.577726558810000266e-03
3.366877415040000088e-03 3.366877415040000088e-03
3.575681209000000291e-03 3.550848921000000335e-03
3.076901892100000410e-02 3.076901892100000410e-02
4.183374808900000379e-04 4.183374808900000379e-04
3.765889548100000150e-02 3.749218964099999829e-02
5.251538556250000961e-03 5.251538556250000961e-03
1.161997761600000109e-02 1.161976202500000083e-02
1.900576339359999912e-03 1.900576339359999912e-03
1.040522403599999923e-02 1.040522403599999923e-02
2.317575137440000023e-03 2.317565509209999850e-03
7.198266774760000986e-03 7.175851868160000938e-03
2.525874489999999778e-02 2.429015760899999599e-02
3.037491265599999782e-02 3.037351839999999706e-02
2.809210644900000248e-02 2.808473222500000241e-02
4.048023280899999687e-02 4.029574464400000056e-02
8.552106501759998425e-03 8.524884298090000534e-03
2.615821022499999551e-02 2.615691636100000300e-02
6.132941631609999805e-03 6.132518748160000095e-03
4.226638158760000381e-03 4.226586148840001146e-03
4.409358409000000908e-03 4.409318567289999442e-03
5.508905283999999437e-03 5.508667776160000931e-03
2.495052450250000251e-03 2.494732777290000099e-03
5.014381831289999557e-03 5.014381831289999557e-03
1.370250885609999988e-03 1.370250885609999988e-03
5.632022190239999518e-03 5.631962152959999607e-03
1.703886408900000260e-02 1.703860302400000276e-02
1.838797313440000171e-03 1.838797313440000171e-03
1.971019444899999723e-02 1.970879054400000510e-02
5.370157369599999229e-04 5.370018328900000824e-04
5.262762516009999308e-03 5.262718989159999999e-03
6.666104334399999181e-04 6.666104334399999181e-04
3.436257504160000059e-03 3.435014881000000072e-03
5.135169932010000618e-03 5.135126936039999257e-03
2.065630072899999822e-02 2.065601328399999798e-02
4.350642448360000220e-03 4.350418189289999467e-03
2.374865923599999915e-02 2.374341992100000021e-02
1.869455463840000381e-03 1.869040409759999783e-03
5.401529724009999055e-03 5.401515025000000296e-03
4.226066947599999772e-04 4.226066947599999772e-04
3.431163475599999582e-04 3.431163475599999582e-04
3.610570022500000139e-04 3.610570022500000139e-04
1.906003500839999762e-03 1.905994769290000022e-03
5.172026122240000814e-03 5.172026122240000814e-03
2.596350879359999621e-03 2.596289734440000024e-03
1.476127801600000088e-02 1.476079203600000160e-02
3.294013842249999928e-03 3.292475876010000219e-03
1.278550332900000100e-02 1.278527718400000214e-02
3.379236592899999975e-02 3.379199827599999734e-02
5.232337758009999486e-03 5.232337758009999486e-03
3.374605740100000001e-02 3.374605740100000001e-02
5.469785763999999127e-03 5.463042873760000535e-03
4.085804752089999825e-03 4.085804752089999825e-03
3.694196244009999557e-03 3.683288238009999570e-03
3.528912531599999458e-02 3.527898192899999591e-02
3.660600908409999965e-03 3.660588807840000399e-03
3.773811316899999824e-02 3.767248083599999270e-02
9.173205412900000246e-04 9.171085424399999563e-04
1.988099999999999590e-02 1.987761614400000015e-02
5.047436222499999958e-04 5.047436222499999958e-04
1.323305122500000042e-02 1.323305122500000042e-02
7.472076920100000335e-04 7.471147555600000933e-04
1.723522608900000114e-02 1.704382470399999974e-02
3.843640408409999994e-03 3.842487348840000188e-03
3.913789588900000449e-02 3.875110360899999828e-02
1.918474308099999900e-02 1.868825702499999838e-02
3.564128652100000128e-02 3.562316508099999668e-02
1.756261057600000050e-02 1.752870081600000490e-02
2.696820840000000233e-02 2.664664464399999974e-02
5.650934825289999353e-03 5.650904756250000119e-03
1.620427161599999680e-02 1.620427161599999680e-02
4.799649120249998777e-03 4.799413572840000031e-03
2.501363664899999839e-02 2.495894425600000271e-02
3.472222292100000246e-02 3.472073222500000195e-02
3.030349824100000283e-02 3.029375060100000447e-02
3.510901587600000207e-02 3.509177958399999769e-02
1.612183104000000124e-03 1.612183104000000124e-03
6.656503200399999792e-04 6.656503200399999792e-04
1.525660164090000132e-03 1.525660164090000132e-03
1.847331976360000027e-03 1.846970956959999820e-03
1.155023078400000021e-02 1.155023078400000021e-02
2.333711172249999886e-03 2.333711172249999886e-03
1.210814136899999831e-02 1.210814136899999831e-02
1.080364587209999916e-03 1.080331718560000043e-03
7.201830604959999840e-03 7.201813632249999368e-03
1.857463462889999938e-03 1.856894608889999611e-03
2.887280639999999579e-02 2.886397123599999601e-02
2.362543236000000293e-03 2.362494630250000331e-03
2.515237402500000372e-02 2.515237402500000372e-02
1.403041831840000147e-03 1.402951936000000318e-03
2.817362249999999860e-02 2.577244944399999585e-02
2.755068825599999924e-02 2.755068825599999924e-02
2.566980752399999899e-02 2.566980752399999899e-02
3.028922544399999944e-02 2.723754144399999702e-02
1.798120083599999766e-02 1.798120083599999766e-02
5.011790435999999467e-03 5.011747959689999768e-03
1.942817822500000208e-02 1.942706316100000288e-02
7.208145840639999455e-03 7.205666950439998733e-03
5.748520761000000014e-03 5.745624840010000317e-03
5.566204449000001185e-03 5.564234998440000315e-03
3.832303311359999860e-03 3.831127195210000218e-03
3.602772533610000549e-03 3.597636388090000217e-03
1.208862499689999882e-03 1.208813823999999948e-03
2.009119258239999879e-03 2.008966862250000183e-03
3.271648912900000433e-04 3.271648912900000433e-04
5.811897201640000600e-03 5.811881954490000571e-03
2.100095598240000246e-03 2.100095598240000246e-03
6.336669450239999432e-03 6.336605767840000278e-03
2.803141258089999772e-03 2.803120080249999879e-03
1.499424740100000104e-02 1.499424740100000104e-02
4.973493529000000760e-03 4.973451215289998763e-03
1.971637222500000411e-02 1.971384483599999959e-02
7.192108519690000243e-03 7.191938908090000047e-03
9.918825404889999170e-03 9.911715717759998767e-03
7.336779024999999337e-03 7.334398009209999736e-03
4.107399920999998781e-03 4.107399920999998781e-03
4.419484032640000511e-03 4.416041080890001184e-03
6.372544872099999589e-04 6.372544872099999589e-04
1.930793620899999910e-02 1.930515724900000452e-02
1.979592720399999881e-02 1.978945562499999714e-02
3.839444302500000239e-02 3.833411568099999445e-02
2.162324400640000099e-03 2.162315100489999725e-03
3.460939329600000447e-02 3.460902122500000150e-02
2.303140112100000164e-02 2.302593804899999777e-02
7.645335600400000181e-04 7.645335600400000181e-04
2.286809328399999966e-02 2.286748839999999672e-02
5.809839017290000830e-03 5.809839017290000830e-03
3.109802143359999705e-03 3.109802143359999705e-03
8.201276608809999341e-03 8.201240384489999133e-03
8.851279512099999650e-04 8.851160508100000069e-04
1.437289276899999906e-02 1.437121440000000035e-02
1.806577928100000160e-02 1.806551046400000152e-02
1.304849289999999995e-02 1.304826444099999906e-02
1.311689184100000086e-02 1.311689184100000086e-02
1.268011123599999991e-02 1.243202700100000044e-02
9.841208184900001720e-04 9.841208184900001720e-04
9.360907393600000808e-04 9.360785011599999112e-04
4.992552963999999545e-03 4.939433017209999936e-03
4.531807369689999643e-03 4.531793905960000701e-03
2.937453209999999620e-02 2.937418932100000629e-02
9.623531520159999547e-03 9.573096100840000969e-03
2.738594716899999879e-02 2.738296848399999692e-02
7.032617004489999206e-03 7.008502602239998977e-03
1.659079531239999843e-03 1.658810712250000010e-03
2.873656842250000253e-03 2.873635399690000099e-03
1.438896211600000120e-02 1.402732296900000009e-02
1.222544232010000075e-03 1.222537239039999703e-03
6.473296666239998845e-03 6.473184027210000628e-03
1.053538016399999978e-02 1.053538016399999978e-02
7.186190257959999134e-03 7.186173303689999056e-03
1.058223689999999995e-02 1.058223689999999995e-02
1.944386663040000062e-03 1.943443140249999975e-03
3.915174542399999652e-02 3.878378809599999921e-02
3.815419956100000315e-02 3.805932774400000440e-02
5.563937440000000373e-02 5.217980804099999620e-02
3.808313220099999313e-02 3.794976724900000348e-02
3.840032159999999528e-02 3.809015788900000504e-02
1.126039322500000002e-02 1.126018099599999933e-02
1.434447450810000160e-03 1.434447450810000160e-03
1.059623184400000119e-02 1.059623184400000119e-02
3.884052639999999862e-02 3.881885062500000511e-02
2.860529516100000086e-02 2.792107321599999678e-02
5.161847680900000235e-02 4.179203376099999839e-02
3.432423182399999689e-02 3.432423182399999689e-02
3.398676602499999672e-02 3.398676602499999672e-02
5.109860249999999965e-02 4.068531043599999536e-02
1.575732720250000093e-03 1.575589819689999973e-03
3.033344722499999382e-02 3.030210562500000246e-02
4.094988862409999243e-03 4.094835282810000039e-03
2.660454588100000239e-02 2.659345562499999815e-02
3.874639211560000022e-03 3.871291068090000446e-03
