# Interacting fermions (standard model)
# L=14, Delta=1, W=2.0, dmax=3
# Comparison between projected perturbation ||N_i^perp||^2 and its approximation ||N~_i||^2
# ||N_i^perp||^2 ||~N_i||^2
5.555401860099999645e-02 5.484401934400000289e-02
5.038049593599999709e-02 5.035311602500000538e-02
4.409874000899999258e-02 4.402359312400000446e-02
4.442230675600000039e-02 4.437089473599999806e-02
2.916273444100000306e-02 2.904059056900000144e-02
4.024758192399999907e-02 4.019624010000000247e-02
4.430435619600000402e-02 4.417142889999999683e-02
5.402463462399999944e-02 5.251201402499999782e-02
4.838900062500000460e-02 4.837976211600000798e-02
4.347141600399999362e-02 4.317917761600000015e-02
4.328646691599999374e-02 4.324528202499999807e-02
4.162252825599999789e-02 3.824527809599999328e-02
4.870893140100000102e-02 4.864539024900000480e-02
5.076459610000000344e-02 5.022842968900000787e-02
6.019465971600000687e-02 5.904414010000000324e-02
5.716737540899999998e-02 5.609508033599999721e-02
5.338456460100000217e-02 5.326679361600000079e-02
4.779689062500000474e-02 4.684194490000000155e-02
5.688892819599999928e-02 5.679928227600000712e-02
5.715016172100000069e-02 5.601931585600000013e-02
5.424473902500000222e-02 5.308508160399999509e-02
5.612018860899999767e-02 5.431976035599999503e-02
6.020692764100000344e-02 5.890086302499999982e-02
5.953160808100000506e-02 5.857900496099999882e-02
5.722381622500000847e-02 5.634594112900000173e-02
5.504513668899999740e-02 5.467787188900000844e-02
5.532280326399999920e-02 5.527859299599999221e-02
5.987564302500000130e-02 5.905823436100000878e-02
4.491474876100000346e-02 4.490033860900000118e-02
4.464219636899999927e-02 4.463078759999999923e-02
5.345713926399999621e-02 5.319757731599999290e-02
4.788569358400000114e-02 4.761865908899999555e-02
5.342015238399999699e-02 5.311642090000000260e-02
4.741680451599999957e-02 4.739503161600000514e-02
3.870466022499999964e-02 3.856785376900000173e-02
2.765369443599999949e-02 2.754073011599999718e-02
4.687701312100000378e-02 4.685146830399999907e-02
4.559591502399999718e-02 4.453999202500000254e-02
3.712095822400000161e-02 3.706664572900000149e-02
3.990006250000000670e-02 3.976075880099999571e-02
2.493619974399999967e-02 2.493335740899999681e-02
4.310897112900000105e-02 4.306828584099999663e-02
5.010121188900000522e-02 5.008867802499999966e-02
5.197944009999999615e-02 5.137883556100000110e-02
5.138835610000000442e-02 5.134846640400000245e-02
5.231329584100000152e-02 5.230323260100000482e-02
5.604724804900000634e-02 5.563182649599999335e-02
5.350709185599999973e-02 5.222733208899999618e-02
5.088047148899999678e-02 4.949957522499999485e-02
3.251926956099999988e-02 3.246483240000000436e-02
4.625037348100000112e-02 4.611498553599999856e-02
3.913750022400000472e-02 3.910941312099999734e-02
5.060565184899999680e-02 4.995716712099999152e-02
5.535950179600000048e-02 5.447836083600000184e-02
5.130768614399999761e-02 5.129364336099999366e-02
2.539847816100000363e-02 2.531821968900000233e-02
5.790424068900000554e-02 5.780802748900000509e-02
5.781187448099999598e-02 5.764368828099999953e-02
5.972647209999999707e-02 5.928007562499999772e-02
5.850448312900000114e-02 5.827058044899999928e-02
5.969666024099999635e-02 5.814512368899999589e-02
5.850496688400000367e-02 5.819432522500000288e-02
5.331203923599999589e-02 5.254318372900000644e-02
5.814705276899999331e-02 5.726496860100000613e-02
4.113919758400000348e-02 4.113798062500000075e-02
4.030819136100000089e-02 4.030778982400000376e-02
4.128170604099999641e-02 4.127886158399999422e-02
3.771092124900000259e-02 3.770975609999999839e-02
1.581054759999999879e-02 1.571763690000000172e-02
5.870686702500000492e-02 5.699249036100000054e-02
4.926091470400000005e-02 4.860613902399999603e-02
4.862774728899999649e-02 4.833490190399999942e-02
4.350853656900000033e-02 4.269430387600000459e-02
4.352313888400000108e-02 4.320827395599999982e-02
3.187046152899999235e-02 3.178411496099999706e-02
5.930539972899999401e-02 5.462737562499999505e-02
5.880624999999999741e-02 5.867004396099999297e-02
5.587408612900000154e-02 5.557806249999999726e-02
6.004803220899999211e-02 5.972353945599999381e-02
5.878394211600000002e-02 5.828941062400000428e-02
5.805401113599999857e-02 5.798271361600000617e-02
5.590907540099999962e-02 5.530586958399999475e-02
5.575407112900000045e-02 5.514935592099999562e-02
5.392566396100000742e-02 5.363253856899999339e-02
5.377853760399999711e-02 5.377760999999999653e-02
5.294601000000000168e-02 5.290046000100000201e-02
4.813504360900000556e-02 4.802233959999999829e-02
3.887995240000000075e-02 3.887127696400000110e-02
2.918562224399999516e-02 2.918528056899999737e-02
4.327814515600000161e-02 4.327232040000000141e-02
4.312226028100000358e-02 4.310897112900000105e-02
3.211013124899999432e-02 3.210977286399999825e-02
4.741462700099999955e-02 4.740809475600000350e-02
1.796564929599999555e-02 1.795760803599999803e-02
3.579058585599999981e-02 3.578112728099999695e-02
2.130636508900000253e-02 2.129585676100000102e-02
4.441303353599999199e-02 4.435362360900000495e-02
5.101996737599999443e-02 5.100054388900000096e-02
5.772967290000000778e-02 5.764272792099999626e-02
5.827830528100000351e-02 5.451804708100000535e-02
5.777581395599999670e-02 5.766385768900000874e-02
5.445082240899999648e-02 5.442235779599999962e-02
4.879327566400000482e-02 4.841188072900000361e-02
1.654541964099999832e-02 1.654387612899999721e-02
2.859447180099999875e-02 2.792541788100000311e-02
2.673323100900000179e-02 2.672080622500000099e-02
3.225687840400000284e-02 3.224215272099999890e-02
4.432161772899999991e-02 4.422398702500000139e-02
5.094139280400000747e-02 5.052380062500000379e-02
5.526824846399999713e-02 5.506531560000000464e-02
4.997549670399999838e-02 4.980261722499999821e-02
5.594644089999999820e-02 5.536467820900000530e-02
5.720802912400000523e-02 5.629373116900000112e-02
5.090573812899999717e-02 5.089175046399999069e-02
5.005735022499999826e-02 5.001708602500000433e-02
4.954719846400000571e-02 4.931863808399999938e-02
4.014252673600000182e-02 4.010006250000000549e-02
4.989192322500000248e-02 4.965008932899999533e-02
5.387458788100000368e-02 5.345760168099999987e-02
5.345667684899999689e-02 5.252897286400000365e-02
5.547909160000000228e-02 5.510380656400000465e-02
2.720553348100000074e-02 2.706485619599999920e-02
4.944708268900000619e-02 4.943552028100000467e-02
3.604112402500000284e-02 3.603922560000000219e-02
5.247260676099999716e-02 5.205196620099999255e-02
5.185412122500000082e-02 5.110086302500000538e-02
5.813981888400000103e-02 5.760672019600000110e-02
5.304592048899999662e-02 5.268310278400000629e-02
5.580744769600000377e-02 5.392937952899999610e-02
5.636683188899999780e-02 5.625624985600000127e-02
5.525743476100000023e-02 5.483933568399999847e-02
5.454373411600000471e-02 5.445082240899999648e-02
5.575123768899999804e-02 5.527765254399999439e-02
5.332774118400000068e-02 5.328849064899999349e-02
5.496305136400000263e-02 5.420561804099999909e-02
5.163483628899999400e-02 5.127869670400000274e-02
5.869136116900000588e-02 5.639390067599999584e-02
5.403439720899999577e-02 5.400650644899999270e-02
4.546276839999999902e-02 4.543718559999999212e-02
5.602499641599999192e-02 5.598145281600000467e-02
3.451903884900000413e-02 3.450789216900000678e-02
3.838778118399999856e-02 3.809054822400000095e-02
4.466121422399999680e-02 4.384794120100000275e-02
3.815302758400000022e-02 3.790575363600000303e-02
3.568774374400000143e-02 3.567301012900000318e-02
4.350895374399999654e-02 4.350186204100000426e-02
4.501144128099999336e-02 4.486728876100000429e-02
3.288274489600000183e-02 3.287476659599999906e-02
4.861628108099999568e-02 4.855720744900000191e-02
5.242176576399999732e-02 5.224653062500000250e-02
5.324187056400000312e-02 5.323079552400000053e-02
4.772870396099999912e-02 4.770511222499999870e-02
5.457877164100000122e-02 5.384163344399999634e-02
4.779295545599999973e-02 4.702045296400000213e-02
5.524521184899999771e-02 5.504466745599999322e-02
5.388572968900000315e-02 5.366635559999999999e-02
4.948533720900000210e-02 4.927556436100000853e-02
5.232198760000000143e-02 5.195390835600000035e-02
4.871466979599999719e-02 4.841188072900000361e-02
5.241031848899999762e-02 5.202960999999999697e-02
5.485713465600000616e-02 5.459185520099999606e-02
5.705457732099999263e-02 5.611071312900000468e-02
5.521795022499999955e-02 5.500432089999999358e-02
5.742205764100000165e-02 5.720037555599999379e-02
5.408880490000000235e-02 5.395725036899999549e-02
4.702132033600000399e-02 4.628263795599999592e-02
4.266166320900000031e-02 4.258403688099999390e-02
4.257413222499999844e-02 4.232483289999999787e-02
3.025234062400000007e-02 3.025129704099999844e-02
4.655108304899999855e-02 4.623317036099999777e-02
3.477628225600000456e-02 3.473601337599999811e-02
4.484695644099999379e-02 4.473098100899999818e-02
4.236104912400000255e-02 4.223394908099999817e-02
5.291610122499999791e-02 5.124609337599999453e-02
5.629942562500000330e-02 5.550924481600000293e-02
5.789990937600000137e-02 5.681358273600000536e-02
5.485713465600000616e-02 5.441582598400000054e-02
5.646564062500000064e-02 5.637822848100000617e-02
5.929858116900000448e-02 5.576965633599999944e-02
4.971339122500000041e-02 4.873188700900000364e-02
5.526307656100000465e-02 5.338132993599999793e-02
3.580345152399999620e-02 3.579172096899999739e-02
5.450543929600000503e-02 5.445362260900000334e-02
5.411811268900000582e-02 5.405439001600000071e-02
5.589252505599999477e-02 5.528893849600000771e-02
3.930068353600000425e-02 3.929196128400000432e-02
4.609909584900000190e-02 4.609351363599999835e-02
4.754274984899999751e-02 4.733931577599999330e-02
1.901503102499999681e-02 1.901310054400000282e-02
4.961221664399999287e-02 4.933196366400000032e-02
3.972328024900000781e-02 3.972128720400000534e-02
3.540230402499999762e-02 3.539327316099999399e-02
4.705602177600000380e-02 4.705341872399999847e-02
2.807434291600000367e-02 2.786963136400000263e-02
5.119449264399999339e-02 5.111352288900000013e-02
5.013703156899999847e-02 5.004795379600000121e-02
5.183499492899999728e-02 5.171121480099999390e-02
4.485034484099999913e-02 4.477244402500000359e-02
4.614333610000000141e-02 4.608277956100000072e-02
2.585535361599999860e-02 2.583959800900000048e-02
3.166015248900000412e-02 3.141827150399999907e-02
3.179160320399999906e-02 3.178375840000000063e-02
2.912039860899999846e-02 2.911084316099999889e-02
4.733496435600000746e-02 4.729929025600000669e-02
4.504921350399999913e-02 4.504878900899999400e-02
4.450918478399999711e-02 4.437763559999999274e-02
5.043752388900000355e-02 5.030106984100000261e-02
3.747631374400000465e-02 3.746586072100000636e-02
3.647794406399999800e-02 3.636153196900000079e-02
5.144186886400000519e-02 5.134121539600000617e-02
2.161811496099999910e-02 2.160958800399999727e-02
4.548963808900000072e-02 4.540862664900000012e-02
5.598287244900000681e-02 5.527671210000000696e-02
5.932634490000000121e-02 5.740624321599999830e-02
5.414370534400000240e-02 5.326817840100000340e-02
3.557524099599999878e-02 3.536994876099999741e-02
5.787392490000000528e-02 5.341044544900000468e-02
5.691659918400000101e-02 5.674590979600000612e-02
5.605103600099999722e-02 5.575926595600000368e-02
5.869184569600000012e-02 5.800101555599999903e-02
5.182543310400000020e-02 5.103261721599999801e-02
5.275565859600000324e-02 5.125741280099999769e-02
5.565447174400000446e-02 5.193066168899999890e-02
4.866612481599999485e-02 4.853649609999999975e-02
5.631461224899999424e-02 5.607187202500000384e-02
5.676592153599999829e-02 5.641955078399999574e-02
5.868118656400000965e-02 5.747718553600000835e-02
4.494018408100000639e-02 4.430898700899999626e-02
4.131828636100000340e-02 4.116191745600000090e-02
5.448442956099999734e-02 5.317866602500000150e-02
4.908440249999999894e-02 4.652735280399999951e-02
5.264317248100000568e-02 5.253722410000000176e-02
5.271661920100000065e-02 5.269641624900000404e-02
5.735498112100000101e-02 5.692232505599999215e-02
