# Interacting fermions (standard model)
# L=14, Delta=1, W=2.0, dmax=4
# Comparison between projected perturbation ||N_i^perp||^2 and its approximation ||N~_i||^2
# ||N_i^perp||^2 ||~N_i||^2
5.484495610000000160e-02 5.484401934400000289e-02
5.036747832899999416e-02 5.035311602500000538e-02
4.404331822499999577e-02 4.402359312400000446e-02
4.438058488899999932e-02 4.437089473599999806e-02
2.911254937599999995e-02 2.904059056900000144e-02
4.023795283599999884e-02 4.019624010000000247e-02
4.419328928399999384e-02 4.417142889999999683e-02
5.252118062499999684e-02 5.251201402499999782e-02
4.838460122499999710e-02 4.837976211600000798e-02
4.318125560100000843e-02 4.317917761600000015e-02
4.324860936900000452e-02 4.324528202499999807e-02
3.825544810000000573e-02 3.824527809599999328e-02
4.868818771599999623e-02 4.864539024900000480e-02
5.022977440000000321e-02 5.022842968900000787e-02
5.998188774399999812e-02 5.904414010000000324e-02
5.690991936399999312e-02 5.609508033599999721e-02
5.334714090000000630e-02 5.326679361600000079e-02
4.758156942399999895e-02 4.684194490000000155e-02
5.686794089999999691e-02 5.679928227600000712e-02
5.690991936399999312e-02 5.601931585600000013e-02
5.391544680899999081e-02 5.308508160399999509e-02
5.581500750399999433e-02 5.431976035599999503e-02
5.915402265599999099e-02 5.890086302499999982e-02
5.881789057599999537e-02 5.857900496099999882e-02
5.641147512099999733e-02 5.634594112900000173e-02
5.468769331599999950e-02 5.467787188900000844e-02
5.530775097599999884e-02 5.527859299599999221e-02
5.946428560899999494e-02 5.905823436100000878e-02
4.490584809999999261e-02 4.490033860900000118e-02
4.463290022500000093e-02 4.463078759999999923e-02
5.339426918399999694e-02 5.319757731599999290e-02
4.766318576100000287e-02 4.761865908899999555e-02
5.334205968099999667e-02 5.311642090000000260e-02
4.741201404899999389e-02 4.739503161600000514e-02
3.857099602499999141e-02 3.856785376900000173e-02
2.754637284100000180e-02 2.754073011599999718e-02
4.685363284900000147e-02 4.685146830399999907e-02
4.535962848399999886e-02 4.453999202500000254e-02
3.710631689999999844e-02 3.706664572900000149e-02
3.986810889999999746e-02 3.976075880099999571e-02
2.493430483599999581e-02 2.493335740899999681e-02
4.309443846399999695e-02 4.306828584099999663e-02
5.009091610000000055e-02 5.008867802499999966e-02
5.138971624900000312e-02 5.137883556100000110e-02
5.137203571599999880e-02 5.134846640400000245e-02
5.231146608900000272e-02 5.230323260100000482e-02
5.585423222499999452e-02 5.563182649599999335e-02
5.323217984100000327e-02 5.222733208899999618e-02
4.950002019599999276e-02 4.949957522499999485e-02
3.246519276100000295e-02 3.246483240000000436e-02
4.611670350399999646e-02 4.611498553599999856e-02
3.911455507600000020e-02 3.910941312099999734e-02
4.995895522499999714e-02 4.995716712099999152e-02
5.496305136400000263e-02 5.447836083600000184e-02
5.129907904900000287e-02 5.129364336099999366e-02
2.537999472100000223e-02 2.531821968900000233e-02
5.788451046399999828e-02 5.780802748900000509e-02
5.773976468100000536e-02 5.764368828099999953e-02
5.932829347600000747e-02 5.928007562499999772e-02
5.841937340100000070e-02 5.827058044899999928e-02
5.846723999999999671e-02 5.814512368899999589e-02
5.840922240000000210e-02 5.819432522500000288e-02
5.287378324900000176e-02 5.254318372900000644e-02
5.757936184900000476e-02 5.726496860100000613e-02
4.113879192900000287e-02 4.113798062500000075e-02
4.030778982400000376e-02 4.030778982400000376e-02
4.128089332899999991e-02 4.127886158399999422e-02
3.771014448099999777e-02 3.770975609999999839e-02
1.579395427600000304e-02 1.571763690000000172e-02
5.778879444900000134e-02 5.699249036100000054e-02
4.911586764100000363e-02 4.860613902399999603e-02
4.856866668899999934e-02 4.833490190399999942e-02
4.337889217599999458e-02 4.269430387600000459e-02
4.324819344400000071e-02 4.320827395599999982e-02
3.184975622500000464e-02 3.178411496099999706e-02
5.829568802499999342e-02 5.462737562499999505e-02
5.870056752399999828e-02 5.867004396099999297e-02
5.571629784900000021e-02 5.557806249999999726e-02
5.985166531600000228e-02 5.972353945599999381e-02
5.843532675600000142e-02 5.828941062400000428e-02
5.802751032099999484e-02 5.798271361600000617e-02
5.572007460100000809e-02 5.530586958399999475e-02
5.525085302499999074e-02 5.514935592099999562e-02
5.388480116100000106e-02 5.363253856899999339e-02
5.377760999999999653e-02 5.377760999999999653e-02
5.290322004899999236e-02 5.290046000100000201e-02
4.802935233599999604e-02 4.802233959999999829e-02
3.887127696400000110e-02 3.887127696400000110e-02
2.918562224399999516e-02 2.918528056899999737e-02
4.327232040000000141e-02 4.327232040000000141e-02
4.311478488099999840e-02 4.310897112900000105e-02
3.210977286399999825e-02 3.210977286399999825e-02
4.740940116900000528e-02 4.740809475600000350e-02
1.795787604899999612e-02 1.795760803599999803e-02
3.578642392899999969e-02 3.578112728099999695e-02
2.130023491599999930e-02 2.129585676100000102e-02
4.435615088099999909e-02 4.435362360900000495e-02
5.100506064899999747e-02 5.100054388900000096e-02
5.768979496900000781e-02 5.764272792099999626e-02
5.453065632400000418e-02 5.451804708100000535e-02
5.767394371600000069e-02 5.766385768900000874e-02
5.442795680400000502e-02 5.442235779599999962e-02
4.843432608400000117e-02 4.841188072900000361e-02
1.654464787599999737e-02 1.654387612899999721e-02
2.792575210000000294e-02 2.792541788100000311e-02
2.672832614399999959e-02 2.672080622500000099e-02
3.225041305599999492e-02 3.224215272099999890e-02
4.425175032099999683e-02 4.422398702500000139e-02
5.055392496399999103e-02 5.052380062500000379e-02
5.523440040000000134e-02 5.506531560000000464e-02
4.992051804099999213e-02 4.980261722499999821e-02
5.555307580899999237e-02 5.536467820900000530e-02
5.663590828900000318e-02 5.629373116900000112e-02
5.089490880099999809e-02 5.089175046399999069e-02
5.002245364900000102e-02 5.001708602500000433e-02
4.933107523599999933e-02 4.931863808399999938e-02
4.011087672900000289e-02 4.010006250000000549e-02
4.984815328899999676e-02 4.965008932899999533e-02
5.375998704400000716e-02 5.345760168099999987e-02
5.330003342399999844e-02 5.252897286400000365e-02
5.512305708899999795e-02 5.510380656400000465e-02
2.707209529599999623e-02 2.706485619599999920e-02
4.943685433600000789e-02 4.943552028100000467e-02
3.603922560000000219e-02 3.603922560000000219e-02
5.215285689999999558e-02 5.205196620099999255e-02
5.173031824900000547e-02 5.110086302500000538e-02
5.790809088099999752e-02 5.760672019600000110e-02
5.296027716099999810e-02 5.268310278400000629e-02
5.400046440000000336e-02 5.392937952899999610e-02
5.633549720099999963e-02 5.625624985600000127e-02
