# Interacting fermions (standard model)
# L=14, Delta=1, W=2.0, dmax=5
# Comparison between projected perturbation ||N_i^perp||^2 and its approximation ||N~_i||^2
# ||N_i^perp||^2 ||~N_i||^2
5.484401934400000289e-02 5.484401934400000289e-02
5.035939928100000018e-02 5.035311602500000538e-02
4.402653062500000436e-02 4.402359312400000446e-02
4.437131602500000299e-02 4.437089473599999806e-02
2.908013984099999671e-02 2.904059056900000144e-02
4.021909920899999907e-02 4.019624010000000247e-02
4.417142889999999683e-02 4.417142889999999683e-02
5.251201402499999782e-02 5.251201402499999782e-02
4.838372136899999482e-02 4.837976211600000798e-02
4.318000880400000435e-02 4.317917761600000015e-02
4.324528202499999807e-02 4.324528202499999807e-02
3.825114524099999802e-02 3.824527809599999328e-02
4.865509524100000011e-02 4.864539024900000480e-02
5.022887792400000662e-02 5.022842968900000787e-02
5.957602272399999815e-02 5.904414010000000324e-02
5.621498740900000152e-02 5.609508033599999721e-02
5.331296281599999520e-02 5.326679361600000079e-02
4.685363284900000147e-02 4.684194490000000155e-02
5.683360640400000191e-02 5.679928227600000712e-02
5.603541152400000336e-02 5.601931585600000013e-02
5.344465476100000029e-02 5.308508160399999509e-02
5.541268920099999551e-02 5.431976035599999503e-02
5.892999002499999667e-02 5.890086302499999982e-02
5.865551172099999627e-02 5.857900496099999882e-02
5.637158032899999838e-02 5.634594112900000173e-02
5.468301633599999961e-02 5.467787188900000844e-02
5.528517638400000378e-02 5.527859299599999221e-02
5.912581296400000463e-02 5.905823436100000878e-02
4.490161000000000152e-02 4.490033860900000118e-02
4.463205516900000530e-02 4.463078759999999923e-02
5.323264128400000822e-02 5.319757731599999290e-02
4.764222944099999468e-02 4.761865908899999555e-02
5.312425716899999567e-02 5.311642090000000260e-02
4.739546702500000569e-02 4.739503161600000514e-02
3.856824654400000524e-02 3.856785376900000173e-02
2.754205776399999694e-02 2.754073011599999718e-02
4.685190120900000615e-02 4.685146830399999907e-02
4.455054490000000256e-02 4.453999202500000254e-02
3.707126652099999864e-02 3.706664572900000149e-02
3.977352148899999940e-02 3.976075880099999571e-02
2.493367321599999561e-02 2.493335740899999681e-02
4.306911596099999989e-02 4.306828584099999663e-02
5.008867802499999966e-02 5.008867802499999966e-02
5.138110227599999164e-02 5.137883556100000110e-02
5.135707764099999711e-02 5.134846640400000245e-02
5.230689184899999650e-02 5.230323260100000482e-02
5.576257188099999207e-02 5.563182649599999335e-02
5.263353640000000694e-02 5.222733208899999618e-02
4.949957522499999485e-02 4.949957522499999485e-02
3.246483240000000436e-02 3.246483240000000436e-02
4.611584451599999579e-02 4.611498553599999856e-02
3.911218182400000298e-02 3.910941312099999734e-02
4.995761414399999684e-02 4.995716712099999152e-02
5.471903424099999746e-02 5.447836083600000184e-02
5.129364336099999366e-02 5.129364336099999366e-02
2.534527680400000191e-02 2.531821968900000233e-02
5.784650316900000200e-02 5.780802748900000509e-02
5.768931459600000478e-02 5.764368828099999953e-02
5.929809414400000200e-02 5.928007562499999772e-02
5.836186272399999236e-02 5.827058044899999928e-02
5.816296890000000053e-02 5.814512368899999589e-02
5.826333888400000299e-02 5.819432522500000288e-02
5.269871184399999714e-02 5.254318372900000644e-02
5.743451902500000539e-02 5.726496860100000613e-02
4.113879192900000287e-02 4.113798062500000075e-02
4.030778982400000376e-02 4.030778982400000376e-02
4.127886158399999422e-02 4.127886158399999422e-02
3.770975609999999839e-02 3.770975609999999839e-02
1.571763690000000172e-02 1.571763690000000172e-02
5.703451476100000056e-02 5.699249036100000054e-02
4.899715060899999947e-02 4.860613902399999603e-02
4.849244409999999700e-02 4.833490190399999942e-02
4.269513038400000321e-02 4.269430387600000459e-02
4.320827395599999982e-02 4.320827395599999982e-02
3.181764062500000434e-02 3.178411496099999706e-02
5.468301633599999961e-02 5.462737562499999505e-02
5.868796953600000088e-02 5.867004396099999297e-02
5.564031792400000315e-02 5.557806249999999726e-02
5.982328974400000221e-02 5.972353945599999381e-02
5.830341452100000488e-02 5.828941062400000428e-02
5.798752963599999866e-02 5.798271361600000617e-02
5.549228262400000139e-02 5.530586958399999475e-02
5.519868313599999438e-02 5.514935592099999562e-02
5.380265811599999753e-02 5.363253856899999339e-02
5.377760999999999653e-02 5.377760999999999653e-02
5.290046000100000201e-02 5.290046000100000201e-02
4.802321616400000159e-02 4.802233959999999829e-02
3.887127696400000110e-02 3.887127696400000110e-02
2.918528056899999737e-02 2.918528056899999737e-02
4.327232040000000141e-02 4.327232040000000141e-02
4.310897112900000105e-02 4.310897112900000105e-02
3.210977286399999825e-02 3.210977286399999825e-02
4.740809475600000350e-02 4.740809475600000350e-02
1.795760803599999803e-02 1.795760803599999803e-02
