# Interacting fermions (standard model)
# L=16, Delta=1, W=2.0
# Probability density functions f of ||N_i^perp||
# ||N_i^perp|| f(||N_i^perp||) 
7.242577909646666368e-02 5.795009648774592480e-03
7.479979222940000283e-02 1.159001929754925261e-02
7.717380536233332811e-02 2.318003859509836992e-02
7.954781849526665338e-02 2.897504824387313327e-02
8.192183162819999254e-02 4.636007719019673984e-02
8.429584476113333169e-02 9.272015438039402091e-02
8.666985789406665697e-02 1.159001929754918669e-01
8.904387102699998224e-02 1.159001929754925331e-01
9.141788415993332140e-02 1.622602701656885860e-01
9.379189729286666055e-02 1.274902122730410259e-01
9.616591042579999971e-02 2.375953955997596734e-01
9.853992355873332498e-02 2.260053763022090711e-01
1.009139366916666503e-01 2.665704438436328205e-01
1.032879498245999894e-01 3.013405017362787985e-01
1.056619629575333286e-01 3.477005789264755453e-01
1.080359760904666677e-01 4.636007719019701323e-01
1.104099892233999791e-01 5.621159359311387327e-01
1.127840023563333183e-01 6.316560517164305777e-01
1.151580154892666574e-01 5.563209262823609613e-01
1.175320286221999966e-01 6.490410806627581186e-01
1.199060417551333219e-01 7.243762060968240712e-01
1.222800548880666471e-01 9.793566306429117851e-01
1.246540680209999863e-01 1.083666804320848831e+00
1.270280811539333254e-01 1.118436862213496363e+00
1.294020942868666646e-01 1.066281775374537499e+00
1.317761074197999760e-01 1.095256823618397934e+00
1.341501205527333151e-01 1.315467190271832454e+00
1.365241336856666543e-01 1.413982354301000610e+00
1.388981468185999935e-01 1.547267576222816299e+00
1.412721599515333326e-01 1.761682933227476155e+00
1.436461730844666440e-01 1.906558174446863152e+00
1.460201862173999832e-01 1.894968155149291844e+00
1.483941993503333223e-01 1.981893299880910675e+00
1.507682124832666615e-01 2.091998483207652360e+00
1.531422256161999729e-01 2.144153570046599011e+00
1.555162387491333120e-01 2.277438791968414922e+00
1.578902518820666512e-01 2.132563550749050130e+00
1.602642650149999903e-01 2.625139370894890245e+00
1.626382781479333295e-01 2.909094843684845166e+00
1.650122912808666409e-01 2.856939756845907397e+00
1.673863044137999800e-01 3.106125171743181923e+00
1.697603175467333192e-01 3.175665287528476544e+00
1.721343306796666583e-01 3.610291011186613552e+00
1.745083438125999697e-01 3.836296387488780102e+00
1.768823569455333089e-01 3.888451474327751178e+00
1.792563700784666481e-01 4.172406947117706544e+00
1.816303832113999872e-01 4.508517506746633430e+00
1.840043963443333264e-01 5.018478355838796645e+00
1.863784094772666655e-01 5.285048799682428466e+00
1.887524226101999769e-01 5.777624619828336527e+00
1.911264357431333161e-01 6.664261096090781322e+00
1.935004488760666552e-01 6.612106009251887073e+00
1.958744620089999666e-01 8.026088363552810634e+00
1.982484751419333058e-01 8.721489521405761280e+00
2.006224882748666449e-01 9.347350563473417751e+00
2.029965014077999841e-01 9.764591258185188138e+00
2.053705145407333232e-01 1.102210835196927441e+01
2.077445276736666346e-01 1.133503887300323676e+01
2.101185408065999738e-01 1.211736517558767190e+01
2.124925539395333129e-01 1.333431720183033775e+01
2.148665670724666521e-01 1.354873255883499716e+01
2.172405802053999913e-01 1.521769533768225813e+01
2.196145933383333027e-01 1.542052067538918969e+01
2.219886064712666418e-01 1.583776137010096186e+01
2.243626196041999810e-01 1.696778825161200999e+01
2.267366327371333201e-01 1.695619823231445977e+01
2.291106458700666315e-01 1.734446387878255891e+01
2.314846590029999707e-01 1.853244085678114672e+01
2.338586721359333098e-01 1.821951033574731937e+01
2.362326852688666490e-01 1.837597559626423305e+01
2.386066984017999881e-01 1.803986503663551844e+01
2.409807115347332995e-01 1.710107347353382323e+01
2.433547246676666387e-01 1.540313564644286615e+01
2.457287378005999778e-01 1.524087537627717914e+01
2.481027509335333170e-01 9.799361316077835227e+00
