# Interacting fermions (standard model)
# L=12, Delta=1, W=20.0
# Probability density functions f of ||N_i^perp||
# ||N_i^perp|| f(||N_i^perp||) 
8.216421876266666660e-03 5.440150784270382012e+00
1.133509790879999937e-02 2.097391466582674724e+01
1.445377394133333382e-02 2.518069793160445613e+01
1.757244997386666480e-02 2.446067797486277939e+01
2.069112600639999924e-02 2.192727442336433796e+01
2.380980203893333369e-02 1.944053883202503386e+01
2.692847807146666467e-02 1.666046177682805762e+01
3.004715410399999564e-02 1.436039802612548755e+01
3.316583013653333356e-02 1.219367130444915936e+01
3.628450616906667148e-02 1.079363249967371985e+01
3.940318220159999552e-02 9.560264981181045840e+00
4.252185823413333343e-02 9.033583716527397556e+00
4.564053426666667135e-02 7.773548792229497906e+00
4.875921029919999539e-02 7.226866973221934387e+00
5.187788633173333330e-02 6.040167414888429676e+00
5.499656236426667122e-02 6.073501672145003027e+00
5.811523839679999526e-02 5.346814863952022101e+00
6.123391442933333317e-02 5.000138588483810764e+00
6.435259046186667109e-02 4.626794907210342700e+00
6.747126649439999513e-02 4.266784928839528312e+00
7.058994252693331917e-02 3.673435149672764855e+00
7.370861855946665708e-02 3.433428497425557779e+00
7.682729459199999500e-02 3.340092577107177885e+00
7.994597062453331904e-02 2.933414638577162670e+00
8.306464665706665695e-02 2.993416301638981203e+00
8.618332268959999487e-02 2.606738917462887439e+00
8.930199872213331891e-02 2.840078718258798318e+00
9.242067475466665682e-02 2.413400225374858099e+00
9.553935078719999474e-02 2.593405214560263961e+00
9.865802681973331878e-02 2.240062087640742217e+00
1.017767028522666567e-01 2.073390801357958058e+00
1.048953788847999946e-01 2.240062087640742217e+00
1.080140549173333187e-01 1.973388029588272863e+00
1.111327309498666566e-01 1.746715080243681939e+00
1.142514069823999945e-01 1.780049337500232864e+00
1.173700830149333185e-01 1.753381931694985685e+00
1.204887590474666564e-01 1.760048783146305418e+00
1.236074350799999944e-01 1.733381377341042917e+00
1.267261111125333461e-01 1.546709536704328869e+00
1.298447871450666424e-01 1.573376942509575827e+00
1.329634631775999942e-01 1.553376388155640608e+00
1.360821392101333183e-01 1.393371953324146206e+00
1.392008152426666423e-01 1.460040467837275813e+00
1.423194912751999941e-01 1.473374170739899514e+00
1.454381673077333181e-01 1.380038250421522505e+00
1.485568433402666422e-01 1.306702884457105363e+00
1.516755193727999940e-01 1.253368072846611447e+00
1.547941954053333180e-01 1.573376942509562060e+00
1.579128714378666420e-01 1.500041576545146471e+00
1.610315474703999938e-01 1.613378051217446485e+00
1.641502235029333179e-01 1.673379714279237707e+00
1.672688995354666419e-01 1.553376388155640608e+00
1.703875755679999937e-01 1.593377496863511267e+00
1.735062516005333177e-01 1.753381931694977913e+00
1.766249276330666418e-01 1.860051554915981953e+00
1.797436036655999936e-01 2.520069848595845929e+00
1.828622796981333176e-01 3.460095903230774095e+00
1.859809557306666417e-01 2.820078163904875534e+00
1.890996317631999935e-01 1.066696232209882078e+00
1.922183077957333175e-01 7.066862538390406012e-01
1.953369838282666415e-01 4.600127501405116281e-01
1.984556598607999933e-01 5.066807102996939705e-01
2.015743358933333174e-01 4.733464530431309436e-01
2.046930119258666414e-01 4.733464530431351625e-01
2.078116879583999932e-01 3.666768298221469435e-01
2.109303639909333172e-01 2.933414638577149791e-01
2.140490400234666413e-01 2.200060978932881772e-01
2.171677160559999931e-01 2.000055435393528758e-01
2.202863920885333171e-01 1.733381377341043084e-01
2.234050681210666411e-01 1.400038804775470269e-01
2.265237441535999929e-01 7.333536596442939703e-02
2.296424201861333170e-01 4.000110870787022127e-02
2.327610962186666410e-01 3.333425725655881494e-02
2.358797722511999928e-01 2.000055435393528758e-02
2.389984482837333168e-01 3.333425725655851657e-02
