# Random-field Heisenberg model
# L=26, J=1, Delta=1.0, W/J=3.0
# CDFs of High-T dc spin conductivities sigma_0
# sigma_0 CDF

2.28361e-05 0.0000000
2.93027e-05 0.0204082
3.10648e-05 0.0408163
4.42377e-05 0.0612245
4.89081e-05 0.0816327
5.09585e-05 0.1020410
5.12154e-05 0.1224490
6.27099e-05 0.1428570
6.7457e-05 0.1632650
6.7847e-05 0.1836730
7.66876e-05 0.2040820
7.80351e-05 0.2244900
7.89309e-05 0.2448980
8.87718e-05 0.2653060
8.87773e-05 0.2857140
9.20579e-05 0.3061220
0.000107335 0.3265310
0.000108823 0.3469390
0.000110744 0.3673470
0.000119334 0.3877550
0.000123099 0.4081630
0.000127508 0.4285710
0.00012847 0.4489800
0.000133257 0.4693880
0.000150168 0.4897960
0.000179769 0.5102040
0.000207271 0.5306120
0.000228738 0.5510200
0.000230414 0.5714290
0.000231322 0.5918370
0.000233547 0.6122450
0.000266674 0.6326530
0.000271266 0.6530610
0.000272521 0.6734690
0.000287271 0.6938780
0.00028806 0.7142860
0.000331672 0.7346940
0.000335327 0.7551020
0.000362735 0.7755100
0.00040645 0.7959180
0.000426669 0.8163270
0.000435657 0.8367350
0.000534048 0.8571430
0.000581332 0.8775510
0.000595278 0.8979590
0.00074463 0.9183670
0.000747192 0.9387760
0.000788775 0.9591840
0.0010276 0.9795920
0.0012934 1.0000000
