# Random-field Heisenberg model
# L=26, J=1, Delta=1.0, W=3.0
# Flattened local potentials on sites with different tresholds R 
# i h_i/W{R=0.0} h_i/W{R=0.9} h_i/W{R=1.5} h_i/W{R=2.1}

1 0.3386 0.3386 0.3386 -0.4304
2 -0.2781 -0.2781 -0.2781 -0.4304
3 -0.7824 -0.7824 -0.6607 -0.4304
4 -0.3999 -0.6201 -0.6607 -0.4304
5 -0.6437 -0.6201 -0.6607 -0.4304
6 -0.8166 -0.6201 -0.6607 -0.4304
7 0.0871 0.0871 0.0871 0.0871
8 0.9514 0.9514 0.9514 0.3931
9 0.2551 0.2551 0.2551 0.3931
10 0.7711 0.7451 0.4957 0.3931
11 0.8715 0.7451 0.4957 0.3931
12 0.5926 0.7451 0.4957 0.3931
13 0.2133 0.1217 0.4957 0.3931
14 0.0301 0.1217 0.4957 0.3931
15 -0.5402 -0.5402 -0.5402 0.3931
16 0.6410 0.6552 0.6552 0.6552
17 0.4117 0.6552 0.6552 0.6552
18 0.5981 0.6552 0.6552 0.6552
19 0.8181 0.6552 0.6552 0.6552
20 0.8069 0.6552 0.6552 0.6552
21 -0.0810 0.0251 -0.0720 -0.0720
22 0.1312 0.0251 -0.0720 -0.0720
23 -0.2661 -0.2661 -0.0720 -0.0720
24 -0.9738 -0.9738 -0.9738 -0.9738
25 -0.0885 -0.0885 -0.0885 -0.0885
26 -0.8862 -0.8862 -0.8862 -0.8862
