# Toy model
# L=1e7, W=4.5
# Typical exchange value of J^eff for nonresonant islands of length M
# M J^eff

1 0.18266928922204723
2 5.6915135054443941E-002
3 1.7526625544600567E-002
4 5.3292764132645666E-003
5 1.6280339139974104E-003
6 4.7883440994737772E-004
7 1.4029259098563806E-004
8 4.0405823384897926E-005
9 1.1710493805086016E-005
10 3.4361934499917512E-006
11 9.6712881929862915E-007
12 2.7134553620941472E-007
13 7.9141584508245161E-008
14 2.2832918542931007E-008
15 6.0586910006555967E-009
16 1.9969100582593822E-009
17 4.4718714867032754E-010
18 1.8049233986107447E-010
19 4.4115886967563420E-011
20 1.2704901398510472E-011
21 4.0518018034007992E-012
22 1.1403675916760744E-012
23 1.6555309510051079E-013
24 7.1302908495788051E-014
25 1.2992874802573558E-014
26 1.8779528708072110E-014
27 1.0551179996958776E-015
28 4.5172339219812192E-016
29 1.4408365256165638E-016
30 2.2174822661111752E-017
31 2.0035134241749266E-016
32 1.5041946988651614E-017
33 3.1331904461107370E-019
34 3.6081019221635096E-018
35 1.7216983090499647E-020
 
