# XXZ chain with NNN perturbation
# L = 28, S_z^tot = 4, J = 1, Delta = 0.5, g = 0.35
# Time dependence of normalized spin current autocorrelation function, with time rescaled by g^2
# tJg^2, C_sigma(t)

0.000000000000000000e+00 1.000000000000000000e+00
1.224999999999999839e-01 9.753647867689689832e-01
2.449999999999999678e-01 9.267455544606958417e-01
3.674999999999999378e-01 8.752422182729764355e-01
4.899999999999999356e-01 8.261950924831682475e-01
6.124999999999999334e-01 7.839053770527263376e-01
7.349999999999998757e-01 7.480544983872992049e-01
8.574999999999999289e-01 7.172437762225335467e-01
9.799999999999998712e-01 6.902677538476748031e-01
1.102499999999999813e+00 6.660809080458610643e-01
1.224999999999999867e+00 6.439551721743300705e-01
1.347499999999999920e+00 6.234073409960830814e-01
1.469999999999999751e+00 6.041078801635569873e-01
1.592499999999999805e+00 5.858496865914966101e-01
1.714999999999999858e+00 5.684907435092916295e-01
1.837499999999999689e+00 5.519006148521954369e-01
1.959999999999999742e+00 5.359899974811407342e-01
2.082499999999999574e+00 5.207015635778792229e-01
2.204999999999999627e+00 5.059910955401135668e-01
2.327499999999999680e+00 4.918232543695325587e-01
2.449999999999999734e+00 4.782144544959529009e-01
2.572499999999999787e+00 4.651768694746354349e-01
2.694999999999999840e+00 4.526703749460380122e-01
2.817499999999999449e+00 4.406459214795995227e-01
2.939999999999999503e+00 4.290626223488482882e-01
3.062499999999999556e+00 4.178885164874253655e-01
3.184999999999999609e+00 4.070856754969665592e-01
3.307499999999999662e+00 3.966187216779390456e-01
3.429999999999999716e+00 3.864525658422648391e-01
3.552499999999999325e+00 3.765455756062129344e-01
3.674999999999999378e+00 3.668741769294998623e-01
3.797499999999999432e+00 3.574315640798836902e-01
3.919999999999999485e+00 3.482202580721008300e-01
4.042499999999999538e+00 3.392444700093225074e-01
4.164999999999999147e+00 3.305029074377101583e-01
4.287499999999999645e+00 3.220060452856894351e-01
4.409999999999999254e+00 3.137519593714375721e-01
4.532499999999999751e+00 3.057316144082674603e-01
4.654999999999999361e+00 2.979390042354211898e-01
4.777499999999998970e+00 2.903676696832105386e-01
4.899999999999999467e+00 2.830266020145798533e-01
5.022499999999999076e+00 2.759105840139038368e-01
5.144999999999999574e+00 2.690242361450468911e-01
5.267499999999999183e+00 2.623679224294229728e-01
5.389999999999999680e+00 2.559289763570252729e-01
5.512499999999999289e+00 2.496894531479589285e-01
5.634999999999998899e+00 2.436409882945891892e-01
5.757499999999999396e+00 2.377652624591301000e-01
5.879999999999999005e+00 2.320449042324786715e-01
6.002499999999999503e+00 2.264667894748089993e-01
6.124999999999999112e+00 2.210284263724098530e-01
6.247499999999999609e+00 2.157367149787302874e-01
6.369999999999999218e+00 2.105851155655303342e-01
6.492499999999998828e+00 2.055709967844828179e-01
6.614999999999999325e+00 2.007039373758431611e-01
6.737499999999998934e+00 1.959889792644367579e-01
6.859999999999999432e+00 1.914261721516156978e-01
6.982499999999999041e+00 1.870074101268197619e-01
7.104999999999998650e+00 1.827149641752508769e-01
7.227499999999999147e+00 1.785314847711371722e-01
7.349999999999998757e+00 1.744535777464068238e-01
7.472499999999999254e+00 1.704727878027517407e-01
7.594999999999998863e+00 1.665894431110387375e-01
7.717499999999999361e+00 1.628194262211136722e-01
7.839999999999998970e+00 1.591592805717864934e-01
7.962499999999998579e+00 1.555926302209967860e-01
8.084999999999999076e+00 1.521013387689233998e-01
8.207499999999999574e+00 1.486908905177217466e-01
8.329999999999998295e+00 1.453629650536672202e-01
8.452499999999998792e+00 1.421041886171518775e-01
8.574999999999999289e+00 1.389182884789727790e-01
8.697499999999998010e+00 1.358217988330108206e-01
8.819999999999998508e+00 1.328258578685839186e-01
8.942499999999999005e+00 1.299213232262820261e-01
9.064999999999999503e+00 1.270910986509797003e-01
9.187499999999998224e+00 1.243296243530875728e-01
9.309999999999998721e+00 1.216400302865162236e-01
9.432499999999999218e+00 1.190171304353984799e-01
9.554999999999997939e+00 1.164488657558818002e-01
9.677499999999998437e+00 1.139078639416149091e-01
9.799999999999998934e+00 1.113976028694222270e-01
9.922499999999999432e+00 1.089282283210214752e-01
1.004499999999999815e+01 1.065121953135812205e-01
1.016749999999999865e+01 1.041606100846567962e-01
1.028999999999999915e+01 1.018674009101588340e-01
1.041249999999999787e+01 9.962780634423447357e-02
1.053499999999999837e+01 9.743491615701339870e-02
1.065749999999999886e+01 9.528809129571873260e-02
1.077999999999999936e+01 9.318965870033651955e-02
1.090249999999999808e+01 9.114786980828283591e-02
1.102499999999999858e+01 8.917130534648808060e-02
1.114749999999999908e+01 8.727454869746320565e-02
1.126999999999999780e+01 8.544729602595795004e-02
1.139249999999999829e+01 8.366391845802818861e-02
1.151499999999999879e+01 8.191650016779326859e-02
1.163749999999999929e+01 8.020536427937584312e-02
1.175999999999999801e+01 7.852440703955834711e-02
1.188249999999999851e+01 7.687880643699891714e-02
1.200499999999999901e+01 7.526810852161645859e-02
1.212749999999999773e+01 7.368903709100996235e-02
1.224999999999999822e+01 7.214382257959048306e-02
1.237249999999999872e+01 7.062827564401241709e-02
1.249499999999999922e+01 6.913895808094853990e-02
1.261749999999999794e+01 6.767048725684111921e-02
1.273999999999999844e+01 6.622361838685909829e-02
1.286249999999999893e+01 6.480601091777207778e-02
1.298499999999999766e+01 6.341635232596420924e-02
1.310749999999999815e+01 6.205389731419875404e-02
1.322999999999999865e+01 6.072500827111847188e-02
1.335249999999999737e+01 5.943515806458456174e-02
1.347499999999999787e+01 5.819193042829719914e-02
1.359749999999999837e+01 5.698411267835658961e-02
1.371999999999999886e+01 5.580268628441792389e-02
1.384249999999999758e+01 5.464440694669935733e-02
1.396499999999999808e+01 5.349748462232932489e-02
1.408749999999999858e+01 5.235853394954462225e-02
1.420999999999999730e+01 5.123173806145376458e-02
1.433249999999999780e+01 5.013254967017992392e-02
1.445499999999999829e+01 4.906874449056266435e-02
1.457749999999999879e+01 4.802994803815312241e-02
1.469999999999999751e+01 4.702699320489679008e-02
1.482249999999999801e+01 4.606016377950061108e-02
1.494499999999999851e+01 4.511433549215677907e-02
1.506749999999999723e+01 4.418071261447981124e-02
1.518999999999999773e+01 4.325117217751749815e-02
1.531249999999999822e+01 4.232291736777026026e-02
1.543499999999999872e+01 4.141322406186912636e-02
1.555749999999999744e+01 4.053890829893003200e-02
1.567999999999999794e+01 3.970111597762708555e-02
1.580249999999999844e+01 3.890306414056141082e-02
1.592499999999999716e+01 3.814079575527861560e-02
1.604749999999999943e+01 3.739741674643264069e-02
1.616999999999999815e+01 3.665989270365803410e-02
1.629249999999999687e+01 3.593725794198548290e-02
1.641499999999999915e+01 3.524630386496809681e-02
1.653749999999999787e+01 3.459624838661307100e-02
1.665999999999999659e+01 3.397547498290215406e-02
1.678249999999999886e+01 3.335800167383733833e-02
1.690499999999999758e+01 3.272982830628506229e-02
1.702749999999999631e+01 3.210071931754376884e-02
1.714999999999999858e+01 3.148209536496422017e-02
1.727249999999999730e+01 3.087357437883209849e-02
1.739499999999999602e+01 3.028305218534075097e-02
1.751749999999999829e+01 2.971687843259033721e-02
1.763999999999999702e+01 2.917845265765101406e-02
1.776249999999999929e+01 2.866857937853558441e-02
1.788499999999999801e+01 2.818671620654673166e-02
1.800749999999999673e+01 2.772587748417114015e-02
1.812999999999999901e+01 2.726805553334374008e-02
1.825249999999999773e+01 2.681209585296860654e-02
1.837499999999999645e+01 2.636325346451562704e-02
1.849749999999999872e+01 2.592172525800620284e-02
1.861999999999999744e+01 2.549379169369359044e-02
1.874249999999999616e+01 2.508052928774204965e-02
1.886499999999999844e+01 2.466615857583784668e-02
1.898749999999999716e+01 2.422827460351887480e-02
1.910999999999999588e+01 2.376108718602418929e-02
1.923249999999999815e+01 2.327709158141691784e-02
1.935499999999999687e+01 2.279817574508618064e-02
1.947749999999999915e+01 2.234876890058050403e-02
1.959999999999999787e+01 2.193858892417768422e-02
1.972249999999999659e+01 2.154656350528497133e-02
1.984499999999999886e+01 2.117304490589992302e-02
1.996749999999999758e+01 2.081175743838933542e-02
2.008999999999999631e+01 2.045116259536030115e-02
2.021249999999999858e+01 2.007713083258256745e-02
2.033499999999999730e+01 1.968466332496784238e-02
2.045749999999999602e+01 1.928623835401439487e-02
2.057999999999999829e+01 1.889171912413046064e-02
2.070249999999999702e+01 1.851125496022259717e-02
2.082499999999999574e+01 1.814319194289019596e-02
2.094749999999999801e+01 1.778014905965291312e-02
2.106999999999999673e+01 1.742410755082755142e-02
2.119249999999999545e+01 1.708491206217812794e-02
2.131499999999999773e+01 1.676173011843725899e-02
2.143749999999999645e+01 1.644444987423835519e-02
2.155999999999999872e+01 1.611717612860521717e-02
2.168249999999999744e+01 1.577795790724510067e-02
2.180499999999999616e+01 1.542867821546032268e-02
2.192749999999999844e+01 1.507304112059655067e-02
2.204999999999999716e+01 1.471765153268652510e-02
2.217249999999999588e+01 1.437037414876556757e-02
2.229499999999999815e+01 1.403617790914393065e-02
2.241749999999999687e+01 1.370103971148906377e-02
2.253999999999999559e+01 1.336389415373278114e-02
2.266249999999999787e+01 1.302486889333548392e-02
2.278499999999999659e+01 1.268810607680695944e-02
2.290749999999999531e+01 1.236723988881137902e-02
2.302999999999999758e+01 1.207122372872151614e-02
2.315249999999999631e+01 1.180624591094891172e-02
2.327499999999999858e+01 1.155935139013274798e-02
2.339749999999999730e+01 1.131525295416065113e-02
2.351999999999999602e+01 1.108655874334901932e-02
