# XXZ chain with NNN perturbation
# L = 28, S_z^tot = 4, J = 1, Delta = 0.5, g = 0.40
# Time dependence of normalized energy current autocorrelation function, with time rescaled by g^2
# tJg^2, C_kappa(t)

0.000000000000000000e+00 1.000000000000000000e+00
1.600000000000000311e-01 9.629621525580150943e-01
3.200000000000000622e-01 8.783137780088920987e-01
4.800000000000000933e-01 7.778633597169252178e-01
6.400000000000001243e-01 6.776385187682385514e-01
8.000000000000001554e-01 5.853838719001066559e-01
9.600000000000001865e-01 5.033362132624689123e-01
1.120000000000000107e+00 4.319716694365650089e-01
1.280000000000000249e+00 3.710159251333809971e-01
1.440000000000000391e+00 3.196908181597979404e-01
1.600000000000000311e+00 2.768892714434919577e-01
1.760000000000000231e+00 2.414058378515935854e-01
1.920000000000000373e+00 2.121197155611370400e-01
2.080000000000000515e+00 1.880829601094257952e-01
2.240000000000000213e+00 1.684794175724479426e-01
2.400000000000000355e+00 1.525419073282175964e-01
2.560000000000000497e+00 1.395865947669278073e-01
2.720000000000000639e+00 1.290551375151820224e-01
2.880000000000000782e+00 1.205188612925240654e-01
3.040000000000000480e+00 1.136372715636673331e-01
3.200000000000000622e+00 1.081198249092039099e-01
3.360000000000000764e+00 1.037351889764609042e-01
3.520000000000000462e+00 1.002900127590363871e-01
3.680000000000000604e+00 9.759997110178589286e-02
3.840000000000000746e+00 9.548406224425544375e-02
4.000000000000000888e+00 9.378200661010462069e-02
4.160000000000001030e+00 9.234814765791908575e-02
4.320000000000001172e+00 9.106207842985586387e-02
4.480000000000000426e+00 8.982579261192341624e-02
4.640000000000000568e+00 8.855873713483317089e-02
4.800000000000000711e+00 8.720283616681047401e-02
4.960000000000000853e+00 8.572826539464001305e-02
5.120000000000000995e+00 8.414089074503838805e-02
5.280000000000001137e+00 8.246140488732191243e-02
5.440000000000001279e+00 8.070515472206449270e-02
5.600000000000001421e+00 7.887960253926321053e-02
5.760000000000001563e+00 7.699676619454150217e-02
5.920000000000000817e+00 7.507297477376503880e-02
6.080000000000000959e+00 7.311125488392307414e-02
6.240000000000001101e+00 7.111379675937375133e-02
6.400000000000001243e+00 6.909357080662716089e-02
6.560000000000001386e+00 6.706321465859560460e-02
6.720000000000001528e+00 6.503784739644866142e-02
6.880000000000001670e+00 6.303606307139766884e-02
7.040000000000000924e+00 6.108809317764862801e-02
7.200000000000001066e+00 5.921489814804038049e-02
7.360000000000001208e+00 5.741884476485606403e-02
7.520000000000001350e+00 5.570466512205664994e-02
7.680000000000001492e+00 5.408277656812015416e-02
7.840000000000001634e+00 5.255643975443155536e-02
8.000000000000001776e+00 5.111856773030108714e-02
8.160000000000001918e+00 4.974231532534050676e-02
8.320000000000002061e+00 4.839257317347766402e-02
8.480000000000002203e+00 4.705408941728782962e-02
8.640000000000002345e+00 4.573832332758161895e-02
8.800000000000002487e+00 4.446582441210276265e-02
8.960000000000000853e+00 4.324011381317175579e-02
9.120000000000000995e+00 4.205479076997024196e-02
9.280000000000001137e+00 4.090028729977963212e-02
9.440000000000001279e+00 3.977810028229365052e-02
9.600000000000001421e+00 3.869031929554748311e-02
9.760000000000001563e+00 3.763710479865187142e-02
9.920000000000001705e+00 3.661876083039313640e-02
1.008000000000000185e+01 3.562739882236920508e-02
1.024000000000000199e+01 3.465322033219328524e-02
1.040000000000000213e+01 3.370157886696097116e-02
1.056000000000000227e+01 3.277480621491053042e-02
1.072000000000000242e+01 3.187292741671614305e-02
1.088000000000000256e+01 3.099925929578155326e-02
1.104000000000000270e+01 3.014472957502952605e-02
1.120000000000000284e+01 2.930296871463108910e-02
1.136000000000000298e+01 2.847722941563050544e-02
1.152000000000000313e+01 2.767041059357413374e-02
1.168000000000000149e+01 2.689738139842565504e-02
1.184000000000000163e+01 2.616489692142907886e-02
1.200000000000000178e+01 2.547619823901443870e-02
1.216000000000000192e+01 2.482582507936007682e-02
1.232000000000000206e+01 2.419045670805831244e-02
1.248000000000000220e+01 2.354176418440209750e-02
1.264000000000000234e+01 2.289053260243899268e-02
1.280000000000000249e+01 2.226599431400569026e-02
1.296000000000000263e+01 2.169191965820185461e-02
1.312000000000000277e+01 2.116678365433434864e-02
1.328000000000000291e+01 2.066913917829161715e-02
1.344000000000000306e+01 2.019447502525290039e-02
1.360000000000000320e+01 1.974484181350308343e-02
1.376000000000000334e+01 1.931862604106403952e-02
1.392000000000000348e+01 1.892024221341933113e-02
1.408000000000000185e+01 1.855158137763721071e-02
1.424000000000000199e+01 1.820454314628669121e-02
1.440000000000000213e+01 1.786188135939577662e-02
1.456000000000000227e+01 1.751812810923793901e-02
1.472000000000000242e+01 1.716867814517166607e-02
1.488000000000000256e+01 1.681241260190302622e-02
1.504000000000000270e+01 1.643963486735887727e-02
1.520000000000000284e+01 1.605820575191993504e-02
1.536000000000000298e+01 1.567109329466038689e-02
1.552000000000000313e+01 1.526298077248067556e-02
1.568000000000000327e+01 1.482803802230723070e-02
1.584000000000000341e+01 1.437183394100727089e-02
1.600000000000000355e+01 1.389858751338713533e-02
1.616000000000000369e+01 1.341728287189126664e-02
1.632000000000000384e+01 1.293488683204763005e-02
1.648000000000000398e+01 1.245265944588435508e-02
1.664000000000000412e+01 1.197333689996655202e-02
1.680000000000000426e+01 1.151007424689643767e-02
1.696000000000000441e+01 1.108011546849044411e-02
1.712000000000000455e+01 1.068041000216221441e-02
1.728000000000000469e+01 1.030140494250293172e-02
1.744000000000000483e+01 9.952174033581543192e-03
1.760000000000000497e+01 9.650166812182411555e-03
1.776000000000000512e+01 9.412568217511275981e-03
1.792000000000000171e+01 9.238672288019394649e-03
