# XXZ chain with NNN perturbation
# L = 28, S_z^tot = 0, J = 1, Delta = 0.5, g = 0.35
# Energy-current memory function (relaxation-rate), Γκ(ω), extracted from C_kappa(ω)
# ω, Γκ(ω)/g^2

0.000000000000000000e+00 3.107793897643954528e-01
5.000000000000000240e-05 3.107847316113214742e-01
1.000000000000000048e-04 3.108008306609705840e-01
1.500000000000000140e-04 3.108278142479165562e-01
2.000000000000000096e-04 3.108656210072159309e-01
2.500000000000000052e-04 3.109137063338249796e-01
3.000000000000000279e-04 3.109708169343791129e-01
3.499999999999999964e-04 3.110349336758937433e-01
4.000000000000000192e-04 3.111034222757187440e-01
4.500000000000000419e-04 3.111733563317176099e-01
5.000000000000000104e-04 3.112419150818468983e-01
5.500000000000000331e-04 3.113067324652932233e-01
6.000000000000000559e-04 3.113660940834721003e-01
6.500000000000000786e-04 3.114189368446795281e-01
6.999999999999999929e-04 3.114646804029112537e-01
7.500000000000000156e-04 3.115029815958783033e-01
8.000000000000000383e-04 3.115335286927511382e-01
8.500000000000000611e-04 3.115559707663195232e-01
9.000000000000000838e-04 3.115700167997305647e-01
9.499999999999999981e-04 3.115756632285764938e-01
1.000000000000000021e-03 3.115734482920446413e-01
1.050000000000000152e-03 3.115646118568154432e-01
1.100000000000000066e-03 3.115510692586717645e-01
1.149999999999999981e-03 3.115351763502112181e-01
1.200000000000000112e-03 3.115193438631426726e-01
1.250000000000000026e-03 3.115056204909181781e-01
1.300000000000000157e-03 3.114953809343412039e-01
1.350000000000000071e-03 3.114892197946191321e-01
1.399999999999999986e-03 3.114870775434204209e-01
1.450000000000000117e-03 3.114885395742292840e-01
1.500000000000000031e-03 3.114931866468649280e-01
1.550000000000000162e-03 3.115008590713406189e-01
1.600000000000000077e-03 3.115117335563504231e-01
1.649999999999999991e-03 3.115261862840345564e-01
1.700000000000000122e-03 3.115444996132827327e-01
1.750000000000000036e-03 3.115665308094544561e-01
1.800000000000000168e-03 3.115914762774423252e-01
1.850000000000000082e-03 3.116178286202859748e-01
1.899999999999999996e-03 3.116435509469485665e-01
1.950000000000000127e-03 3.116664118282224671e-01
2.000000000000000042e-03 3.116843665517523010e-01
2.050000000000000173e-03 3.116958576195158481e-01
2.100000000000000304e-03 3.116999434849848649e-01
2.150000000000000001e-03 3.116962339496093803e-01
2.200000000000000133e-03 3.116846853915478666e-01
2.250000000000000264e-03 3.116653596824784378e-01
2.299999999999999961e-03 3.116382581107242089e-01
2.350000000000000092e-03 3.116033043433334981e-01
2.400000000000000223e-03 3.115604846839442055e-01
2.449999999999999921e-03 3.115100865830185972e-01
2.500000000000000052e-03 3.114529340069974728e-01
2.550000000000000183e-03 3.113905164373878542e-01
2.600000000000000314e-03 3.113249462382127741e-01
2.650000000000000012e-03 3.112587412564666867e-01
2.700000000000000143e-03 3.111944919819737976e-01
2.750000000000000274e-03 3.111345124852817889e-01
2.799999999999999972e-03 3.110805778331576232e-01
2.850000000000000103e-03 3.110338175829284735e-01
2.900000000000000234e-03 3.109947784367992352e-01
2.949999999999999931e-03 3.109636105207346235e-01
3.000000000000000062e-03 3.109402925161151576e-01
3.050000000000000194e-03 3.109248048735753778e-01
3.100000000000000325e-03 3.109171890887268974e-01
3.150000000000000022e-03 3.109174833035889818e-01
3.200000000000000153e-03 3.109255801526374929e-01
3.250000000000000284e-03 3.109410896028629856e-01
3.299999999999999982e-03 3.109632916535298164e-01
3.350000000000000113e-03 3.109912285792362785e-01
3.400000000000000244e-03 3.110239269294948206e-01
3.450000000000000375e-03 3.110606798666811224e-01
3.500000000000000073e-03 3.111012858999687714e-01
3.550000000000000204e-03 3.111461461178779420e-01
3.600000000000000335e-03 3.111961676138073063e-01
3.650000000000000033e-03 3.112524889106550452e-01
3.700000000000000164e-03 3.113161077654049147e-01
3.750000000000000295e-03 3.113875279602060231e-01
3.799999999999999992e-03 3.114665356205295610e-01
3.850000000000000124e-03 3.115521696440722854e-01
3.900000000000000255e-03 3.116428828155678454e-01
3.950000000000000386e-03 3.117368261872302537e-01
4.000000000000000083e-03 3.118321530338096226e-01
4.049999999999999781e-03 3.119272422895645880e-01
