# XXZ chain with NNN perturbation
# L = 16, full Hilbert space, J = 1, Delta = 0.5, g = 0.05
# Normalized cumlative spectral function for the O3 operator
# omega, R_3(omega)

4.961947603002903606e-01 1.000000000000000000e+00
4.774520538566129346e-01 1.000000000000000000e+00
4.594173134636476141e-01 1.000000000000000000e+00
4.420637972028532148e-01 1.000000000000000000e+00
4.253657732750387721e-01 1.000000000000000000e+00
4.092984818452440332e-01 1.000000000000000000e+00
3.938380983288489179e-01 1.000000000000000000e+00
3.789616980644718303e-01 1.000000000000000000e+00
3.646472223212748887e-01 1.000000000000000000e+00
3.508734455902713378e-01 1.000000000000000000e+00
3.376199441111340516e-01 1.000000000000000000e+00
3.248670655878376778e-01 1.000000000000000000e+00
3.125959000482280703e-01 1.000000000000000000e+00
3.007882518043100695e-01 1.000000000000000000e+00
2.894266124716751709e-01 1.000000000000000000e+00
2.784941350080645805e-01 1.000000000000000000e+00
2.679746087325692305e-01 1.000000000000000000e+00
2.578524352884274951e-01 1.000000000000000000e+00
2.481126055137770070e-01 1.000000000000000000e+00
2.387406771860647314e-01 1.000000000000000000e+00
2.297227536071152210e-01 1.000000000000000000e+00
2.210454629971021490e-01 1.000000000000000000e+00
2.126959386668690888e-01 1.000000000000000000e+00
2.046617999391990017e-01 9.979612678013937144e-01
1.969311337907422854e-01 9.960179110496912847e-01
1.894924771873821578e-01 9.945112376791840347e-01
1.823348000868441343e-01 9.930488423466328207e-01
1.754474890833459533e-01 9.917462087867259246e-01
1.688203316700363499e-01 9.907087347352049322e-01
1.624435010958867054e-01 9.897671558900508204e-01
1.563075417945816725e-01 9.889430255693497651e-01
1.504033553638025045e-01 9.881541634433887999e-01
1.447221870741135230e-01 9.874660563299522131e-01
1.392556128874463395e-01 9.868078204569458167e-01
1.339955269659339199e-01 9.861816664965006307e-01
1.289341296525715608e-01 9.855965054747428677e-01
1.240639159058832403e-01 9.850641110595766969e-01
1.193776641714437009e-01 9.845224105420962157e-01
1.148684256737554227e-01 9.840027041378474060e-01
1.105295141126022146e-01 9.834527950001942243e-01
1.063544957486011189e-01 9.827450376219757366e-01
1.023371798632519702e-01 9.820468362222604108e-01
9.847160957933774605e-02 9.809868651155111419e-01
9.475205302806546936e-02 9.800857638280545681e-01
9.117299484984922597e-02 9.782579271476966598e-01
8.772912801613363953e-02 9.762292525376881080e-01
8.441534596012983949e-02 9.743656448759040467e-01
8.122673500479719866e-02 9.708025612873090182e-01
7.815856707684090687e-02 9.679827003481228376e-01
7.520629269592414567e-02 9.635207422705195368e-01
7.236553422869657082e-02 9.582531594390719665e-01
6.963207939763883803e-02 9.521271501672720072e-01
6.700187503509590081e-02 9.449939090542021081e-01
6.447102107323869624e-02 9.374158468003697120e-01
6.203576476104274290e-02 9.287206642928372835e-01
5.969249509970733780e-02 9.182718417006416889e-01
5.743773748826586784e-02 9.080618128913148235e-01
5.526814857144603244e-02 8.957794614024714441e-01
5.318051128214202478e-02 8.828020387405892677e-01
5.117173007114604599e-02 8.725188993016554928e-01
4.923882631706741342e-02 8.589821829489031613e-01
4.737893390963143769e-02 8.437515592201277892e-01
4.558929499981063949e-02 8.312487867512481365e-01
4.386725591048498685e-02 8.168216742726684965e-01
4.221026320156903017e-02 8.015793811757355725e-01
4.061585988376979761e-02 7.860829948984414672e-01
3.908168177536268384e-02 7.692061972280928028e-01
3.760545399658171695e-02 7.497601759709348057e-01
3.618498759642750640e-02 7.296510882646046747e-01
3.481817630688966575e-02 7.095150769882758723e-01
3.350299341977233669e-02 6.874807375386625674e-01
3.223748878149030467e-02 6.642879887170103359e-01
3.101978590138097097e-02 6.419580572748534442e-01
2.984807916924327523e-02 6.200960383117293251e-01
2.872063117797828483e-02 6.009560264545733554e-01
2.763577014736159909e-02 5.839453712591707868e-01
2.659188744512694033e-02 5.666241781227577823e-01
2.558743520168589233e-02 5.509910224078943264e-01
2.462092401494625840e-02 5.362764856451205375e-01
2.369092074182634414e-02 5.211603918534316593e-01
2.279604637318979887e-02 5.072909822948037384e-01
2.193497398905060181e-02 4.948999450172513193e-01
2.110642679101554578e-02 4.834517446402316065e-01
2.030917620904736792e-02 4.728456016820596908e-01
1.954204007974053373e-02 4.604127133309589004e-01
1.880388089340916460e-02 4.455761365400617291e-01
1.809360410738716438e-02 4.332409677119281044e-01
1.741015652304017322e-02 4.201613777056817933e-01
1.675252472408215315e-02 4.046759837514574132e-01
1.611973357388158529e-02 3.909151319304739469e-01
1.551084476952840734e-02 3.784709563140593591e-01
1.492495545051830512e-02 3.651500669267325194e-01
1.436119685999078660e-02 3.512275257266806450e-01
1.381873305653632047e-02 3.365102774626967941e-01
1.329675967466212479e-02 3.216950200861608544e-01
1.279450273207873370e-02 3.088905707365956488e-01
1.231121748203890809e-02 2.962883020032075487e-01
1.184618730902683471e-02 2.826009739325769932e-01
