# XXZ chain with NNN perturbation
# L = 16, full Hilbert space, J = 1, Delta = 0.5, g = 0.10
# Normalized cumlative spectral function for the O3 operator, with frequency scaled by g
# omega/g, R_3(omega)

3.007882518043100362e+00 1.000000000000000000e+00
2.894266124716751598e+00 1.000000000000000000e+00
2.784941350080645694e+00 1.000000000000000000e+00
2.679746087325692194e+00 1.000000000000000000e+00
2.578524352884274951e+00 9.982629245981237132e-01
2.481126055137770070e+00 9.927517215634544812e-01
2.387406771860647314e+00 9.880752297648477400e-01
2.297227536071152265e+00 9.834336964882477439e-01
2.210454629971021490e+00 9.791963976016406779e-01
2.126959386668690666e+00 9.751591635532440572e-01
2.046617999391989962e+00 9.714387651553952896e-01
1.969311337907422743e+00 9.677806267343964652e-01
1.894924771873821578e+00 9.641925775095614437e-01
1.823348000868441288e+00 9.602557461073818468e-01
1.754474890833459533e+00 9.563723478687828905e-01
1.688203316700363388e+00 9.512051484594694628e-01
1.624435010958866998e+00 9.470981760801197025e-01
1.563075417945816614e+00 9.422946115687240720e-01
1.504033553638024934e+00 9.363965183660224456e-01
1.447221870741135064e+00 9.287474284154274562e-01
1.392556128874463228e+00 9.215719745529985518e-01
1.339955269659339088e+00 9.132881813523874293e-01
1.289341296525715608e+00 9.055705417544851477e-01
1.240639159058832375e+00 8.951871299256174419e-01
1.193776641714436870e+00 8.852068368953841526e-01
1.148684256737554144e+00 8.746776639707916079e-01
1.105295141126022118e+00 8.619655460316980600e-01
1.063544957486011189e+00 8.486708811343737224e-01
1.023371798632519702e+00 8.357519412994071084e-01
9.847160957933773773e-01 8.216908093684736070e-01
9.475205302806546381e-01 8.082986712363403603e-01
9.117299484984922042e-01 7.928684674666921506e-01
8.772912801613363953e-01 7.795472148428284065e-01
8.441534596012983949e-01 7.646727405800074484e-01
8.122673500479719033e-01 7.495137795717309315e-01
7.815856707684090132e-01 7.308340697012631892e-01
7.520629269592413735e-01 7.151825943583975942e-01
7.236553422869657082e-01 6.972681017132262848e-01
6.963207939763883525e-01 6.794185413041760047e-01
6.700187503509589249e-01 6.600154687265168407e-01
6.447102107323868792e-01 6.392405151129163521e-01
6.203576476104274429e-01 6.175330323659770082e-01
5.969249509970733225e-01 5.995585541269845553e-01
5.743773748826586090e-01 5.787204804537857683e-01
5.526814857144602966e-01 5.603756841732033811e-01
5.318051128214201784e-01 5.439693794444649955e-01
5.117173007114603767e-01 5.271165862438058625e-01
4.923882631706741342e-01 5.118670957406804556e-01
4.737893390963143769e-01 4.958132756878190217e-01
4.558929499981063671e-01 4.829028939938675435e-01
4.386725591048498685e-01 4.682048054372140999e-01
4.221026320156902600e-01 4.542336697402609702e-01
4.061585988376979484e-01 4.431978958435186522e-01
3.908168177536268106e-01 4.310644942723902417e-01
3.760545399658171695e-01 4.174601796461150927e-01
3.618498759642750362e-01 4.034968493989482541e-01
3.481817630688966436e-01 3.902789579259395292e-01
3.350299341977233669e-01 3.762139471053937423e-01
3.223748878149030328e-01 3.636287837748413687e-01
3.101978590138096958e-01 3.503977032559040805e-01
2.984807916924327453e-01 3.382476847987181401e-01
2.872063117797828413e-01 3.265530817945429543e-01
2.763577014736159909e-01 3.161130103762654908e-01
2.659188744512693825e-01 3.031408533250425918e-01
2.558743520168589303e-01 2.922622093298631318e-01
2.462092401494625771e-01 2.809620686430774339e-01
2.369092074182634344e-01 2.704969117501884734e-01
2.279604637318979887e-01 2.585731550602771711e-01
2.193497398905060181e-01 2.484291262055049465e-01
2.110642679101554509e-01 2.388467505392657120e-01
2.030917620904736653e-01 2.277320372593298337e-01
1.954204007974053303e-01 2.198179966835847321e-01
1.880388089340916391e-01 2.084184532733310002e-01
1.809360410738716229e-01 1.969555414001324389e-01
1.741015652304017114e-01 1.876657814415145231e-01
1.675252472408215176e-01 1.810797329394732702e-01
1.611973357388158390e-01 1.716755514417407091e-01
1.551084476952840630e-01 1.642501572440957236e-01
1.492495545051830408e-01 1.569944553508829388e-01
1.436119685999078521e-01 1.495311788382045481e-01
1.381873305653631978e-01 1.422622203356273263e-01
1.329675967466212305e-01 1.362963510628528441e-01
1.279450273207873301e-01 1.304984449585386563e-01
1.231121748203890809e-01 1.245216338950036056e-01
1.184618730902683437e-01 1.191869830876881031e-01
1.139872266616052537e-01 1.144383982166055219e-01
1.096816005273137939e-01 1.095886736642351644e-01
1.055386103036523998e-01 1.057789911211463041e-01
1.015521127634568116e-01 1.024860202685914240e-01
9.771619672696181536e-02 9.817213980219147151e-02
9.402517429670131932e-02 9.421793535208901338e-02
9.047357242349302053e-02 9.014789649295312790e-02
8.705612479099865408e-02 8.645799468682487110e-02
8.376776400682924006e-02 8.295551997380781750e-02
8.060361408861345389e-02 8.003691688636446755e-02
7.755898323389008586e-02 7.642547067214747192e-02
7.462935686310137595e-02 7.341411972189985924e-02
7.181039092537355728e-02 7.003503451438906902e-02
6.909790545715645271e-02 6.758264541815092730e-02
6.648787838417269391e-02 6.498862702209119713e-02
6.397643955748430478e-02 6.228130017279374236e-02
6.155986501483513840e-02 5.933188642596295970e-02
5.923457145875805907e-02 5.696164099876983855e-02
5.699711094326075089e-02 5.552618437201019969e-02
5.484416576121019932e-02 5.341037072291787702e-02
5.277254352483537470e-02 5.188063808918887132e-02
5.077917243205403580e-02 4.962715749842371016e-02
4.886109671160326212e-02 4.734884050845173525e-02
4.701547224022134541e-02 4.547460150460493761e-02
4.523956232538052513e-02 4.396736711617049709e-02
4.353073364731891576e-02 4.214132778425640907e-02
4.188645235435271147e-02 4.078600676852114221e-02
4.030428030568054820e-02 3.949744390805218913e-02
3.878187145610723086e-02 3.691060571029467635e-02
3.731696837732755706e-02 3.535729473433719267e-02
3.590739891061055233e-02 3.407654962803249171e-02
3.455107294592221073e-02 3.267681396352759698e-02
3.324597932270941664e-02 3.160296085340652539e-02
3.199018284775066723e-02 3.061336456371368392e-02
3.078182142565080021e-02 2.950071682548853838e-02
2.961910329772556374e-02 2.757698476814983424e-02
2.850030438518108208e-02 2.644863867622238712e-02
2.742376573264952364e-02 2.529046895870503547e-02
2.638789104828934487e-02 2.392081876560807341e-02
2.539114433680347144e-02 2.274657988590888039e-02
2.443204762186489132e-02 2.170407330944194857e-02
2.350917875457286463e-02 2.116833414858725407e-02
2.262116930469026607e-02 2.051479770341046657e-02
2.176670253153458953e-02 1.978514474377805060e-02
2.094451143151470837e-02 1.924233397275587273e-02
2.015337685941733306e-02 1.867600148791536199e-02
1.939212572065830698e-02 1.806978351402653213e-02
1.865962923181745808e-02 1.717251031790857640e-02
1.795480124687832274e-02 1.618928947469229496e-02
1.727659664669036269e-02 1.576997113946800380e-02
1.662400978926613718e-02 1.524541777968999728e-02
1.599607301861487654e-02 1.416234943710685881e-02
1.539185522990207076e-02 1.351487545810342063e-02
1.481046048880675474e-02 1.312736714990410912e-02
1.425102670302999183e-02 1.284911452642555248e-02
1.371272434398400873e-02 1.218968297986886169e-02
1.319475521676707203e-02 1.175218528233815639e-02
1.269635127659973946e-02 1.124996074605249738e-02
1.221677348996792929e-02 1.082871704690281656e-02
1.175531073878369713e-02 1.005255910075771204e-02
1.131127876593921236e-02 9.851399067552816038e-03
1.088401916069006541e-02 9.431875466498238630e-03
1.047289838236358309e-02 8.955427764778553165e-03
1.007730682094461726e-02 8.672820002526435146e-03
9.696657893145520235e-03 8.363380797391904362e-03
9.330387172620359729e-03 8.102277568829387849e-03
8.977951553033330576e-03 7.879027790718742472e-03
8.638828442740453112e-03 7.730541609909581668e-03
8.312514989890631284e-03 7.602965248182455213e-03
7.998527336796706910e-03 7.394680881901832641e-03
7.696399902471165975e-03 7.086276198897913624e-03
7.405684692262440999e-03 6.749127190230750153e-03
7.125950633568410228e-03 6.388498306174441969e-03
6.856782936641737762e-03 6.263493979494055494e-03
6.597782479539546045e-03 5.980477940414431759e-03
6.348565216305223323e-03 5.206879803879632326e-03
6.108761607505039208e-03 5.052033074040326865e-03
5.878016072274911547e-03 4.904430488741817404e-03
5.655986461065013425e-03 4.666529462548328622e-03
5.442343548300272033e-03 4.348136116797293900e-03
5.236770544204654397e-03 4.187529582318015586e-03
5.038962625065149942e-03 4.042533232144843343e-03
4.848626481239078079e-03 3.688147630443549055e-03
4.665479882234476600e-03 3.598978476197210643e-03
4.489251258218607613e-03 3.527821532215338202e-03
4.319679297334173655e-03 3.456894960949931025e-03
4.156512558225987364e-03 3.285920142191912658e-03
3.999509097203669643e-03 3.113365298783413691e-03
3.848436109487432359e-03 3.024652586684108049e-03
3.703069584005140927e-03 2.973574691115222005e-03
3.563193971228584191e-03 2.934521824207806870e-03
3.428601863556590256e-03 2.818407734963110541e-03
3.299093687770942099e-03 2.604745872657792706e-03
3.174477409109193338e-03 2.562591453670337322e-03
3.054568246515431892e-03 2.398908477043807611e-03
2.939188398646889935e-03 2.326363129156468201e-03
2.828166780230034674e-03 2.164496903209054551e-03
2.721338768375308921e-03 2.108106660837401510e-03
2.618545958474232608e-03 2.010327414636687952e-03
2.519635929317018408e-03 1.874813426401909138e-03
2.424462017082330400e-03 1.653855903313702783e-03
2.332883097864158189e-03 1.446281211796965598e-03
2.244763378413223813e-03 1.386898551648969901e-03
2.159972194782716886e-03 1.368588310497186565e-03
2.078383818579759151e-03 1.353148367887120488e-03
1.999877270535287046e-03 1.313940380865424688e-03
1.924336141115980028e-03 1.262791392880224317e-03
1.851648417912153894e-03 1.243026236827506114e-03
1.781706319545732628e-03 1.216719054652012954e-03
1.714406135851972166e-03 1.161189009452678412e-03
1.649648074098020341e-03 1.155311740699257799e-03
1.587336111010208359e-03 1.153293713072881237e-03
1.527377850390715429e-03 1.144149408899008307e-03
1.469684386112447318e-03 1.123308475382139848e-03
1.414170170289023951e-03 7.619575780749612273e-04
1.360752886424333036e-03 7.422129541957659272e-04
1.309353327353612179e-03 7.387313218770934047e-04
1.259895277795028325e-03 7.296266936931059249e-04
1.212305401337652891e-03 7.104672975635440086e-04
1.166513131698196067e-03 6.928908899855506847e-04
1.122450568085308058e-03 6.838079220769752468e-04
1.080052374516253912e-03 6.502093710655253199e-04
1.039255682936713037e-03 6.072383424587866592e-04
1.000000000000000021e-03 5.895280734301727200e-04
1.000000000000000048e-04 2.847136293056912805e-05
9.999999999999999124e-06 7.846666051892168335e-06
9.999999999999999547e-07 9.502417366034774402e-22
9.999999999999999547e-08 9.502416047492428350e-22
