# XXZ chain with NNN perturbation
# L = 16, full Hilbert space, J = 1, Delta = 0.5, g = 0.05
# Normalized cumlative spectral function for the O3 operator, with frequency scaled by g^2
# omega/g^2, R_3(omega)

1.969069652796764203e+01 1.000000000000000000e+00
1.894692215906482247e+01 1.000000000000000000e+00
1.823124229210361591e+01 1.000000000000000000e+00
1.754259571675957119e+01 1.000000000000000000e+00
1.687996130768125980e+01 1.000000000000000000e+00
1.624235651036530825e+01 1.000000000000000000e+00
1.562883588422428360e+01 1.000000000000000000e+00
1.503848970068709434e+01 1.000000000000000000e+00
1.447044259425318913e+01 1.000000000000000000e+00
1.392385226450033109e+01 1.000000000000000000e+00
1.339790822712128282e+01 1.000000000000000000e+00
1.289183061213741155e+01 1.000000000000000000e+00
1.240486900750725674e+01 1.000000000000000000e+00
1.193630134641532159e+01 1.000000000000000000e+00
1.148543283659118863e+01 1.000000000000000000e+00
1.105159493007132809e+01 1.000000000000000000e+00
1.063414433187596764e+01 1.000000000000000000e+00
1.023246204613109889e+01 1.000000000000000000e+00
9.845952458221221448e+00 1.000000000000000000e+00
9.474042451611794036e+00 1.000000000000000000e+00
9.116180558031871328e+00 1.000000000000000000e+00
8.771836139756782558e+00 1.000000000000000000e+00
8.440498602778349735e+00 1.000000000000000000e+00
8.121676639695939670e+00 9.898370155383866553e-01
7.814897501205700259e+00 9.741799933567758529e-01
7.519706295107750016e+00 9.585532188870030668e-01
7.235665311791877663e+00 9.424997268313400900e-01
6.962353375201613126e+00 9.274368572367864827e-01
6.699365218314229153e+00 9.118877696761840124e-01
6.446310882210686266e+00 8.963657141438097220e-01
6.202815137844424065e+00 8.797859561494358882e-01
5.968516929651617176e+00 8.639929159813667381e-01
5.743068840177879331e+00 8.475660870578142214e-01
5.526136574927552836e+00 8.303306073552679800e-01
5.317398466671725998e+00 8.132734801725336471e-01
5.116544998479974460e+00 7.962464090590931631e-01
4.923278344768555748e+00 7.779129710452020730e-01
4.737311929684553391e+00 7.603825761171998376e-01
4.558370002171102442e+00 7.428174648057416229e-01
4.386187227083648388e+00 7.270818549186544022e-01
4.220508291750907581e+00 7.091080335034835036e-01
4.061087527397166497e+00 6.896557016146734886e-01
3.907688544864540869e+00 6.715271392595940636e-01
3.760083884095061890e+00 6.546149643980370136e-01
3.618054676852837215e+00 6.377878466928206258e-01
3.481390322186157960e+00 6.192064656972410264e-01
3.349888174148347275e+00 6.022601488153094262e-01
3.223353241314288464e+00 5.846012585221155300e-01
3.101597897647080604e+00 5.649906635000020438e-01
2.984441604286091732e+00 5.476171915586290906e-01
2.871710641843884915e+00 5.306609331834708509e-01
2.763237852815054740e+00 5.128310987644358887e-01
2.658862393715027306e+00 4.967008294776773525e-01
2.558429496581298590e+00 4.793728521090555583e-01
2.461790239483442999e+00 4.631768611473169872e-01
2.368801325701636262e+00 4.477370791897009039e-01
2.279324871246230177e+00 4.329733400735315541e-01
2.193228200403340544e+00 4.174004012134949759e-01
2.110383649003245488e+00 4.021906434405961295e-01
2.030668375119929703e+00 3.878904190316154743e-01
1.953964176921022311e+00 3.760117479199581725e-01
1.880157317398103212e+00 3.638207065640703397e-01
1.809138355717413882e+00 3.525478015752433469e-01
1.740801984940970604e+00 3.409867661529152327e-01
1.675046875877397090e+00 3.294736402706210376e-01
1.611775526830967031e+00 3.184061715754556987e-01
1.550894119026068330e+00 3.073864066768899339e-01
1.492312377492683195e+00 2.965088611766537041e-01
1.435943437206646411e+00 2.861981017762348367e-01
1.381703714286150575e+00 2.761084016847336620e-01
1.329512782053550390e+00 2.653764831016570680e-01
1.279293251778650831e+00 2.564468721634308168e-01
1.230970657926685030e+00 2.463559174118308825e-01
1.184473347740785609e+00 2.380319286810173574e-01
1.139732374995265696e+00 2.297155020858132057e-01
1.096681397762124366e+00 2.203410913119580872e-01
1.055256580039225511e+00 2.122061175014166856e-01
1.015396497094244843e+00 2.043462704110869665e-01
9.770420443840669433e-01 1.966849807472174083e-01
9.401363499145427571e-01 1.891893276145913683e-01
9.046246899106874517e-01 1.817350568196702820e-01
8.704544076722414703e-01 1.747809121153449108e-01
8.375748354943082230e-01 1.681676780637653412e-01
8.059372195372574987e-01 1.610013407104595173e-01
7.754946475345241286e-01 1.543903204531565099e-01
7.462019792310817801e-01 1.480297961899172399e-01
7.180157794494569368e-01 1.422010841533936087e-01
6.908942536840398940e-01 1.368321786864364897e-01
6.647971861281734007e-01 1.316825250814149251e-01
