# XXZ chain, with true anisotropy being Delta+g
# L = 16, full Hilbert space, J = 1, Delta = 0.5, g = 0.10
# Normalized cumlative spectral function for the O3 operator, with frequency scaled by g
# omega/g, R_3(omega)

2.046617999391989962e+00 1.000000000000000000e+00
1.969311337907422743e+00 1.000000000000000000e+00
1.894924771873821578e+00 1.000000000000000000e+00
1.823348000868441288e+00 1.000000000000000000e+00
1.754474890833459755e+00 1.000000000000000000e+00
1.688203316700363388e+00 1.000000000000000000e+00
1.624435010958866998e+00 1.000000000000000000e+00
1.563075417945816614e+00 1.000000000000000000e+00
1.504033553638024934e+00 1.000000000000000000e+00
1.447221870741135064e+00 1.000000000000000000e+00
1.392556128874463450e+00 1.000000000000000000e+00
1.339955269659339088e+00 1.000000000000000000e+00
1.289341296525715608e+00 1.000000000000000000e+00
1.240639159058832375e+00 1.000000000000000000e+00
1.193776641714436870e+00 1.000000000000000000e+00
1.148684256737554144e+00 1.000000000000000000e+00
1.105295141126022118e+00 1.000000000000000000e+00
1.063544957486011189e+00 1.000000000000000000e+00
1.023371798632519702e+00 1.000000000000000000e+00
9.847160957933773773e-01 1.000000000000000000e+00
9.475205302806547492e-01 1.000000000000000000e+00
9.117299484984922042e-01 9.927776990511287813e-01
8.772912801613365064e-01 9.808074232252030900e-01
8.441534596012983949e-01 9.683696710686319209e-01
8.122673500479719033e-01 9.541291274332837080e-01
7.815856707684091242e-01 9.403570079416357919e-01
7.520629269592414845e-01 9.225854683031181613e-01
7.236553422869657082e-01 9.055984956333557045e-01
6.963207939763882415e-01 8.872055553393449756e-01
6.700187503509590359e-01 8.723775864855721762e-01
6.447102107323868792e-01 8.544799763412412874e-01
6.203576476104274429e-01 8.344921922829787730e-01
5.969249509970734335e-01 8.150299329277302940e-01
5.743773748826587200e-01 7.968180998972020923e-01
5.526814857144602966e-01 7.759217374274984813e-01
5.318051128214201784e-01 7.537134378438211657e-01
5.117173007114604877e-01 7.330753125303366424e-01
4.923882631706741342e-01 7.138380956093520746e-01
4.737893390963143769e-01 6.929037673269873299e-01
4.558929499981063671e-01 6.729971790272074594e-01
4.386725591048498685e-01 6.503871874239599560e-01
4.221026320156902600e-01 6.319403991113055064e-01
4.061585988376979484e-01 6.133765806001943988e-01
3.908168177536268106e-01 5.958071711945713833e-01
3.760545399658172250e-01 5.773678596922353634e-01
