# XXZ chain with NNN perturbation
# L = 16, full Hilbert space, J = 1, Delta = 1.0, g = 0.20
# Normalized cumlative spectral function for the O1 operator
# omega, R_1(omega)

4.961947603002903606e-01 9.907542290364084181e-01
4.774520538566129346e-01 9.898974207733272079e-01
4.594173134636476141e-01 9.889812377825726308e-01
4.420637972028532148e-01 9.879612660780652256e-01
4.253657732750387721e-01 9.868763263236816075e-01
4.092984818452440332e-01 9.856642406486357810e-01
3.938380983288489179e-01 9.843919179076392467e-01
3.789616980644718303e-01 9.830377247044476130e-01
3.646472223212748887e-01 9.815984653558518236e-01
3.508734455902713378e-01 9.800100830157469911e-01
3.376199441111340516e-01 9.783481158754168128e-01
3.248670655878376778e-01 9.765919273459604533e-01
3.125959000482280703e-01 9.747349848494357705e-01
3.007882518043100695e-01 9.728124649067704244e-01
2.894266124716751709e-01 9.707691037903157794e-01
2.784941350080645805e-01 9.687322873075175922e-01
2.679746087325692305e-01 9.665601927408695726e-01
2.578524352884274951e-01 9.642668908487551649e-01
2.481126055137770070e-01 9.619699311403325792e-01
2.387406771860647314e-01 9.594046591025130466e-01
2.297227536071152210e-01 9.567481848783804255e-01
2.210454629971021490e-01 9.541203963230987517e-01
2.126959386668690888e-01 9.512460248217839975e-01
2.046617999391990017e-01 9.480720323995788235e-01
1.969311337907422854e-01 9.447149774379963727e-01
1.894924771873821578e-01 9.410210098135823875e-01
1.823348000868441343e-01 9.371475207406696484e-01
1.754474890833459533e-01 9.328621700804814454e-01
1.688203316700363499e-01 9.280969687358704423e-01
1.624435010958867054e-01 9.218350874042527954e-01
1.563075417945816725e-01 9.159145205865999451e-01
1.504033553638025045e-01 9.097410005669933630e-01
1.447221870741135230e-01 9.032257055734578266e-01
1.392556128874463395e-01 8.965619308485510697e-01
1.339955269659339199e-01 8.885747245782108505e-01
1.289341296525715608e-01 8.802827740498596620e-01
1.240639159058832403e-01 8.709032641827259003e-01
1.193776641714437009e-01 8.610619708144006124e-01
1.148684256737554227e-01 8.505358001737970408e-01
1.105295141126022146e-01 8.398058524861682361e-01
1.063544957486011189e-01 8.285713141460684383e-01
1.023371798632519702e-01 8.157655942755606127e-01
9.847160957933774605e-02 8.038225793285909138e-01
9.475205302806546936e-02 7.912963968117070479e-01
9.117299484984922597e-02 7.777304074544942880e-01
8.772912801613363953e-02 7.639497025547566933e-01
8.441534596012983949e-02 7.497984207706852589e-01
8.122673500479719866e-02 7.349611834507582264e-01
7.815856707684090687e-02 7.217386502467717513e-01
7.520629269592414567e-02 7.078656654919796010e-01
7.236553422869657082e-02 6.936075524163327621e-01
6.963207939763883803e-02 6.785826268344060663e-01
6.700187503509590081e-02 6.641078298335769681e-01
6.447102107323869624e-02 6.488687488953340798e-01
6.203576476104274290e-02 6.343927143085659193e-01
5.969249509970733780e-02 6.204492051020921162e-01
5.743773748826586784e-02 6.055367655593860698e-01
5.526814857144603244e-02 5.918901238810794219e-01
5.318051128214202478e-02 5.780044940339288395e-01
5.117173007114604599e-02 5.641579474560598495e-01
4.923882631706741342e-02 5.509283319556662617e-01
