# XXZ chain with NNN perturbation
# L = 16, full Hilbert space, J = 1, Delta = 1.0, g = 0.20
# Normalized cumlative spectral function for the O1 operator, with frequency scaled by g
# omega/g, R_1(omega)

3.007697940137419312e+00 9.940027366483358273e-01
2.894088518850638003e+00 9.934748396946260218e-01
2.784770452900066307e+00 9.928968645929567849e-01
2.679581645424256919e+00 9.922464624556596169e-01
2.578366122427482754e+00 9.915293865941191553e-01
2.480973801501451526e+00 9.907542290364084181e-01
2.387260269283064673e+00 9.898974207733272079e-01
2.297086567318237904e+00 9.889812377825726308e-01
2.210318986014265796e+00 9.879612660780652256e-01
2.126828866375193527e+00 9.868763263236816075e-01
2.046492409226220222e+00 9.856642406486357810e-01
1.969190491644244423e+00 9.843919179076392467e-01
1.894808490322358985e+00 9.830377247044476130e-01
1.823236111606374443e+00 9.815984653558518236e-01
1.754367227951356689e+00 9.800100830157469911e-01
1.688099720555670258e+00 9.783481158754168128e-01
1.624335327939188334e+00 9.765919273459604533e-01
1.562979500241140185e+00 9.747349848494357705e-01
1.503941259021550181e+00 9.728124649067704244e-01
1.447133062358375799e+00 9.707691037903157794e-01
1.392470675040322847e+00 9.687322873075175922e-01
1.339873043662846097e+00 9.665601927408695726e-01
1.289262176442137475e+00 9.642668908487551649e-01
1.240563027568885035e+00 9.619699311403325792e-01
1.193703385930323657e+00 9.594046591025130466e-01
1.148613768035576133e+00 9.567481848783804255e-01
1.105227314985510745e+00 9.541203963230987517e-01
1.063479693334345333e+00 9.512460248217839975e-01
1.023308999695994981e+00 9.480720323995788235e-01
9.846556689537113716e-01 9.447149774379963727e-01
9.474623859369107892e-01 9.410210098135823875e-01
9.116740004342206438e-01 9.371475207406696484e-01
8.772374454167297664e-01 9.328621700804814454e-01
8.441016583501816939e-01 9.280969687358704423e-01
8.122175054794334992e-01 9.218350874042527954e-01
7.815377089729083071e-01 9.159145205865999451e-01
7.520167768190124669e-01 9.097410005669933630e-01
7.236109353705675318e-01 9.032257055734578266e-01
6.962780644372316141e-01 8.965619308485510697e-01
6.699776348296695438e-01 8.885747245782108505e-01
6.446706482628578039e-01 8.802827740498596620e-01
6.203195795294161874e-01 8.709032641827259003e-01
5.968883208572184351e-01 8.610619708144006124e-01
5.743421283687770718e-01 8.505358001737970408e-01
5.526475705630110591e-01 8.398058524861682361e-01
5.317724787430055944e-01 8.285713141460684383e-01
5.116858993162598512e-01 8.157655942755606127e-01
4.923580478966886886e-01 8.038225793285909138e-01
4.737602651403273191e-01 7.912963968117070479e-01
4.558649742492461021e-01 7.777304074544942880e-01
4.386456400806681977e-01 7.639497025547566933e-01
4.220767298006491974e-01 7.497984207706852589e-01
4.061336750239859517e-01 7.349611834507582264e-01
3.907928353842045066e-01 7.217386502467717513e-01
3.760314634796206867e-01 7.078656654919796010e-01
3.618276711434828541e-01 6.936075524163327621e-01
3.481603969881941762e-01 6.785826268344060663e-01
3.350093751754794624e-01 6.641078298335769681e-01
3.223551053661934396e-01 6.488687488953340798e-01
3.101788238052137214e-01 6.343927143085659193e-01
2.984624754985366613e-01 6.204492051020921162e-01
2.871886874413293045e-01 6.055367655593860698e-01
2.763407428572301483e-01 5.918901238810794219e-01
2.659025564107100892e-01 5.780044940339288395e-01
2.558586503557301883e-01 5.641579474560598495e-01
2.461941315853370671e-01 5.509283319556662617e-01
2.368946695481571885e-01 5.369976465078452055e-01
2.279464749990531836e-01 5.231810401957807111e-01
2.193362795524249342e-01 5.106052426444385173e-01
2.110513160078451300e-01 4.980673774585571145e-01
2.030792994188489742e-01 4.848909974673017986e-01
1.954084088768134053e-01 4.728550960025663108e-01
1.880272699829085847e-01 4.604365769992945778e-01
1.809249379821375181e-01 4.478778030788195808e-01
1.740908815344483218e-01 4.366992333571971252e-01
1.675149670988616835e-01 4.255418606703925133e-01
1.611874439074515164e-01 4.146873931505415944e-01
1.550989295069048479e-01 4.042312536013755730e-01
1.492403958462163727e-01 3.937895202125422101e-01
1.436031558898914207e-01 3.828327141482438245e-01
1.381788507368079955e-01 3.720738045917800774e-01
1.329594372256346912e-01 3.615942780441530058e-01
1.279371760084294651e-01 3.508737656255337956e-01
1.231046200747312885e-01 3.404994607318216904e-01
1.184546037091317172e-01 3.303519044480633937e-01
1.139802318659489944e-01 3.209358748696036767e-01
1.096748699452530090e-01 3.115376844830073932e-01
1.055321339550777254e-01 3.033377609679981934e-01
1.015458810452368327e-01 2.944551468982928855e-01
9.771020039870266516e-02 2.861532840485103146e-01
9.401940446704581955e-02 2.781818752109588844e-01
9.046802053693581147e-02 2.690276743104249024e-01
8.705078261520085570e-02 2.605329844852355969e-01
8.376262362041075882e-02 2.515086590565173141e-01
8.059866786940791950e-02 2.429042722207055971e-01
7.755422384764203148e-02 2.340537079479126092e-01
7.462477725259152039e-02 2.255137765018865870e-01
7.180598429995392606e-02 2.179418384158872124e-01
6.909366528268159890e-02 2.111103453295156973e-01
6.648379837331061526e-02 2.039698131914151058e-01
6.397251366039366505e-02 1.964306913269411037e-01
6.155608741019454044e-02 1.895527038218079996e-01
5.923093654513417183e-02 1.826642642987766907e-01
5.699361333080262687e-02 1.770804959011839097e-01
5.484080026365689697e-02 1.707509960998289111e-01
5.276930515182619991e-02 1.648433687688997118e-01
5.077605638172840580e-02 1.592146496369283015e-01
4.885809836348090768e-02 1.530960032167454909e-01
4.701258714835065966e-02 1.479017974030029936e-01
4.523678621174651027e-02 1.420864547492043106e-01
4.352806239549932704e-02 1.367428646304139073e-01
4.188388200341462003e-02 1.321224711600703094e-01
4.030180704430672695e-02 1.268046265874998024e-01
3.877949161694504293e-02 1.221917689740127932e-01
3.731467843155068798e-02 1.177116973745895995e-01
3.590519546268677864e-02 1.138634991272146069e-01
3.454895272857822636e-02 1.093456614269897043e-01
3.324393919208634696e-02 1.046839934268998934e-01
3.198821977874215239e-02 1.003213474173236947e-01
3.077993250741756920e-02 9.689544124530080627e-02
2.961728572937902954e-02 9.316492955879270010e-02
2.849855547163037545e-02 8.947315929886169583e-02
2.742208288060509966e-02 8.614079391246519390e-02
2.638627176241768735e-02 8.312111003810269960e-02
2.538958621602701790e-02 7.942066643278460070e-02
2.443054835580163106e-02 7.581421774339029696e-02
2.350773612011067271e-02 7.298999097338340625e-02
2.261978116269026257e-02 7.012837654887700556e-02
2.176536682365945788e-02 6.710526316450229900e-02
2.094322617717635573e-02 6.445047994212239895e-02
2.015214015284027410e-02 6.210067585876290208e-02
1.939093572805361543e-02 5.976323698580580240e-02
1.865848418866377853e-02 5.753666637606019707e-02
1.795369945530527617e-02 5.501152388293020085e-02
1.727553647296110537e-02 5.354717082293219965e-02
1.662298966135470832e-02 5.189926618716279860e-02
1.599509142387533361e-02 5.029969782059789951e-02
1.539091071282540010e-02 4.835102163697359984e-02
1.480955164886278187e-02 4.669500829121069757e-02
1.425015219259054104e-02 4.476370771741149807e-02
1.371188286632476182e-02 4.326805711292180251e-02
1.319394552414467243e-02 4.182358303825269713e-02
1.269557216840173572e-02 4.032598376765200027e-02
1.221602381093244566e-02 3.883872368967149907e-02
1.175458937728643231e-02 3.751704144726689810e-02
1.131058465234513304e-02 3.624111491097330162e-02
1.088335126576729477e-02 3.462454067638069677e-02
1.047225571575735419e-02 3.335997929894030101e-02
1.007668842970866653e-02 3.215457327360900230e-02
9.696062860329153488e-03 3.073177776193479829e-02
9.329814615908729042e-03 2.945314149060870162e-02
8.977400623439161370e-03 2.837168843640739888e-02
8.638298323345181343e-03 2.724415397042380046e-02
8.312004894633068589e-03 2.609136655061010043e-02
7.998036509307438272e-03 2.500415106991039915e-02
7.695927614951035382e-03 2.397837712294929868e-02
7.405230244403377370e-03 2.322726989971269848e-02
7.125513351514995916e-03 2.207369060690700033e-02
6.856362171992004366e-03 2.135604327284600090e-02
6.597377608383536013e-03 2.044344594856420047e-02
6.348175638299869729e-03 1.951599569218150088e-02
6.108386744983964646e-03 1.894466059738919919e-02
5.877655369391848565e-03 1.795818008288569897e-02
5.655639382969606180e-03 1.739933870696560095e-02
5.442009580345032703e-03 1.694996820842540122e-02
5.236449191181791543e-03 1.633206215581919918e-02
5.038653410472308629e-03 1.560383375253210012e-02
4.848328946572760118e-03 1.522566798434800070e-02
4.665193586310179864e-03 1.462372361884710023e-02
4.488975776516665288e-03 1.360388543525480054e-02
4.319414221370226556e-03 1.311656721635089985e-02
4.156257494945315642e-03 1.249468409208280041e-02
3.999263668398353455e-03 1.192040287786400032e-02
3.848199951235582988e-03 1.146536440720350054e-02
3.702842346131220500e-03 1.108179306986089956e-02
3.562975316784205114e-03 1.063698184133149947e-02
3.428391468320868881e-03 1.021543850677109934e-02
3.298891239769773023e-03 9.827396115943800095e-03
3.174282608152611661e-03 9.355280289995399762e-03
3.054380803752519604e-03 8.912386773102399379e-03
2.939008036137455773e-03 8.563260767944199173e-03
2.827993230532506713e-03 8.406497357113700344e-03
2.721171774150136016e-03 8.090360774909099995e-03
2.618385272102327199e-03 7.974544603031699305e-03
2.519481312532574971e-03 7.618493677215200204e-03
2.424313240619539039e-03 7.312746159999199830e-03
2.332739941117238300e-03 7.041478241428000308e-03
2.244625629109303806e-03 6.811975075109899698e-03
2.159839648667086828e-03 6.527931752409599740e-03
2.078256279112993682e-03 6.147033315281399610e-03
1.999754548601834821e-03 5.928037235159699589e-03
1.924218054743716180e-03 5.751663897730599669e-03
1.851534792002570463e-03 5.564815817693799689e-03
1.781596985614292096e-03 5.463594075001200132e-03
1.714300931778295128e-03 5.321511754304100207e-03
1.649546843885471049e-03 5.027931428881400253e-03
1.587238704554596669e-03 4.957555841234399623e-03
1.527284123257715946e-03 4.726317698303100084e-03
1.469594199323444967e-03 4.410653438603300003e-03
1.414083390115017337e-03 4.301499513870200159e-03
1.360669384187654461e-03 4.033456605441100400e-03
1.309272979237116304e-03 3.878096698602799888e-03
1.259817964658509204e-03 3.795693466935300044e-03
1.212231008541165200e-03 3.483485822580100096e-03
1.166441548932079094e-03 3.375796699769199969e-03
1.122381689206611907e-03 3.236373207084100156e-03
1.079986097391358443e-03 3.138456347767500099e-03
1.039191909289879576e-03 2.996588218501800103e-03
9.999386352676435229e-04 2.959620813828900149e-03
9.621680705579900138e-04 2.873521100391299848e-03
9.258242089560769468e-04 2.782326496084900052e-03
8.908531597728663138e-04 2.738172415836299944e-03
8.572030679259860829e-04 2.652993094171099929e-03
8.248240370490101704e-04 2.536482930951300049e-03
7.936680555051041797e-04 2.400531780362400152e-03
7.636889251953577146e-04 2.328240316690299936e-03
7.348421930562236588e-04 2.211709400256999924e-03
7.070850851445119756e-04 2.147877399993100133e-03
6.803764432121665179e-04 2.136284120467099850e-03
6.546766636768060893e-04 2.039648771324099885e-03
6.299476388975141627e-04 1.918698792145999985e-03
6.061527006688264456e-04 1.767407050248800049e-03
5.832565658490980335e-04 1.708136476277999968e-03
5.612252840426540292e-04 1.665300448790300045e-03
5.400261872581269560e-04 1.626381008217299981e-03
5.196278414683565185e-04 1.591312115813100104e-03
5.000000000000000104e-04 1.517240526078900056e-03
5.000000000000000240e-05 2.814427449640000134e-04
4.999999999999999562e-06 5.110760380433421282e-05
4.999999999999999774e-07 1.525878906249919362e-05
