# XXZ chain with NNN perturbation
# L = 16, full Hilbert space, J = 1, Delta = 1.0, g = 0.20
# Normalized cumlative spectral function for the O1 operator, with frequency scaled by g^2
# omega/g^2, R_1(omega)

1.969069652796764203e+01 9.965000032845884315e-01
1.894692215906482247e+01 9.962430104738275727e-01
1.823124229210361591e+01 9.959573490127759943e-01
1.754259571675957119e+01 9.956436079371285830e-01
1.687996130768125980e+01 9.952937275100836034e-01
1.624235651036530825e+01 9.949081794459944117e-01
1.562883588422428360e+01 9.944766295855790306e-01
1.503848970068709434e+01 9.940027366483358273e-01
1.447044259425318913e+01 9.934748396946260218e-01
1.392385226450033109e+01 9.928968645929567849e-01
1.339790822712128282e+01 9.922464624556596169e-01
1.289183061213741155e+01 9.915293865941191553e-01
1.240486900750725674e+01 9.907542290364084181e-01
1.193630134641532159e+01 9.898974207733272079e-01
1.148543283659118863e+01 9.889812377825726308e-01
1.105159493007132809e+01 9.879612660780652256e-01
1.063414433187596764e+01 9.868763263236816075e-01
1.023246204613109889e+01 9.856642406486357810e-01
9.845952458221221448e+00 9.843919179076392467e-01
9.474042451611794036e+00 9.830377247044476130e-01
9.116180558031871328e+00 9.815984653558518236e-01
8.771836139756782558e+00 9.800100830157469911e-01
8.440498602778349735e+00 9.783481158754168128e-01
8.121676639695939670e+00 9.765919273459604533e-01
7.814897501205700259e+00 9.747349848494357705e-01
7.519706295107750016e+00 9.728124649067704244e-01
7.235665311791877663e+00 9.707691037903157794e-01
6.962353375201613126e+00 9.687322873075175922e-01
6.699365218314229153e+00 9.665601927408695726e-01
6.446310882210686266e+00 9.642668908487551649e-01
6.202815137844424065e+00 9.619699311403325792e-01
5.968516929651617176e+00 9.594046591025130466e-01
5.743068840177879331e+00 9.567481848783804255e-01
5.526136574927552836e+00 9.541203963230987517e-01
5.317398466671725998e+00 9.512460248217839975e-01
5.116544998479974460e+00 9.480720323995788235e-01
4.923278344768555748e+00 9.447149774379963727e-01
4.737311929684553391e+00 9.410210098135823875e-01
4.558370002171102442e+00 9.371475207406696484e-01
4.386187227083648388e+00 9.328621700804814454e-01
4.220508291750907581e+00 9.280969687358704423e-01
4.061087527397166497e+00 9.218350874042527954e-01
3.907688544864540869e+00 9.159145205865999451e-01
3.760083884095061890e+00 9.097410005669933630e-01
3.618054676852837215e+00 9.032257055734578266e-01
3.481390322186157960e+00 8.965619308485510697e-01
3.349888174148347275e+00 8.885747245782108505e-01
3.223353241314288464e+00 8.802827740498596620e-01
3.101597897647080604e+00 8.709032641827259003e-01
2.984441604286091732e+00 8.610619708144006124e-01
2.871710641843884915e+00 8.505358001737970408e-01
2.763237852815054740e+00 8.398058524861682361e-01
2.658862393715027306e+00 8.285713141460684383e-01
2.558429496581298590e+00 8.157655942755606127e-01
2.461790239483442999e+00 8.038225793285909138e-01
2.368801325701636262e+00 7.912963968117070479e-01
2.279324871246230177e+00 7.777304074544942880e-01
2.193228200403340544e+00 7.639497025547566933e-01
2.110383649003245488e+00 7.497984207706852589e-01
2.030668375119929703e+00 7.349611834507582264e-01
1.953964176921022311e+00 7.217386502467717513e-01
1.880157317398103212e+00 7.078656654919796010e-01
1.809138355717413882e+00 6.936075524163327621e-01
1.740801984940970604e+00 6.785826268344060663e-01
1.675046875877397090e+00 6.641078298335769681e-01
1.611775526830967031e+00 6.488687488953340798e-01
1.550894119026068330e+00 6.343927143085659193e-01
1.492312377492683195e+00 6.204492051020921162e-01
1.435943437206646411e+00 6.055367655593860698e-01
1.381703714286150575e+00 5.918901238810794219e-01
1.329512782053550390e+00 5.780044940339288395e-01
1.279293251778650831e+00 5.641579474560598495e-01
1.230970657926685030e+00 5.509283319556662617e-01
1.184473347740785609e+00 5.369976465078452055e-01
1.139732374995265696e+00 5.231810401957807111e-01
1.096681397762124366e+00 5.106052426444385173e-01
1.055256580039225511e+00 4.980673774585571145e-01
1.015396497094244843e+00 4.848909974673017986e-01
9.770420443840669433e-01 4.728550960025663108e-01
9.401363499145427571e-01 4.604365769992945778e-01
9.046246899106874517e-01 4.478778030788195808e-01
8.704544076722414703e-01 4.366992333571971252e-01
8.375748354943082230e-01 4.255418606703925133e-01
8.059372195372574987e-01 4.146873931505415944e-01
7.754946475345241286e-01 4.042312536013755730e-01
7.462019792310817801e-01 3.937895202125422101e-01
7.180157794494569368e-01 3.828327141482438245e-01
6.908942536840398940e-01 3.720738045917800774e-01
6.647971861281734007e-01 3.615942780441530058e-01
6.396858800421472147e-01 3.508737656255337956e-01
6.155231003736563178e-01 3.404994607318216904e-01
5.922730185456585028e-01 3.303519044480633937e-01
5.699011593297448330e-01 3.209358748696036767e-01
5.483743497262649758e-01 3.115376844830073932e-01
5.276606697753885022e-01 3.033377609679981934e-01
5.077294052261841495e-01 2.944551468982928855e-01
4.885510019935132564e-01 2.861532840485103146e-01
4.700970223352290422e-01 2.781818752109588844e-01
4.523401026846790018e-01 2.690276743104249024e-01
4.352539130760042507e-01 2.605329844852355969e-01
4.188131181020537386e-01 2.515086590565173141e-01
4.029933393470395697e-01 2.429042722207055971e-01
3.877711192382101157e-01 2.340537079479126092e-01
3.731238862629575603e-01 2.255137765018865870e-01
3.590299214997695887e-01 2.179418384158872124e-01
3.454683264134079668e-01 2.111103453295156973e-01
3.324189918665530485e-01 2.039698131914151058e-01
3.198625683019682975e-01 1.964306913269411037e-01
3.077804370509726328e-01 1.895527038218079996e-01
2.961546827256708037e-01 1.826642642987766907e-01
2.849680666540130858e-01 1.770804959011839097e-01
2.742040013182844294e-01 1.707509960998289111e-01
2.638465257591309787e-01 1.648433687688997118e-01
2.538802819086419804e-01 1.592146496369283015e-01
2.442904918174045037e-01 1.530960032167454909e-01
2.350629357417532428e-01 1.479017974030029936e-01
2.261839310587325236e-01 1.420864547492043106e-01
2.176403119774965866e-01 1.367428646304139073e-01
2.094194100170730932e-01 1.321224711600703094e-01
2.015090352215336000e-01 1.268046265874998024e-01
1.938974580847251938e-01 1.221917689740127932e-01
1.865733921577533982e-01 1.177116973745895995e-01
1.795259773134338654e-01 1.138634991272146069e-01
1.727447636428910971e-01 1.093456614269897043e-01
1.662196959604317070e-01 1.046839934268998934e-01
1.599410988937107481e-01 1.003213474173236947e-01
1.538996625370878113e-01 9.689544124530080627e-02
1.480864286468951407e-01 9.316492955879270010e-02
1.424927773581518564e-01 8.947315929886169583e-02
1.371104144030254879e-01 8.614079391246519390e-02
1.319313588120884229e-01 8.312111003810269960e-02
1.269479310801350791e-01 7.942066643278460070e-02
1.221527417790081449e-01 7.581421774339029696e-02
1.175386806005533358e-01 7.298999097338340625e-02
1.130989058134513059e-01 7.012837654887700556e-02
1.088268341182972859e-01 6.710526316450229900e-02
1.047161308858817613e-01 6.445047994212239895e-02
1.007607007642013497e-01 6.210067585876290208e-02
9.695467864026806326e-02 5.976323698580580240e-02
9.329242094331888224e-02 5.753666637606019707e-02
8.976849727652636002e-02 5.501152388293020085e-02
8.637768236480551642e-02 5.354717082293219965e-02
8.311494830677353118e-02 5.189926618716279860e-02
7.997545711937666113e-02 5.029969782059789951e-02
