# XXZ chain with true anisotropy being Delta + g
# L = 16, full Hilbert space, J = 1, Delta = 1.0, g = 0.05
# Normalized cumlative spectral function for the O1 operator, with frequency scaled by g
# omega/g, R_1(omega)

2.046743597265039405e+00 9.949748494210871597e-01
1.969432191586754755e+00 9.948439710913777878e-01
1.895041060561309498e+00 9.947032471569383638e-01
1.823459896996984408e+00 9.945742975257729768e-01
1.754582560322673013e+00 9.944392447730687756e-01
1.688306919202596790e+00 9.943151626959397804e-01
1.624534700095943807e+00 9.941811665401195652e-01
1.563171341536818248e+00 9.940769252518205645e-01
1.504125853918482969e+00 9.939703617503243827e-01
1.447310684573931416e+00 9.939006085036128368e-01
1.392641587952776483e+00 9.938409630805598027e-01
1.340037500701918072e+00 9.937744950173977854e-01
1.289420421464773758e+00 9.937128256202943932e-01
1.240715295220854886e+00 9.936735615430429824e-01
1.193849901994146867e+00 9.936308399921760515e-01
1.148754749765317440e+00 9.935573222288396344e-01
1.105362971428920593e+00 9.935008971773924280e-01
1.063610225642840357e+00 9.933844275770131738e-01
1.023434601422920975e+00 9.932183786423304239e-01
9.847765263413482684e-01 9.923016864453140240e-01
9.475786781926287539e-01 9.907668726779046420e-01
9.117858999962127342e-01 9.887584576255752378e-01
8.773451182096997369e-01 9.865402691207719732e-01
8.442052640313805201e-01 9.837170567983472003e-01
8.123171976753958967e-01 9.805816072428146235e-01
7.816336355072536213e-01 9.759789717329967473e-01
7.521090799316344500e-01 9.718456145336643592e-01
7.236997519285500724e-01 9.664829009342403854e-01
6.963635261377932872e-01 9.607828072480818493e-01
6.700598683954466228e-01 9.544468458616092166e-01
6.447497756298060656e-01 9.478676676800987799e-01
6.203957180276193917e-01 9.395773826396699446e-01
5.969615833848654907e-01 9.308408650439680132e-01
5.744126235595656826e-01 9.228169277449973507e-01
5.527154029472319818e-01 9.124993537376188124e-01
5.318377489025387650e-01 9.023208207953058446e-01
5.117487040337178605e-01 8.920658875045819336e-01
4.924184802989251541e-01 8.795121685876090556e-01
4.738184148365269244e-01 8.678785477270765103e-01
4.559209274637959775e-01 8.557245340931401989e-01
4.386994797810120361e-01 8.443185201469773915e-01
4.221285358203109017e-01 8.317855517085889216e-01
4.061835241809473862e-01 8.215867148090731931e-01
3.908408015948106606e-01 8.097856854372682545e-01
3.760776178681833337e-01 7.976751883992447834e-01
3.618720821477432459e-01 7.856887137480880190e-01
3.482031304608034228e-01 7.732215795882658727e-01
3.350504944816430908e-01 7.612284545928500457e-01
3.223946714776317335e-01 7.487364560325638907e-01
3.102168953905681259e-01 7.373321798483726264e-01
2.984991090103660816e-01 7.234672258714036630e-01
2.872239371998157598e-01 7.110995897462386583e-01
2.763746611307263956e-01 6.975192118362231186e-01
2.659351934932424610e-01 6.835792809239622514e-01
2.558900546415746602e-01 6.702344308375931536e-01
2.462243496407781618e-01 6.570556724342339061e-01
2.369237461805367151e-01 6.461829191057175681e-01
2.279744533232104797e-01 6.314633525816327753e-01
2.193632010546275879e-01 6.190644944729508659e-01
2.110772206073047996e-01 6.059228363729640687e-01
2.031042255269136232e-01 5.928928024491815219e-01
1.954323934539236307e-01 5.814971716003876079e-01
1.880503485934026386e-01 5.698919136638601612e-01
1.809471448469860411e-01 5.573205676659612751e-01
1.741122495819973082e-01 5.461679846900382440e-01
1.675355280136584801e-01 5.334784026181110805e-01
1.612072281772268800e-01 5.231729182314712734e-01
1.551179664677801717e-01 5.122142498723371018e-01
1.492587137262027519e-01 5.018059404349581865e-01
1.436207818507471146e-01 4.911933189373743902e-01
1.381958109143129054e-01 4.795841939825842837e-01
1.329757567683453878e-01 4.681341809097537832e-01
1.279528791149686096e-01 4.589808976896794790e-01
1.231197300296702768e-01 4.486438750556758781e-01
1.184691429175161181e-01 4.374845664996181993e-01
1.139942218865215018e-01 4.289265307952159767e-01
1.096883315224203986e-01 4.177829510456466111e-01
1.055450870496707494e-01 4.075574132103936265e-01
1.015583448641080577e-01 3.985060935329833853e-01
9.772219342320652424e-02 3.879867504146798929e-01
9.403094448044267695e-02 3.780605467281215049e-01
