# XXZ chain with true anisotropy being Delta + g
# L = 16, full Hilbert space, J = 1, Delta = 1.0, g = 0.10
# Normalized cumlative spectral function for the O1 operator, with frequency scaled by g
# omega/g, R_1(omega)


2.046617999391989962e+00 9.885569192474104039e-01
1.969311337907422743e+00 9.880982866819474353e-01
1.894924771873821578e+00 9.876346210956563620e-01
1.823348000868441288e+00 9.871386647268112213e-01
1.754474890833459755e+00 9.866825286884699509e-01
1.688203316700363388e+00 9.861664840992285797e-01
1.624435010958866998e+00 9.856923631973562028e-01
1.563075417945816614e+00 9.851978574541844225e-01
1.504033553638024934e+00 9.846942548754064051e-01
1.447221870741135064e+00 9.842165765220983742e-01
1.392556128874463450e+00 9.837055354338344326e-01
1.339955269659339088e+00 9.831827808308324368e-01
1.289341296525715608e+00 9.827228591243416522e-01
1.240639159058832375e+00 9.822422427852691706e-01
1.193776641714436870e+00 9.818414044344814240e-01
1.148684256737554144e+00 9.814571564643324031e-01
1.105295141126022118e+00 9.811220584065444283e-01
1.063544957486011189e+00 9.807784825835551556e-01
1.023371798632519702e+00 9.802591544572918369e-01
9.847160957933773773e-01 9.789570477190036035e-01
9.475205302806547492e-01 9.769647942794802420e-01
9.117299484984922042e-01 9.744030109186717636e-01
8.772912801613365064e-01 9.713018020380119744e-01
8.441534596012983949e-01 9.680756305201679845e-01
8.122673500479719033e-01 9.642647727770827792e-01
7.815856707684091242e-01 9.599705700029433908e-01
7.520629269592414845e-01 9.549786360672412044e-01
7.236553422869657082e-01 9.492444653830431900e-01
6.963207939763882415e-01 9.429633343145800151e-01
6.700187503509590359e-01 9.364669211477107957e-01
6.447102107323868792e-01 9.293854339443640145e-01
6.203576476104274429e-01 9.211270916010479981e-01
5.969249509970734335e-01 9.126255537908057880e-01
5.743773748826587200e-01 9.032009973496976096e-01
5.526814857144602966e-01 8.945375514477023060e-01
5.318051128214201784e-01 8.844610364140922387e-01
5.117173007114604877e-01 8.751244138698236474e-01
4.923882631706741342e-01 8.648941533184951735e-01
4.737893390963143769e-01 8.546078111285186907e-01
4.558929499981063671e-01 8.423422534581525012e-01
4.386725591048498685e-01 8.338274867318938854e-01
4.221026320156902600e-01 8.224655080589535761e-01
4.061585988376979484e-01 8.118637704970347313e-01
3.908168177536268106e-01 8.024864214244205041e-01
3.760545399658172250e-01 7.913999898838316449e-01
3.618498759642750362e-01 7.794645450997215175e-01
3.481817630688966436e-01 7.681135012665951667e-01
3.350299341977233114e-01 7.576322778290008886e-01
3.223748878149030328e-01 7.475737340619799109e-01
3.101978590138096958e-01 7.354116110093512626e-01
2.984807916924327453e-01 7.249918473953852471e-01
2.872063117797828413e-01 7.132430875728721364e-01
2.763577014736159909e-01 7.008122513077538196e-01
2.659188744512693825e-01 6.891257211540143812e-01
2.558743520168589303e-01 6.782151532580781295e-01
2.462092401494625771e-01 6.660454960292059301e-01
2.369092074182634622e-01 6.529182610760189132e-01
2.279604637318979887e-01 6.427904915942408426e-01
2.193497398905060181e-01 6.309420053801030326e-01
2.110642679101554509e-01 6.186788168744565830e-01
2.030917620904736931e-01 6.066472617370407550e-01
1.954204007974053303e-01 5.953030873861789862e-01
1.880388089340916669e-01 5.846183576087672362e-01
1.809360410738716229e-01 5.733808537378932702e-01
1.741015652304017114e-01 5.624017261829966641e-01
1.675252472408215454e-01 5.522327019030107698e-01
1.611973357388158667e-01 5.425909761763034744e-01
1.551084476952840630e-01 5.312508743400348177e-01
1.492495545051830408e-01 5.219568283250183294e-01
1.436119685999078799e-01 5.122851272460637873e-01
1.381873305653631978e-01 4.991830694607370944e-01
1.329675967466212305e-01 4.901132266134495818e-01
1.279450273207873301e-01 4.802413343733222262e-01
1.231121748203890809e-01 4.697894103397270982e-01
1.184618730902683575e-01 4.596755197039277818e-01
1.139872266616052399e-01 4.492237098509248017e-01
1.096816005273137939e-01 4.383477650417960114e-01
1.055386103036523998e-01 4.281445414732126808e-01
1.015521127634568116e-01 4.187919724621951834e-01
9.771619672696181536e-02 4.106236537565854938e-01
9.402517429670131932e-02 4.008959558360912223e-01
9.047357242349302053e-02 3.914177604174570724e-01
8.705612479099865408e-02 3.821979102522687910e-01
8.376776400682924006e-02 3.718334104870755219e-01
8.060361408861344001e-02 3.615942162748067013e-01
7.755898323389008586e-02 3.488005480590157248e-01
7.462935686310137595e-02 3.382210923266680824e-01
7.181039092537355728e-02 3.268035247407649058e-01
6.909790545715645271e-02 3.156214792085518250e-01
6.648787838417269391e-02 3.031217377024613135e-01
6.397643955748430478e-02 2.913577063403502976e-01
6.155986501483513840e-02 2.800613603136691832e-01
5.923457145875805907e-02 2.669670468380577200e-01
5.699711094326075089e-02 2.555474773354968199e-01
5.484416576121019932e-02 2.449977339006383925e-01
5.277254352483537470e-02 2.350479306194658002e-01
5.077917243205402886e-02 2.248710992167171907e-01
4.886109671160326212e-02 2.139538500320604941e-01
4.701547224022133847e-02 2.039612921419418079e-01
4.523956232538053207e-02 1.936605356192721006e-01
4.353073364731891576e-02 1.846198392886611028e-01
4.188645235435271147e-02 1.768974681893522027e-01
4.030428030568054820e-02 1.679485888957188977e-01
3.878187145610723086e-02 1.592413966970684935e-01
3.731696837732755706e-02 1.520341938279965999e-01
3.590739891061055233e-02 1.444169968135491922e-01
3.455107294592221073e-02 1.380409447232054942e-01
3.324597932270941664e-02 1.325207483516251117e-01
3.199018284775066723e-02 1.267892937668373965e-01
3.078182142565079674e-02 1.225328341174888036e-01
2.961910329772556028e-02 1.171625967077867952e-01
2.850030438518108555e-02 1.116519094207084062e-01
2.742376573264952364e-02 1.062842620777316033e-01
2.638789104828934487e-02 1.021142078406255954e-01
2.539114433680346797e-02 9.742444244911889484e-02
2.443204762186488785e-02 9.253400264474009873e-02
2.350917875457286463e-02 8.864370019797310207e-02
2.262116930469026607e-02 8.509691505371380638e-02
2.176670253153458953e-02 8.087245228047429402e-02
2.094451143151470837e-02 7.744474695831879418e-02
2.015337685941732959e-02 7.378212014288880460e-02
1.939212572065830698e-02 7.033988910555159790e-02
1.865962923181746155e-02 6.799652918008730618e-02
1.795480124687832274e-02 6.525618973412110335e-02
1.727659664669036269e-02 6.266155282474079879e-02
1.662400978926613718e-02 5.967718096968659819e-02
1.599607301861487654e-02 5.754358146510279992e-02
1.539185522990207076e-02 5.530528236777219886e-02
1.481046048880675474e-02 5.284262909450609946e-02
1.425102670302999183e-02 5.092792764897449698e-02
1.371272434398400700e-02 4.876563820691730278e-02
1.319475521676707203e-02 4.774924401616380265e-02
1.269635127659973946e-02 4.532351459339400285e-02
1.221677348996793103e-02 4.392704100666849909e-02
1.175531073878369887e-02 4.276441073155509698e-02
1.131127876593921409e-02 4.108088234721399973e-02
1.088401916069006541e-02 3.883734635663080303e-02
1.047289838236358482e-02 3.753724732139090275e-02
1.007730682094461726e-02 3.660595505413959810e-02
9.696657893145520235e-03 3.593362636712060104e-02
9.330387172620357994e-03 3.439857899400550201e-02
8.977951553033332310e-03 3.316542870259429898e-02
8.638828442740453112e-03 3.201543187445200084e-02
