# Long-range Heisenberg model
# L = 14, J = 1.0, Delta = 0.50, Alpha = 2.5
# Integrated spin conductivity I(omega)
# omega, I(omega)

0.0000000000000000 3.00947e-22
9.99999999999999955E-007 3.00947e-22
1.99999999999999991E-006 3.00947e-22
3.00000000000000008E-006 0.00237687
3.99999999999999982E-006 0.00470232
5.00000000000000041E-006 0.00470232
6.00000000000000015E-006 0.00470232
6.99999999999999989E-006 0.00470232
7.99999999999999964E-006 0.00470232
9.00000000000000023E-006 0.00470232
1.00000000000000008E-005 0.00470232
1.09999999999999997E-005 0.00470232
1.20000000000000003E-005 0.00470232
1.29999999999999992E-005 0.00470232
1.39999999999999998E-005 0.00921125
1.50000000000000004E-005 0.0141416
1.59999999999999993E-005 0.0141416
1.69999999999999999E-005 0.0141416
1.80000000000000005E-005 0.0141416
1.90000000000000010E-005 0.0141416
2.00000000000000016E-005 0.0141416
2.09999999999999988E-005 0.0141416
2.19999999999999994E-005 0.0146923
2.30000000000000000E-005 0.0162929
2.40000000000000006E-005 0.0162929
2.50000000000000012E-005 0.0183074
2.59999999999999984E-005 0.0183074
2.69999999999999990E-005 0.0183074
2.79999999999999996E-005 0.0190176
2.90000000000000002E-005 0.0190176
3.00000000000000008E-005 0.0203423
3.10000000000000014E-005 0.0203423
3.19999999999999986E-005 0.0203423
3.30000000000000025E-005 0.0253591
3.39999999999999997E-005 0.0327447
3.49999999999999969E-005 0.0364298
3.60000000000000009E-005 0.0433911
3.69999999999999981E-005 0.0433911
3.80000000000000021E-005 0.0433911
3.89999999999999993E-005 0.0434608
4.00000000000000033E-005 0.0434608
4.10000000000000005E-005 0.0434608
4.19999999999999977E-005 0.0434608
4.30000000000000017E-005 0.0434608
4.39999999999999989E-005 0.0434608
4.50000000000000028E-005 0.0434608
4.60000000000000000E-005 0.0466325
4.69999999999999972E-005 0.0466325
4.80000000000000012E-005 0.0466325
4.89999999999999984E-005 0.0466325
5.00000000000000024E-005 0.0466325
5.09999999999999996E-005 0.0466325
5.19999999999999968E-005 0.0492718
5.30000000000000008E-005 0.0494218
5.39999999999999980E-005 0.0494218
5.50000000000000020E-005 0.0498127
5.59999999999999992E-005 0.0498127
5.70000000000000031E-005 0.0498127
5.80000000000000003E-005 0.0498127
5.89999999999999975E-005 0.0517363
6.00000000000000015E-005 0.0517363
6.09999999999999987E-005 0.0517363
6.20000000000000027E-005 0.0517363
6.29999999999999999E-005 0.0517363
6.39999999999999971E-005 0.0517363
6.49999999999999943E-005 0.0517363
6.60000000000000051E-005 0.0517363
6.70000000000000023E-005 0.0517363
6.79999999999999995E-005 0.0517363
6.89999999999999967E-005 0.0517363
6.99999999999999939E-005 0.0558905
7.10000000000000046E-005 0.0558905
7.20000000000000018E-005 0.0558905
7.29999999999999990E-005 0.0558905
7.39999999999999962E-005 0.0558905
7.49999999999999934E-005 0.0578352
7.60000000000000042E-005 0.0578352
7.70000000000000014E-005 0.0578352
7.79999999999999986E-005 0.0578352
7.89999999999999958E-005 0.0578352
8.00000000000000065E-005 0.0578352
8.10000000000000037E-005 0.0593295
8.20000000000000009E-005 0.0593295
8.29999999999999981E-005 0.0649337
8.39999999999999954E-005 0.0649337
8.50000000000000061E-005 0.0649337
8.60000000000000033E-005 0.0649337
8.70000000000000005E-005 0.0649337
8.79999999999999977E-005 0.0652109
8.89999999999999949E-005 0.0665952
9.00000000000000057E-005 0.0665952
9.10000000000000029E-005 0.0665952
9.20000000000000001E-005 0.0665952
9.29999999999999973E-005 0.0665952
9.39999999999999945E-005 0.0702316
9.50000000000000052E-005 0.0767614
9.60000000000000024E-005 0.0767614
9.69999999999999996E-005 0.0767614
9.79999999999999968E-005 0.0770827
9.89999999999999940E-005 0.0770827
1.00000000000000005E-004 0.0770827
1.10000000000000004E-004 0.0907815
1.20000000000000003E-004 0.0918147
1.29999999999999989E-004 0.0924305
1.39999999999999988E-004 0.103614
1.49999999999999987E-004 0.118086
