# Generalized Haldane-Shastry model
# L = 20, J = 1.0, Delta = 0.8
# Heatmap of integrated spin conductivity I(omega)
# alpha, omega, I(omega)

1 0.0000000000000000 6.16116e-07
1 9.99999999999999955E-007 1.0597e-06
1 1.99999999999999991E-006 1.71689e-06
1 3.00000000000000008E-006 2.08826e-06
1 3.99999999999999982E-006 2.59098e-06
1 5.00000000000000041E-006 3.03913e-06
1 6.00000000000000015E-006 3.72393e-06
1 6.99999999999999989E-006 4.30461e-06
1 7.99999999999999964E-006 4.89912e-06
1 9.00000000000000023E-006 5.52306e-06
1 1.00000000000000008E-005 6.12636e-06
1 1.09999999999999997E-005 6.64569e-06
1 1.20000000000000003E-005 7.54683e-06
1 1.29999999999999992E-005 8.10605e-06
1 1.39999999999999998E-005 8.64424e-06
1 1.50000000000000004E-005 9.26424e-06
1 1.59999999999999993E-005 1.00702e-05
1 1.69999999999999999E-005 1.09173e-05
1 1.80000000000000005E-005 1.13925e-05
1 1.90000000000000010E-005 1.19515e-05
1 2.00000000000000016E-005 1.24955e-05
1 2.09999999999999988E-005 1.28761e-05
1 2.19999999999999994E-005 1.34403e-05
1 2.30000000000000000E-005 1.38722e-05
1 2.40000000000000006E-005 1.45825e-05
1 2.50000000000000012E-005 1.50227e-05
1 2.59999999999999984E-005 1.54803e-05
1 2.69999999999999990E-005 1.62932e-05
1 2.79999999999999996E-005 1.66044e-05
1 2.90000000000000002E-005 1.74785e-05
1 3.00000000000000008E-005 1.79329e-05
1 3.10000000000000014E-005 1.91699e-05
1 3.19999999999999986E-005 2.07452e-05
1 3.30000000000000025E-005 2.10501e-05
1 3.39999999999999997E-005 2.17563e-05
1 3.49999999999999969E-005 2.35443e-05
1 3.60000000000000009E-005 2.40949e-05
1 3.69999999999999981E-005 2.44604e-05
1 3.80000000000000021E-005 2.50988e-05
1 3.89999999999999993E-005 2.59872e-05
1 4.00000000000000033E-005 2.65039e-05
1 4.10000000000000005E-005 2.69461e-05
1 4.19999999999999977E-005 2.75456e-05
1 4.30000000000000017E-005 2.7967e-05
1 4.39999999999999989E-005 2.84743e-05
1 4.50000000000000028E-005 2.94004e-05
1 4.60000000000000000E-005 2.99992e-05
1 4.69999999999999972E-005 3.05164e-05
1 4.80000000000000012E-005 3.11033e-05
1 4.89999999999999984E-005 3.1651e-05
1 5.00000000000000024E-005 3.23016e-05
1 5.09999999999999996E-005 3.28278e-05
1 5.19999999999999968E-005 3.33485e-05
1 5.30000000000000008E-005 3.39827e-05
1 5.39999999999999980E-005 3.4551e-05
1 5.50000000000000020E-005 3.54457e-05
1 5.59999999999999992E-005 3.60183e-05
1 5.70000000000000031E-005 3.67159e-05
1 5.80000000000000003E-005 3.72273e-05
1 5.89999999999999975E-005 3.7788e-05
1 6.00000000000000015E-005 3.81847e-05
1 6.09999999999999987E-005 3.86247e-05
1 6.20000000000000027E-005 3.91417e-05
1 6.29999999999999999E-005 3.97101e-05
1 6.39999999999999971E-005 4.03118e-05
1 6.49999999999999943E-005 4.06262e-05
1 6.60000000000000051E-005 4.09203e-05
1 6.70000000000000023E-005 4.14923e-05
1 6.79999999999999995E-005 4.19447e-05
1 6.89999999999999967E-005 4.23821e-05
1 6.99999999999999939E-005 4.29627e-05
1 7.10000000000000046E-005 4.33122e-05
