# Long-range Heisenberg model
# L = 20, J = 1.0, Delta = 1.4
# Heatmap of integrated spin conductivity I(omega)
# alpha, omega, I(omega)

1 0.0000000000000000 2.81854e-06
1 9.99999999999999955E-007 4.39737e-06
1 1.99999999999999991E-006 5.80786e-06
1 3.00000000000000008E-006 7.72373e-06
1 3.99999999999999982E-006 9.0302e-06
1 5.00000000000000041E-006 1.04607e-05
1 6.00000000000000015E-006 1.3074e-05
1 6.99999999999999989E-006 1.43918e-05
1 7.99999999999999964E-006 1.71759e-05
1 9.00000000000000023E-006 1.84851e-05
1 1.00000000000000008E-005 2.01702e-05
1 1.09999999999999997E-005 2.19149e-05
1 1.20000000000000003E-005 2.32455e-05
1 1.29999999999999992E-005 2.67926e-05
1 1.39999999999999998E-005 3.0608e-05
1 1.50000000000000004E-005 3.1094e-05
1 1.59999999999999993E-005 3.25301e-05
1 1.69999999999999999E-005 3.32682e-05
1 1.80000000000000005E-005 3.4685e-05
1 1.90000000000000010E-005 3.69579e-05
1 2.00000000000000016E-005 3.85942e-05
1 2.09999999999999988E-005 4.28067e-05
1 2.19999999999999994E-005 4.50126e-05
1 2.30000000000000000E-005 4.5988e-05
1 2.40000000000000006E-005 4.80901e-05
1 2.50000000000000012E-005 4.91268e-05
1 2.59999999999999984E-005 5.08969e-05
1 2.69999999999999990E-005 5.25655e-05
1 2.79999999999999996E-005 5.34041e-05
1 2.90000000000000002E-005 5.51468e-05
1 3.00000000000000008E-005 5.68334e-05
1 3.10000000000000014E-005 5.88509e-05
1 3.19999999999999986E-005 6.80279e-05
1 3.30000000000000025E-005 6.92712e-05
1 3.39999999999999997E-005 7.17984e-05
1 3.49999999999999969E-005 7.42965e-05
1 3.60000000000000009E-005 7.51898e-05
1 3.69999999999999981E-005 7.67945e-05
1 3.80000000000000021E-005 7.84411e-05
1 3.89999999999999993E-005 8.01954e-05
1 4.00000000000000033E-005 8.22679e-05
1 4.10000000000000005E-005 8.38154e-05
1 4.19999999999999977E-005 8.52776e-05
1 4.30000000000000017E-005 8.71104e-05
1 4.39999999999999989E-005 8.86285e-05
1 4.50000000000000028E-005 9.02972e-05
1 4.60000000000000000E-005 9.16173e-05
1 4.69999999999999972E-005 9.27737e-05
1 4.80000000000000012E-005 9.43766e-05
1 4.89999999999999984E-005 9.53996e-05
1 5.00000000000000024E-005 9.66333e-05
1 5.09999999999999996E-005 9.82362e-05
1 5.19999999999999968E-005 0.000100709
1 5.30000000000000008E-005 0.000103225
1 5.39999999999999980E-005 0.000104278
1 5.50000000000000020E-005 0.000106581
1 5.59999999999999992E-005 0.000108563
1 5.70000000000000031E-005 0.000110852
1 5.80000000000000003E-005 0.000112423
1 5.89999999999999975E-005 0.000113413
1 6.00000000000000015E-005 0.000115391
1 6.09999999999999987E-005 0.000117388
1 6.20000000000000027E-005 0.000119205
1 6.29999999999999999E-005 0.000120762
1 6.39999999999999971E-005 0.000122894
1 6.49999999999999943E-005 0.000125301
1 6.60000000000000051E-005 0.000126004
1 6.70000000000000023E-005 0.000127087
1 6.79999999999999995E-005 0.000127625
1 6.89999999999999967E-005 0.000128761
1 6.99999999999999939E-005 0.000131018
1 7.10000000000000046E-005 0.000132687
1 7.20000000000000018E-005 0.000135252
1 7.29999999999999990E-005 0.000136403
1 7.39999999999999962E-005 0.000137471
1 7.49999999999999934E-005 0.000138969
1 7.60000000000000042E-005 0.000140022
1 7.70000000000000014E-005 0.000140657
1 7.79999999999999986E-005 0.000142398
1 7.89999999999999958E-005 0.000143566
1 8.00000000000000065E-005 0.00014609
1 8.10000000000000037E-005 0.000148393
1 8.20000000000000009E-005 0.000150265
1 8.29999999999999981E-005 0.000151731
1 8.39999999999999954E-005 0.000153952
1 8.50000000000000061E-005 0.000154637
1 8.60000000000000033E-005 0.000157235
1 8.70000000000000005E-005 0.000158411
1 8.79999999999999977E-005 0.000160545
1 8.89999999999999949E-005 0.000168148
1 9.00000000000000057E-005 0.000170307
1 9.10000000000000029E-005 0.000171091
1 9.20000000000000001E-005 0.000173005
1 9.29999999999999973E-005 0.00017421
1 9.39999999999999945E-005 0.000175256
1 9.50000000000000052E-005 0.000176142
1 9.60000000000000024E-005 0.000177496
1 9.69999999999999996E-005 0.000181571
1 9.79999999999999968E-005 0.000183825
1 9.89999999999999940E-005 0.000186929
1 1.00000000000000005E-004 0.000188458
1 1.10000000000000004E-004 0.0002029
1 1.20000000000000003E-004 0.000235613
1 1.29999999999999989E-004 0.000251221
1 1.39999999999999988E-004 0.000272342
1 1.49999999999999987E-004 0.000289709
1 1.60000000000000013E-004 0.000312123
1 1.70000000000000012E-004 0.000326934
1 1.80000000000000011E-004 0.000345872
1 1.90000000000000010E-004 0.00036176
1 2.00000000000000010E-004 0.000376564
1 2.10000000000000009E-004 0.000392205
1 2.20000000000000008E-004 0.000408937
1 2.30000000000000007E-004 0.000425893
1 2.40000000000000006E-004 0.000446852
1 2.50000000000000005E-004 0.000463135
1 2.59999999999999977E-004 0.00047588
1 2.70000000000000003E-004 0.000497495
1 2.79999999999999975E-004 0.000512309
1 2.90000000000000002E-004 0.000528536
1 2.99999999999999974E-004 0.000546734
1 3.10000000000000000E-004 0.000565229
1 3.20000000000000026E-004 0.000584999
1 3.29999999999999998E-004 0.000600025
1 3.40000000000000024E-004 0.000629693
1 3.49999999999999996E-004 0.000643712
1 3.60000000000000023E-004 0.000660366
1 3.69999999999999995E-004 0.000680313
1 3.80000000000000021E-004 0.00069558
1 3.89999999999999993E-004 0.000716902
1 4.00000000000000019E-004 0.000738036
1 4.09999999999999991E-004 0.00075273
1 4.20000000000000017E-004 0.000766436
1 4.29999999999999989E-004 0.000777902
1 4.40000000000000016E-004 0.00087986
1 4.49999999999999988E-004 0.000895806
1 4.60000000000000014E-004 0.000917337
1 4.69999999999999986E-004 0.000934308
1 4.80000000000000012E-004 0.000949987
1 4.89999999999999984E-004 0.000968336
1 5.00000000000000010E-004 0.000988
1 5.10000000000000037E-004 0.00102738
1 5.19999999999999954E-004 0.00104925
1 5.29999999999999981E-004 0.00106737
1 5.40000000000000007E-004 0.00108131
1 5.50000000000000033E-004 0.00109706
1 5.59999999999999951E-004 0.00111376
1 5.69999999999999977E-004 0.00113017
1 5.80000000000000003E-004 0.00114659
1 5.90000000000000030E-004 0.00116358
1 5.99999999999999947E-004 0.00118891
1 6.09999999999999974E-004 0.00120659
1 6.20000000000000000E-004 0.00122507
1 6.30000000000000026E-004 0.00124031
1 6.40000000000000052E-004 0.00125377
1 6.49999999999999970E-004 0.00126958
1 6.59999999999999996E-004 0.00128432
1 6.70000000000000023E-004 0.0013041
1 6.80000000000000049E-004 0.00132203
1 6.89999999999999967E-004 0.00133978
1 6.99999999999999993E-004 0.00136072
1 7.10000000000000019E-004 0.00137913
1 7.20000000000000045E-004 0.00139474
1 7.29999999999999963E-004 0.00141173
1 7.39999999999999989E-004 0.00142907
1 7.50000000000000016E-004 0.0014468
