# long range t-V model of spinless fermions
# L = 18, t = 1.0, V = 1.0
# Heatmap of integrated spin conductivity I(omega)
# alpha, omega, I(omega)

1 0.0000000000000000 0.0101962
1 9.9999999999999995E-007 0.0101963
1 1.9999999999999999E-006 0.0101964
1 3.0000000000000001E-006 0.0101964
1 3.9999999999999998E-006 0.0101968
1 5.0000000000000004E-006 0.0101984
1 6.0000000000000002E-006 0.0101992
1 6.9999999999999999E-006 0.0101992
1 7.9999999999999996E-006 0.0101992
1 9.0000000000000002E-006 0.0101993
1 1.0000000000000001E-005 0.0101993
1 1.1000000000000000E-005 0.0101996
1 1.2000000000000000E-005 0.0101996
1 1.2999999999999999E-005 0.0101997
1 1.4000000000000000E-005 0.0102
1 1.5000000000000000E-005 0.0102
1 1.5999999999999999E-005 0.0102002
1 1.7000000000000000E-005 0.0102002
1 1.8000000000000000E-005 0.0102008
1 1.9000000000000001E-005 0.0102016
1 2.0000000000000002E-005 0.0102016
1 2.0999999999999999E-005 0.0102016
1 2.1999999999999999E-005 0.0102018
1 2.3000000000000000E-005 0.0102018
1 2.4000000000000001E-005 0.0102018
1 2.5000000000000001E-005 0.0102041
1 2.5999999999999998E-005 0.0102055
1 2.6999999999999999E-005 0.0102055
1 2.8000000000000000E-005 0.0102088
1 2.9000000000000000E-005 0.010209
1 3.0000000000000001E-005 0.0102097
1 3.1000000000000001E-005 0.0102098
1 3.1999999999999999E-005 0.0102098
1 3.3000000000000003E-005 0.0102098
1 3.4000000000000000E-005 0.0102108
1 3.4999999999999997E-005 0.0102109
1 3.6000000000000001E-005 0.0102116
1 3.6999999999999998E-005 0.0102116
1 3.8000000000000002E-005 0.0102127
1 3.8999999999999999E-005 0.0102127
1 4.0000000000000003E-005 0.0102128
1 4.1000000000000000E-005 0.0102128
1 4.1999999999999998E-005 0.0102128
1 4.3000000000000002E-005 0.010213
1 4.3999999999999999E-005 0.0102197
1 4.5000000000000003E-005 0.0102197
1 4.6000000000000000E-005 0.01022
