# J1-J2 AHM model
# L = 18, J = 1.0, Delta = 1.0
# Heatmap of integrated spin conductivity I(omega)
# alpha, omega, I(omega)

1 0.0000000000000000 5.10225e-07
1 9.9999999999999995E-007 3.15193e-06
1 1.9999999999999999E-006 5.25048e-06
1 3.0000000000000001E-006 7.36495e-06
1 3.9999999999999998E-006 7.74544e-06
1 5.0000000000000004E-006 1.2499e-05
1 6.0000000000000002E-006 1.39604e-05
1 6.9999999999999999E-006 2.36847e-05
1 7.9999999999999996E-006 2.36847e-05
1 9.0000000000000002E-006 2.38966e-05
1 1.0000000000000001E-005 2.67066e-05
1 1.1000000000000000E-005 3.39213e-05
1 1.2000000000000000E-005 3.41785e-05
1 1.2999999999999999E-005 3.63067e-05
1 1.4000000000000000E-005 4.22311e-05
1 1.5000000000000000E-005 4.22311e-05
1 1.5999999999999999E-005 4.33885e-05
1 1.7000000000000000E-005 4.52769e-05
1 1.8000000000000000E-005 4.54858e-05
1 1.9000000000000001E-005 4.58123e-05
1 2.0000000000000002E-005 4.90188e-05
1 2.0999999999999999E-005 5.54367e-05
1 2.1999999999999999E-005 5.62047e-05
1 2.3000000000000000E-005 5.70304e-05
1 2.4000000000000001E-005 5.71784e-05
1 2.5000000000000001E-005 6.00683e-05
1 2.5999999999999998E-005 6.08053e-05
1 2.6999999999999999E-005 6.26503e-05
1 2.8000000000000000E-005 6.38452e-05
1 2.9000000000000000E-005 6.44196e-05
1 3.0000000000000001E-005 6.7948e-05
1 3.1000000000000001E-005 6.98547e-05
1 3.1999999999999999E-005 7.24508e-05
1 3.3000000000000003E-005 7.471e-05
1 3.4000000000000000E-005 7.66661e-05
1 3.4999999999999997E-005 7.8542e-05
1 3.6000000000000001E-005 7.88619e-05
1 3.6999999999999998E-005 8.05789e-05
1 3.8000000000000002E-005 8.25848e-05
1 3.8999999999999999E-005 8.50982e-05
1 4.0000000000000003E-005 8.98225e-05
1 4.1000000000000000E-005 8.98225e-05
1 4.1999999999999998E-005 9.05968e-05
1 4.3000000000000002E-005 9.20099e-05
1 4.3999999999999999E-005 9.39185e-05
1 4.5000000000000003E-005 9.932e-05
1 4.6000000000000000E-005 9.99823e-05
1 4.6999999999999997E-005 0.000102432
1 4.8000000000000001E-005 0.000102598
1 4.8999999999999998E-005 0.000104086
1 5.0000000000000002E-005 0.000104496
1 5.1000000000000000E-005 0.000104496
1 5.1999999999999997E-005 0.000105651
1 5.3000000000000001E-005 0.000106319
1 5.3999999999999998E-005 0.000106675
1 5.5000000000000002E-005 0.000106834
1 5.5999999999999999E-005 0.000109699
1 5.7000000000000003E-005 0.000117247
1 5.8000000000000000E-005 0.000118284
1 5.8999999999999998E-005 0.000119282
1 6.0000000000000002E-005 0.000119759
1 6.0999999999999999E-005 0.00012185
1 6.2000000000000003E-005 0.000128281
1 6.3000000000000000E-005 0.000134561
1 6.3999999999999997E-005 0.000136704
1 6.4999999999999994E-005 0.000136709
1 6.6000000000000005E-005 0.00014576
1 6.7000000000000002E-005 0.00014576
1 6.7999999999999999E-005 0.000147385
1 6.8999999999999997E-005 0.00014786
1 6.9999999999999994E-005 0.00014786
1 7.1000000000000005E-005 0.00014786
1 7.2000000000000002E-005 0.000149977
1 7.2999999999999999E-005 0.000151479
1 7.3999999999999996E-005 0.000153343
1 7.4999999999999993E-005 0.000153556
1 7.6000000000000004E-005 0.000153556
1 7.7000000000000001E-005 0.000159045
1 7.7999999999999999E-005 0.000160414
1 7.8999999999999996E-005 0.00016291
1 8.0000000000000007E-005 0.000168935
1 8.1000000000000004E-005 0.000169996
1 8.2000000000000001E-005 0.000172613
1 8.2999999999999998E-005 0.000174177
1 8.3999999999999995E-005 0.000177767
1 8.5000000000000006E-005 0.00017778
1 8.6000000000000003E-005 0.000180734
1 8.7000000000000001E-005 0.000186195
1 8.7999999999999998E-005 0.000187558
1 8.8999999999999995E-005 0.000188522
1 9.0000000000000006E-005 0.000190843
1 9.1000000000000003E-005 0.000191373
1 9.2000000000000000E-005 0.000202561
1 9.2999999999999997E-005 0.00020301
1 9.3999999999999994E-005 0.000203919
