# long range Heisenberg model
# L = 16, J = 1.0, Delta = 0.0, Alpha = 10.0
# Contribution of Si to the sum rule for spin conductivity vs corresponding frequency
# omega_i, Si  


3.16801 0.77380626320724022
8.87961 0.14852180863001890
8.46953 4.9618946085040999E-002
9.76827 1.2892715520547037E-002
9.94048 7.1546809119412153E-003
11.7984 3.8312031634766667E-003
12.5379 2.1384265031381719E-003
14.8699 1.0942998293297069E-003
15.9874 5.3640416328480146E-004
25.1039 2.0368305224469310E-004
57.3206 6.3127911727359158E-005
73.2991 4.4274569067806051E-005
91.438 2.9556052571046267E-005
105.603 2.3193071574988764E-005
144.011 1.4710295764029414E-005
197.395 9.7953963174383823E-006
256.622 7.0040839967631195E-006
439.713 3.7850857811672089E-006
728.718 2.1255252230682200E-006
1418.55 1.0099209290390491E-006
2424.66 5.5741393078674916E-007
3583.7 3.5395047588303639E-007
6277.35 1.8881612462986647E-007
9395.03 1.2065513199809361E-007
9628.3 1.1169950031659458E-007
9878.89 1.0317368673165534E-007
10097.2 9.5795052824167169E-008
10125.9 8.8943176883391937E-008
10312.6 8.2904879562355773E-008
10496.8 7.7384421155051940E-008
10843.7 7.2362738793516598E-008
10903.6 6.7549346498084784E-008
10985.8 6.3007534076334961E-008
11209.2 5.8883067614030836E-008
11387.5 5.5125734073049142E-008
11296.9 5.1616183178522655E-008
11378.4 4.8392316714085179E-008
11565.4 4.5454353512269553E-008
11669.3 4.2678400811968220E-008
11957 4.0032544601321976E-008
11775.3 3.7626398508195744E-008
12281.7 3.5332912716652813E-008
12309.4 3.3183360425405214E-008
12348 3.1206325741851912E-008
12281.1 2.9269690988230964E-008
12353.1 2.7486588337557966E-008
12601.1 2.5836231212789398E-008
12578.8 2.4282955633659414E-008
12676.4 2.2888782337629613E-008
12746 2.1592974608918683E-008
12951.3 2.0317148288604600E-008
12922.5 1.9136779687591221E-008
12983.9 1.8033050295454581E-008
13188.6 1.7026924880516557E-008
12893.1 1.6059722054330156E-008
12901 1.5149429111664936E-008
13383.8 1.4278703847187446E-008
13346.1 1.3482986737235709E-008
13309.1 1.2720360999849346E-008
13756.4 1.2025198041814283E-008
13961 1.1385171694996820E-008
13947.1 1.0759278657569618E-008
13952.7 1.0169043169178070E-008
13987.9 9.6134210892110552E-009
14055.9 9.0822218552965602E-009
13988.6 8.5802183779024257E-009
14192.2 8.1197003171434469E-009
14225.1 7.6837219171684763E-009
14164.2 7.2643622708986324E-009
14227.5 6.8579389789562544E-009
14656.5 6.4826183757685951E-009
14415.5 6.1283998068492709E-009
14234.7 5.7830280981153710E-009
14367.5 5.4652620314937847E-009
14522 5.1712062148054485E-009
14351 4.8932847381430791E-009
14387.6 4.6234361133784341E-009
14620.3 4.3735782137283224E-009
14411.3 4.1375709809547034E-009
14980.2 3.9052092638251623E-009
14647.9 3.6900265471757056E-009
14742.9 3.4941526858894456E-009
14754.8 3.3045056699451680E-009
15005.8 3.1315506446336565E-009
14791.1 2.9671336123332652E-009
14631.7 2.8113383934210854E-009
14523.1 2.6642958571863205E-009
14709.5 2.5242978795199310E-009
14902.7 2.3959729237852940E-009
15025.9 2.2735832478413090E-009
15222.6 2.1595015290020308E-009
14829.9 2.0474296924350447E-009
15006.6 1.9410902056468874E-009
14665.5 1.8445580626176055E-009
14849.6 1.7504448885815907E-009
