# long range Heisenberg model
# L = 20, J = 1.0, Delta = 0.50, Alpha = 5.0
# Contribution of Si to the sum rule for spin conductivity vs corresponding frequency
# omega_i, Si  

2961.13 0.61682672308393083
30913.7 9.8389360810864732E-002
44834.5 5.1057519215496762E-002
49096.7 3.2871798465525050E-002
52005.5 2.3233303297314503E-002
54184.7 1.7400347336995269E-002
56452.1 1.3609987126169090E-002
58987 1.1021558695256055E-002
61859.6 9.1537565932399822E-003
64078.3 7.7706944841056539E-003
66157.2 6.7057893944974774E-003
68208.6 5.8612391766904278E-003
70188.6 5.1848018063036082E-003
71493.4 4.6269470072407368E-003
73386.7 4.1653933192954910E-003
74773.2 3.7731637444366941E-003
76205.2 3.4378159512842492E-003
77809.4 3.1492845631206899E-003
78856.3 2.9014218341244006E-003
80101.1 2.6833224349796744E-003
81130.4 2.4899838426450586E-003
82108.2 2.3186045257967843E-003
83480.4 2.1654761303789294E-003
83866.8 2.0283378501265692E-003
85059.2 1.9055467443941849E-003
85897.6 1.7944768826233426E-003
87342.5 1.6938935759205967E-003
87928.5 1.6024897940849611E-003
89011.9 1.5187375802577334E-003
89688.3 1.4418217348170202E-003
90286.3 1.3714102970547777E-003
91767.1 1.3064597935100546E-003
92181.8 1.2459550048797728E-003
93400.2 1.1897819023619946E-003
94145 1.1378130081794112E-003
95235.7 1.0894140688952653E-003
95923.7 1.0444638194508091E-003
96764.6 1.0023570336115664E-003
97451.4 9.6315606032882826E-004
98326.6 9.2613841124047957E-004
98612.3 8.9150049157625316E-004
99738 8.5879760478423865E-004
100469 8.2813385872795723E-004
100926 7.9889948551119000E-004
101955 7.7140052220709906E-004
102714 7.4552364394478009E-004
103108 7.2107671802338008E-004
103755 6.9784599555374350E-004
104974 6.7569067189440757E-004
104788 6.5474451430838664E-004
105676 6.3459620974405326E-004
106340 6.1541074343217622E-004
107131 5.9709018410598978E-004
107565 5.7977493599170170E-004
107962 5.6317995866225290E-004
108696 5.4740611640874154E-004
109031 5.3214284126108129E-004
109587 5.1755575098806541E-004
110396 5.0363507519037248E-004
110525 4.9027350231616951E-004
