# long range Heisenberg model
# L = 16, J = 1.0
# Heatmap of the projection of I1 on A2 (cf. Chapter V in the paper)
# Alpha, Delta, Projection

2.00 0 9.285341000467873807e-01
2.10 0 9.488204735557467240e-01
2.20 0 9.656106316301873438e-01
2.30 0 9.661600778461626460e-01
2.40 0 9.698006083048360537e-01
2.50 0 9.662552074468701013e-01
2.60 0 9.659217982301362415e-01
2.70 0 9.644698321368984084e-01
2.80 0 9.665171471712834528e-01
2.90 0 9.669681698812417903e-01
3.00 0 9.710924479097418072e-01
3.10 0 9.725480595503697145e-01
3.20 0 9.755769570418272307e-01
3.30 0 9.784831819081430959e-01
3.40 0 9.805692483746762944e-01
3.50 0 9.828685340328284781e-01
3.60 0 9.846333038617030020e-01
3.70 0 9.869933735015735676e-01
3.80 0 9.883558660293536580e-01
3.90 0 9.898167911777521200e-01
4.00 0 9.907649248143813869e-01
4.10 0 9.917074515246464550e-01
4.20 0 9.927944474201122471e-01
4.30 0 9.936332157364988760e-01
4.40 0 9.944009679790014600e-01
4.50 0 9.950746108820901492e-01
4.60 0 9.956835961586947281e-01
4.70 0 9.961979388817123748e-01
4.80 0 9.966390183785218682e-01
4.90 0 9.970189281316682584e-01
5.00 0 9.973465388892183148e-01
 
2.00 0.1 8.933884287693751869e-01
2.10 0.1 9.205553684485331400e-01
2.20 0.1 9.325650884037565147e-01
2.30 0.1 9.397628046548882619e-01
2.40 0.1 9.452063321715966637e-01
2.50 0.1 9.518471969586455028e-01
2.60 0.1 9.571338664392080586e-01
2.70 0.1 9.616178250798000926e-01
2.80 0.1 9.671153891915894585e-01
2.90 0.1 9.702229136383394570e-01
3.00 0.1 9.739275300930765322e-01
3.10 0.1 9.771566560201973006e-01
3.20 0.1 9.791977626373358223e-01
3.30 0.1 9.813512106303310389e-01
3.40 0.1 9.838740298902253212e-01
3.50 0.1 9.851964072319483456e-01
3.60 0.1 9.862625518879130082e-01
3.70 0.1 9.871572355694905321e-01
3.80 0.1 9.883289573259849137e-01
3.90 0.1 9.890209828343916598e-01
4.00 0.1 9.890926736225970073e-01
4.10 0.1 9.890463545880466834e-01
4.20 0.1 9.890611831045058588e-01
4.30 0.1 9.889024483506632102e-01
4.40 0.1 9.886719659585431197e-01
4.50 0.1 9.888690579758901977e-01
4.60 0.1 9.892105061963576418e-01
4.70 0.1 9.890186970617609319e-01
4.80 0.1 9.885568367414681035e-01
4.90 0.1 9.879486875464011941e-01
