# long range Heisenberg model
# L = 16, J = 1.0
# Heatmap of the stifness of I2 (cf. Chapter V in the paper)
# Alpha, Delta, stifness

2.00 0 3.068605171198383053e-01
2.10 0 3.231428795363210926e-01
2.20 0 3.404693948891764910e-01
2.30 0 3.554811832496496682e-01
2.40 0 3.705187606085761920e-01
2.50 0 3.840469513086454678e-01
2.60 0 3.968957557936508285e-01
2.70 0 4.075104261842657505e-01
2.80 0 4.166253153000920584e-01
2.90 0 4.223836937666396452e-01
3.00 0 4.337940997419935107e-01
3.10 0 4.428989008391129301e-01
3.20 0 4.472667140860452362e-01
3.30 0 4.566914290325387316e-01
3.40 0 4.645633993173360343e-01
3.50 0 4.740609993385730414e-01
3.60 0 4.798998816095196851e-01
3.70 0 4.817600695244116937e-01
3.80 0 4.852838666281990010e-01
3.90 0 4.856938511518536505e-01
4.00 0 4.897363413468708293e-01
4.10 0 4.915871656842882298e-01
4.20 0 4.939380555796877292e-01
4.30 0 4.952625058220740395e-01
4.40 0 4.962528027874676395e-01
4.50 0 4.971556920069856167e-01
4.60 0 4.979711099423934639e-01
4.70 0 4.987068758250935430e-01
4.80 0 4.993660008517236126e-01
4.90 0 4.999531172753715058e-01
5.00 0 5.004752048663124731e-01
 
2.00 0.1 3.211609703893608114e-01
2.10 0.1 3.444964620703322988e-01
2.20 0.1 3.680332518174266876e-01
2.30 0.1 3.895502147520470415e-01
2.40 0.1 4.100621257450116075e-01
2.50 0.1 4.327612214122097400e-01
2.60 0.1 4.466847582954889817e-01
2.70 0.1 4.593791761392065354e-01
2.80 0.1 4.709989323926017102e-01
2.90 0.1 4.856909458254713985e-01
3.00 0.1 4.952069852976637154e-01
3.10 0.1 5.019019111545697243e-01
3.20 0.1 5.092987809975481062e-01
3.30 0.1 5.211122073824173695e-01
3.40 0.1 5.321287399396166240e-01
3.50 0.1 5.424275742771670350e-01
3.60 0.1 5.513341244534742946e-01
3.70 0.1 5.588742441678854478e-01
3.80 0.1 5.727763312218356884e-01
3.90 0.1 5.834946689504713069e-01
