# Spinless fermions Hamiltonian with random disorder and nearest neighbour interactions
# L=20 (size), J=0.5 (hoping amplitude), V=0.5 (interaction), W/J=2 (disorder strength), N=200 (disorder realizations), T=500 (number of trajectories)
# Spectral function S(omega) as a function of omega (for fTWA method)
# omega/J, S(omega)

0.000000000000000000e+00 7.113008602594588581e+01
6.283185307179531970e-03 9.714903722009543330e+00
1.256637061435906394e-02 5.801414333965278836e+00
1.884955592153859591e-02 4.418195136433583414e+00
2.513274122871812788e-02 3.532071890914794121e+00
3.141592653589765638e-02 3.067524941429309759e+00
3.769911184307719182e-02 2.697650459707435999e+00
4.398229715025672032e-02 2.392893233289119959e+00
5.026548245743625576e-02 2.161699170872368736e+00
5.654866776461578426e-02 2.008213076231543770e+00
6.283185307179531276e-02 1.835683933769438614e+00
6.911503837897485514e-02 1.656432838008810915e+00
7.539822368615438364e-02 1.636629657370311852e+00
8.168140899333391214e-02 1.560594521108056520e+00
8.796459430051344064e-02 1.506794023534704374e+00
9.424777960769298302e-02 1.415309510941844762e+00
1.005309649148725115e-01 1.330744693113196764e+00
1.068141502220520400e-01 1.309606298838297933e+00
1.130973355292315685e-01 1.268298682079426642e+00
1.193805208364111109e-01 1.246980380890624795e+00
1.256637061435906255e-01 1.248712308947984351e+00
1.319468914507701540e-01 1.194071409695290908e+00
1.382300767579497103e-01 1.168870466502140548e+00
1.445132620651292388e-01 1.140865924160218370e+00
1.507964473723087673e-01 1.105024220140602642e+00
1.570796326794882958e-01 1.079208394731047571e+00
1.633628179866678243e-01 1.029490857292877148e+00
1.696460032938473528e-01 1.121076992254607330e+00
1.759291886010268813e-01 1.038287460485264102e+00
1.822123739082064098e-01 1.030465705159396617e+00
1.884955592153859660e-01 1.064473715622299865e+00
1.947787445225654945e-01 1.053691658385521590e+00
2.010619298297450230e-01 1.070372646917311821e+00
2.073451151369245793e-01 1.057272110621666261e+00
2.136283004441040800e-01 9.495702952991351697e-01
2.199114857512836085e-01 1.034996148117911519e+00
2.261946710584631370e-01 1.021305767336308179e+00
2.324778563656426655e-01 9.556438363213640708e-01
2.387610416728222218e-01 9.946498587064742658e-01
2.450442269800017225e-01 9.983885311286914144e-01
2.513274122871812510e-01 1.010430833586561494e+00
2.576105975943608350e-01 9.814206646637164688e-01
2.638937829015403080e-01 9.417631342281838069e-01
2.701769682087198921e-01 9.697727732169922898e-01
2.764601535158994206e-01 9.528665069416251132e-01
2.827433388230789491e-01 9.332706238190349168e-01
2.890265241302584776e-01 9.129205120271077778e-01
2.953097094374380061e-01 9.200653066592816565e-01
3.015928947446175346e-01 8.721135114454083848e-01
3.078760800517970631e-01 1.041540153581001826e+00
3.141592653589765916e-01 9.324519288857189281e-01
3.204424506661561201e-01 9.124913234607291423e-01
3.267256359733356486e-01 9.146243540546402651e-01
3.330088212805151771e-01 1.013654158929060856e+00
3.392920065876947056e-01 9.488750016524006847e-01
3.455751918948742341e-01 8.760200062525298481e-01
3.518583772020537626e-01 8.934259353538941406e-01
3.581415625092333466e-01 9.257558187892074297e-01
3.644247478164128196e-01 9.266267902584459648e-01
3.707079331235924036e-01 9.315512149532478858e-01
3.769911184307719321e-01 9.096685539677986654e-01
3.832743037379514606e-01 8.632066774511508722e-01
3.895574890451309891e-01 8.848676419849604846e-01
3.958406743523105176e-01 8.992702825730345406e-01
4.021238596594900461e-01 8.872421672791649394e-01
4.084070449666695191e-01 9.460813498243998421e-01
4.146902302738491586e-01 8.923721852129915533e-01
4.209734155810286316e-01 9.496626070147307086e-01
4.272566008882081601e-01 9.153547181036697511e-01
4.335397861953877441e-01 9.749160652815161976e-01
4.398229715025672171e-01 8.539563346767149454e-01
4.461061568097467456e-01 9.133338803324497768e-01
4.523893421169262741e-01 9.051592851991550059e-01
4.586725274241058581e-01 8.701466318808277478e-01
4.649557127312853311e-01 9.264630449686958036e-01
4.712388980384648596e-01 9.074796557495338201e-01
4.775220833456444436e-01 9.103647138961042939e-01
4.838052686528239721e-01 9.472745368401189747e-01
4.900884539600034451e-01 9.559614169046858345e-01
4.963716392671830291e-01 9.385716771485893561e-01
5.026548245743625021e-01 8.982847533642469573e-01
5.089380098815420306e-01 1.003577567507716539e+00
5.152211951887216701e-01 9.634939780861001557e-01
5.215043804959011986e-01 9.465890820913509529e-01
5.277875658030806161e-01 9.693022146025981334e-01
