# Spinless fermions Hamiltonian with random disorder and nearest neighbour interactions
# L=20 (size), J=0.5 (hoping amplitude), V=0.5 (interaction), W/J=2 (disorder strength), N=200 (disorder realizations)
# Spectral function S(omega) as a function of omega (for Lanczos method)
# omega/J, S(omega)

0.000000000000000000e+00 7.596091165372459386e+01
6.282557051474438672e-03 1.008174732796035222e+01
1.256511410294887734e-02 5.808391797653371214e+00
1.884767115442331428e-02 4.067900387037526322e+00
2.513022820589775469e-02 3.139834378195935027e+00
3.141278525737219163e-02 2.581237250547010476e+00
3.769534230884662857e-02 2.206888252003040396e+00
4.397789936032107244e-02 1.956423441600606328e+00
5.026045641179550938e-02 1.758795097684648701e+00
5.654301346326994632e-02 1.619979710886751967e+00
6.282557051474438325e-02 1.490394281036887314e+00
6.910812756621882713e-02 1.400388567687474994e+00
7.539068461769325713e-02 1.325702282193821135e+00
8.167324166916770101e-02 1.261097059499296735e+00
8.795579872064214488e-02 1.217851760645313197e+00
9.423835577211658876e-02 1.159822654651356810e+00
1.005209128235910188e-01 1.122326134709913159e+00
1.068034698750654488e-01 1.085965441576959511e+00
1.130860269265398926e-01 1.060252749130881300e+00
1.193685839780143226e-01 1.043675728481843867e+00
1.256511410294887665e-01 1.018883381624250628e+00
1.319336980809632243e-01 9.941593550174309124e-01
1.382162551324376543e-01 9.798140913123515316e-01
1.444988121839120843e-01 9.694018623352669284e-01
1.507813692353865143e-01 9.537751860102485768e-01
1.570639262868609720e-01 9.416465831440441470e-01
1.633464833383354020e-01 9.337850259057276503e-01
1.696290403898098320e-01 9.246639031327987812e-01
1.759115974412842898e-01 9.077414334281082020e-01
1.821941544927587198e-01 9.120169754044131771e-01
1.884767115442331775e-01 8.900150983814697492e-01
1.947592685957076075e-01 8.986878902546013848e-01
2.010418256471820375e-01 9.024378322812509623e-01
2.073243826986564675e-01 8.991916965371627990e-01
2.136069397501308975e-01 8.946777015538049938e-01
2.198894968016053553e-01 8.804039047887279867e-01
2.261720538530797853e-01 8.898535549311920034e-01
2.324546109045542153e-01 8.801925922215275699e-01
2.387371679560286453e-01 8.927707877930176616e-01
2.450197250075030753e-01 8.655552573789633275e-01
2.513022820589775330e-01 8.791524592104409397e-01
2.575848391104519908e-01 8.588527206785555590e-01
2.638673961619264485e-01 8.615549227118197706e-01
2.701499532134008508e-01 8.585326852249558494e-01
2.764325102648753085e-01 8.744038277325938413e-01
2.827150673163497663e-01 8.668400294048851373e-01
2.889976243678241685e-01 8.624386098353069574e-01
2.952801814192986263e-01 8.705461013517038493e-01
3.015627384707730285e-01 8.602489826576568133e-01
3.078452955222474863e-01 8.535834979212648665e-01
3.141278525737219440e-01 8.603417086914011414e-01
3.204104096251963463e-01 8.657959314161965958e-01
3.266929666766708040e-01 8.948402475632694086e-01
3.329755237281452063e-01 8.592311223911747176e-01
3.392580807796196640e-01 8.740978992652366220e-01
3.455406378310941218e-01 8.667169617524465020e-01
3.518231948825685795e-01 8.723980700214881701e-01
3.581057519340430373e-01 8.626091097329369184e-01
3.643883089855174395e-01 8.609806203857850448e-01
3.706708660369918973e-01 8.661554931645873978e-01
3.769534230884663550e-01 8.726034306661198947e-01
3.832359801399407573e-01 8.734063195013868075e-01
3.895185371914152150e-01 8.781397184456768423e-01
3.958010942428896173e-01 8.960391254806568950e-01
4.020836512943640750e-01 8.827728097374729632e-01
