# Spinless fermions Hamiltonian with random disorder and nearest neighbour interactions
# L=20 (size), J=0.5 (hoping amplitude), V=0.5 (interaction), W/J=6 (disorder strength), N=200 (disorder realizations), T=400 (number of trajectories)
# Spectral function S(omega) as a function of omega (for fTWA method)
# omega/J, S(omega)

0.000000000000000000e+00 3.256614494055496380e+03
6.283185307179598106e-04 2.272561039969370427e+02
1.256637061435919621e-03 1.163117068577353450e+02
1.884955592153879540e-03 7.465877376780214547e+01
2.513274122871839242e-03 5.645549219247433825e+01
3.141592653589798511e-03 4.340423254170111989e+01
3.769911184307759081e-03 3.415176508718169401e+01
4.398229715025718349e-03 2.973532732230846776e+01
5.026548245743678485e-03 2.499296363219433204e+01
5.654866776461637753e-03 2.223229293285199049e+01
6.283185307179597022e-03 1.980618179881662755e+01
6.911503837897557158e-03 1.701690013984643457e+01
7.539822368615518161e-03 1.562848606876964830e+01
8.168140899333476562e-03 1.460565118422169206e+01
8.796459430051436698e-03 1.253916825483216257e+01
9.424777960769395099e-03 1.179809526397890806e+01
1.005309649148735697e-02 1.099841909684440822e+01
1.068141502220531711e-02 9.846237463770709297e+00
1.130973355292327551e-02 9.966275776375878692e+00
1.193805208364123564e-02 8.967651193616699601e+00
1.256637061435919404e-02 8.434553152935011511e+00
1.319468914507715418e-02 7.684178551282432323e+00
1.382300767579511432e-02 7.717311422864960413e+00
1.445132620651307619e-02 7.296106055247307154e+00
1.507964473723103632e-02 6.666659784987881032e+00
1.570796326794899472e-02 7.152366315389286022e+00
1.633628179866695312e-02 5.659092776512891554e+00
1.696460032938491500e-02 6.210495690685444714e+00
1.759291886010287340e-02 6.327752849486173226e+00
1.822123739082083527e-02 5.640246565032122739e+00
1.884955592153879020e-02 5.092226770022356241e+00
1.947787445225675207e-02 5.309953906737125529e+00
2.010619298297471394e-02 4.313237695933239024e+00
2.073451151369267234e-02 4.739072059412116289e+00
2.136283004441063421e-02 4.798962329950738237e+00
2.199114857512858914e-02 3.885538615738992174e+00
2.261946710584655101e-02 4.117925881002300059e+00
2.324778563656450941e-02 3.493418699187660792e+00
2.387610416728247129e-02 4.328686503004904651e+00
2.450442269800043316e-02 3.552434670865203703e+00
2.513274122871838809e-02 3.255480349992872835e+00
2.576105975943634996e-02 3.279487513789244968e+00
2.638937829015430836e-02 3.119201198428873667e+00
2.701769682087227023e-02 3.637709011409699489e+00
2.764601535159022863e-02 3.415397652986043475e+00
2.827433388230819050e-02 3.027281943584495316e+00
2.890265241302615237e-02 3.375395609833990562e+00
2.953097094374411077e-02 3.108979642129162890e+00
3.015928947446207264e-02 2.785859208181362678e+00
3.078760800518002758e-02 2.927344387201990639e+00
3.141592653589798945e-02 2.873608337295153081e+00
3.204424506661594785e-02 2.794843089154263716e+00
3.267256359733390625e-02 2.580932930680430282e+00
3.330088212805186465e-02 2.261496741228108398e+00
3.392920065876982999e-02 2.597986212725698518e+00
3.455751918948778839e-02 2.389823140849808958e+00
3.518583772020574679e-02 2.432547091763952007e+00
3.581415625092370519e-02 2.253354876863550516e+00
3.644247478164167053e-02 2.473830041299911020e+00
3.707079331235962200e-02 2.504074970346537032e+00
3.769911184307758040e-02 2.170823742826051728e+00
3.832743037379554574e-02 2.609635367256968763e+00
3.895574890451350414e-02 2.285618193341533821e+00
3.958406743523146254e-02 2.330708691893251583e+00
4.021238596594942788e-02 2.196585987311589605e+00
4.084070449666738628e-02 1.989418832832965611e+00
4.146902302738534468e-02 1.885341845911233438e+00
4.209734155810330308e-02 1.797263058827057725e+00
4.272566008882126842e-02 1.814446881597552741e+00
4.335397861953922682e-02 1.921660285069091811e+00
4.398229715025717829e-02 2.058150680598397564e+00
4.461061568097514363e-02 1.621384089115211369e+00
4.523893421169310203e-02 1.985184844000970283e+00
4.586725274241106043e-02 1.940162952402038510e+00
4.649557127312901883e-02 1.653710774146947449e+00
4.712388980384698417e-02 1.771449880512194985e+00
4.775220833456494257e-02 1.620706922125737970e+00
4.838052686528290097e-02 1.704783798520022486e+00
4.900884539600086631e-02 1.665503125354218072e+00
4.963716392671882471e-02 1.472547878531667243e+00
5.026548245743677618e-02 1.526063105732184511e+00
5.089380098815474152e-02 1.814183137909668675e+00
5.152211951887269992e-02 1.431021084914366304e+00
5.215043804959066526e-02 1.704737456520677652e+00
5.277875658030861672e-02 1.487272923793819590e+00
5.340707511102658206e-02 1.356902316265380160e+00
5.403539364174454046e-02 1.336300897740265947e+00
5.466371217246249192e-02 1.826625447964895788e+00
5.529203070318045726e-02 1.247164412254270660e+00
5.592034923389841566e-02 1.247061052189563535e+00
5.654866776461638100e-02 1.520675853987536907e+00
5.717698629533433247e-02 1.604396833320156368e+00
5.780530482605230475e-02 1.312062539855067822e+00
5.843362335677025621e-02 1.137393839317438982e+00
5.906194188748822155e-02 1.551055496779332632e+00
5.969026041820617995e-02 1.361103383020197510e+00
6.031857894892414529e-02 1.337559212362552374e+00
6.094689747964209675e-02 1.254503175744639210e+00
6.157521601036005515e-02 1.315771139763440400e+00
6.220353454107802049e-02 1.392645812621450929e+00
6.283185307179597889e-02 1.066226426577868924e+00
6.346017160251393729e-02 1.317299222709620299e+00
6.408849013323189570e-02 1.334541577846206861e+00
6.471680866394985410e-02 1.102903157898468933e+00
6.534512719466781250e-02 1.041143000636606475e+00
6.597344572538578478e-02 1.383265682614331693e+00
6.660176425610372930e-02 1.260021980919135309e+00
6.723008278682168770e-02 1.271450752485055125e+00
6.785840131753965998e-02 1.072483856709561589e+00
6.848671984825760450e-02 1.152135894974919861e+00
6.911503837897557678e-02 1.334346159792052733e+00
6.974335690969353518e-02 1.292821914815834639e+00
7.037167544041149359e-02 1.225796147493614097e+00
7.099999397112945199e-02 1.234139148079894444e+00
7.162831250184741039e-02 1.190374519472787052e+00
7.225663103256536879e-02 1.286110608233500541e+00
7.288494956328334107e-02 1.118512493228899451e+00
7.351326809400128559e-02 1.163719472653302889e+00
7.414158662471924399e-02 1.148853258386503651e+00
7.476990515543721627e-02 9.482366228193747082e-01
7.539822368615516079e-02 1.067676481390667398e+00
7.602654221687313307e-02 1.011827826664484009e+00
7.665486074759109147e-02 1.008221195024907368e+00
7.728317927830904988e-02 1.062098762396904483e+00
7.791149780902700828e-02 9.733507600060551379e-01
7.853981633974498056e-02 9.399863664406522545e-01
7.916813487046292508e-02 1.048553822764165755e+00
7.979645340118089736e-02 1.181922186900502547e+00
8.042477193189885576e-02 1.017756578937430989e+00
8.105309046261680028e-02 1.077724359556381906e+00
8.168140899333477256e-02 1.094810744960891258e+00
8.230972752405273096e-02 9.932828124342376608e-01
8.293804605477068936e-02 8.681955376953323089e-01
8.356636458548864776e-02 8.973657620618067376e-01
8.419468311620660617e-02 1.028867150846854761e+00
8.482300164692456457e-02 9.669899825319798747e-01
8.545132017764253685e-02 9.625649827204014741e-01
8.607963870836048137e-02 9.274893780260473619e-01
8.670795723907845365e-02 1.118875846993400147e+00
8.733627576979641205e-02 8.734204929348763358e-01
8.796459430051435657e-02 1.038180819930921928e+00
8.859291283123232885e-02 1.071627010210456810e+00
8.922123136195028725e-02 1.014364016373769495e+00
8.984954989266824565e-02 1.050029312693494976e+00
9.047786842338620406e-02 7.369442270247545945e-01
9.110618695410416246e-02 8.375849853761749841e-01
9.173450548482212086e-02 7.787316071197578626e-01
9.236282401554009314e-02 9.338579026031412766e-01
9.299114254625803766e-02 8.880228952205775350e-01
9.361946107697600994e-02 1.062647987987024090e+00
9.424777960769396834e-02 9.697543848756886575e-01
9.487609813841191286e-02 8.846883956124075299e-01
9.550441666912988514e-02 8.343456735025686077e-01
9.613273519984784354e-02 8.354409013588158794e-01
9.676105373056580194e-02 8.171731678410852906e-01
9.738937226128376035e-02 8.914763566891370505e-01
9.801769079200173262e-02 8.419417032171206960e-01
9.864600932271969103e-02 6.960129063611929512e-01
9.927432785343764943e-02 8.032112484730935531e-01
9.990264638415560783e-02 8.906048476784588219e-01
1.005309649148735524e-01 8.905805530359434119e-01
1.011592834455915108e-01 9.716636642724764128e-01
1.017876019763094830e-01 9.882356926343610626e-01
1.024159205070274414e-01 6.274365359365164929e-01
1.030442390377453998e-01 6.831413436776762049e-01
1.036725575684633582e-01 8.239715491692591876e-01
1.043008760991813305e-01 7.915838254672883378e-01
1.049291946298992889e-01 7.667502630409891440e-01
1.055575131606172334e-01 8.303500299131848505e-01
1.061858316913351918e-01 7.957669446022587190e-01
1.068141502220531641e-01 9.325038319631645534e-01
1.074424687527711225e-01 8.452301336241923035e-01
1.080707872834890809e-01 7.840778198894290396e-01
1.086991058142070393e-01 8.500616308838431223e-01
1.093274243449249838e-01 9.205591502056940101e-01
1.099557428756429700e-01 8.196212997106082643e-01
1.105840614063609145e-01 8.427073316322830632e-01
1.112123799370788729e-01 6.642744816785627338e-01
1.118406984677968313e-01 8.119964576705949177e-01
1.124690169985148036e-01 7.048516855382475077e-01
1.130973355292327620e-01 7.326427182222313705e-01
1.137256540599507204e-01 8.227838270449985281e-01
1.143539725906686649e-01 7.190351943632260490e-01
1.149822911213866233e-01 7.362181894212668221e-01
1.156106096521046095e-01 6.071425536370327336e-01
1.162389281828225540e-01 7.194834069200714000e-01
1.168672467135405124e-01 8.041661226830620901e-01
1.174955652442584708e-01 7.443190465960908275e-01
1.181238837749764431e-01 7.246324712044858174e-01
1.187522023056944015e-01 5.749834383847737262e-01
1.193805208364123599e-01 7.625449705367929321e-01
1.200088393671303044e-01 7.112941234752235831e-01
1.206371578978482906e-01 8.888904132605360831e-01
1.212654764285662351e-01 7.285409518918727345e-01
1.218937949592841935e-01 8.118757688118715121e-01
1.225221134900021519e-01 6.963509910897028865e-01
1.231504320207201103e-01 8.267728108107136320e-01
1.237787505514380826e-01 8.070244314304310107e-01
1.244070690821560410e-01 5.998812326968749886e-01
1.250353876128739994e-01 9.033639853013465393e-01
1.256637061435919578e-01 8.126341895500263091e-01
1.262920246743099162e-01 4.829180222105222131e-01
1.269203432050278746e-01 7.479114915619076154e-01
1.275486617357458330e-01 7.056492422102177420e-01
1.281769802664637914e-01 7.518491211603398616e-01
1.288052987971817498e-01 7.257474653823257071e-01
1.294336173278997082e-01 7.557631522287218129e-01
