# Spinless fermions Hamiltonian with random disorder and nearest neighbour interactions
# L=20 (size), J=0.5 (hoping amplitude), V=0.5 (interaction), W/J=6 (disorder strength), N=200 (disorder realizations)
# Spectral function S(omega) as a function of omega (for Lanczos method)
# omega/J, S(omega)

0.000000000000000000e+00 7.529326808674750282e+02
6.282557051474438672e-03 3.806729258240870717e+00
1.256511410294887734e-02 2.136837488813186248e+00
1.884767115442331428e-02 1.628100256993248784e+00
2.513022820589775469e-02 1.688554397714497002e+00
3.141278525737219163e-02 1.242998158121999763e+00
3.769534230884662857e-02 1.429157604275891558e+00
4.397789936032107244e-02 1.290784005151484726e+00
5.026045641179550938e-02 8.376385147930802688e-01
5.654301346326994632e-02 1.001479836693590419e+00
6.282557051474438325e-02 7.708668842622942163e-01
6.910812756621882713e-02 8.942285057193584130e-01
7.539068461769325713e-02 1.014639857702314574e+00
8.167324166916770101e-02 5.708554350013769207e-01
8.795579872064214488e-02 5.495705982161696035e-01
9.423835577211658876e-02 1.023706908999749032e+00
1.005209128235910188e-01 7.006770625799833008e-01
1.068034698750654488e-01 4.880971594467251595e-01
1.130860269265398926e-01 4.944733231872236456e-01
1.193685839780143226e-01 6.697913095650808168e-01
1.256511410294887665e-01 6.823001904384327077e-01
1.319336980809632243e-01 4.117155837417720843e-01
1.382162551324376543e-01 6.221977029751593058e-01
1.444988121839120843e-01 5.944040694799571645e-01
1.507813692353865143e-01 4.387562617651245001e-01
1.570639262868609720e-01 4.676226278114854473e-01
1.633464833383354020e-01 3.895518878472977176e-01
1.696290403898098320e-01 3.427449362363803598e-01
1.759115974412842898e-01 3.347761855657598318e-01
1.821941544927587198e-01 4.711208177878450920e-01
1.884767115442331775e-01 4.793504929924093938e-01
1.947592685957076075e-01 4.669073299245888875e-01
2.010418256471820375e-01 5.019354212850324348e-01
2.073243826986564675e-01 3.693209089156397340e-01
2.136069397501308975e-01 4.418158180960263803e-01
2.198894968016053553e-01 4.154255657784697298e-01
2.261720538530797853e-01 4.077984544333287942e-01
