# Spinless fermions Hamiltonian with random disorder and nearest neighbour interactions
# L=20 (size), J=0.5 (hoping amplitude), V=0.5 (interaction), W/J=10 (disorder strength), N=1000 (disorder realizations), T=400 (number of trajectories)
# Spectral function S(omega) as a function of omega (for fTWA method)
# omega/J, S(omega)

0.000000000000000000e+00 7.965407083685692669e+03
6.283185307179598106e-04 1.683189083779536190e+02
1.256637061435919621e-03 7.667055091382684395e+01
1.884955592153879540e-03 4.560038143975927483e+01
2.513274122871839242e-03 3.373083337984674301e+01
3.141592653589798511e-03 2.461292301806836846e+01
3.769911184307759081e-03 1.995604151992667497e+01
4.398229715025718349e-03 1.606162866764038100e+01
5.026548245743678485e-03 1.341410145184302749e+01
5.654866776461637753e-03 1.077843639048617952e+01
6.283185307179597022e-03 1.008922323217251460e+01
6.911503837897557158e-03 9.038787817061002983e+00
7.539822368615518161e-03 7.849594123566967063e+00
8.168140899333476562e-03 7.103663705032548847e+00
8.796459430051436698e-03 6.567219311227102452e+00
9.424777960769395099e-03 6.264540166846225944e+00
1.005309649148735697e-02 4.973171122138752231e+00
1.068141502220531711e-02 5.111505811351879203e+00
1.130973355292327551e-02 4.617253857404759465e+00
1.193805208364123564e-02 4.037700976504065231e+00
1.256637061435919404e-02 4.416526757174254136e+00
1.319468914507715418e-02 4.302833403065797313e+00
1.382300767579511432e-02 3.632473184961701129e+00
1.445132620651307619e-02 3.357453899089383409e+00
1.507964473723103632e-02 3.052121698131673444e+00
1.570796326794899472e-02 3.422216419460868853e+00
1.633628179866695312e-02 2.842226370234331778e+00
1.696460032938491500e-02 2.885806163131916957e+00
1.759291886010287340e-02 2.895528758372044376e+00
1.822123739082083527e-02 2.722875488206501160e+00
1.884955592153879020e-02 2.034749142156715429e+00
1.947787445225675207e-02 2.289744077433280456e+00
2.010619298297471394e-02 2.298633627549397929e+00
2.073451151369267234e-02 2.035854960478223674e+00
2.136283004441063421e-02 2.225181472735356714e+00
2.199114857512858914e-02 1.853990310598203850e+00
2.261946710584655101e-02 1.604632108035401350e+00
2.324778563656450941e-02 1.889882555553868526e+00
2.387610416728247129e-02 1.901802280190706407e+00
2.450442269800043316e-02 1.803254977843257612e+00
2.513274122871838809e-02 1.904192717264414636e+00
2.576105975943634996e-02 1.819079662862527202e+00
2.638937829015430836e-02 1.647671390086479892e+00
2.701769682087227023e-02 1.512276479796369255e+00
2.764601535159022863e-02 1.358919628611364061e+00
2.827433388230819050e-02 1.170346680084367375e+00
2.890265241302615237e-02 1.318559006168827707e+00
2.953097094374411077e-02 1.642938668581150896e+00
3.015928947446207264e-02 1.269703222506100238e+00
3.078760800518002758e-02 1.130347155948054239e+00
3.141592653589798945e-02 1.420385360046122258e+00
3.204424506661594785e-02 9.255030294581516603e-01
3.267256359733390625e-02 1.275497950643326384e+00
3.330088212805186465e-02 1.372046603496271500e+00
3.392920065876982999e-02 1.243281788581461544e+00
3.455751918948778839e-02 7.797248869477728661e-01
3.518583772020574679e-02 8.751259657453785978e-01
3.581415625092370519e-02 1.117631866966736665e+00
3.644247478164167053e-02 1.310264105699769033e+00
3.707079331235962200e-02 1.053306386850729970e+00
3.769911184307758040e-02 1.159791528978412867e+00
3.832743037379554574e-02 8.844222214513602909e-01
3.895574890451350414e-02 1.093390130440741848e+00
3.958406743523146254e-02 9.406475622969097117e-01
4.021238596594942788e-02 9.248927910117139550e-01
4.084070449666738628e-02 9.433459343021631804e-01
4.146902302738534468e-02 9.989685516157519318e-01
4.209734155810330308e-02 9.349699901644726863e-01
4.272566008882126842e-02 1.028281810680587771e+00
4.335397861953922682e-02 8.052989136472887832e-01
4.398229715025717829e-02 1.000962109490625584e+00
4.461061568097514363e-02 1.070807164206060591e+00
4.523893421169310203e-02 7.685291657406158050e-01
4.586725274241106043e-02 7.998732690589405170e-01
4.649557127312901883e-02 9.572022062441815082e-01
4.712388980384698417e-02 8.136127259647099041e-01
4.775220833456494257e-02 7.867980833984767886e-01
4.838052686528290097e-02 5.273542244803721690e-01
4.900884539600086631e-02 8.810455631093199180e-01
4.963716392671882471e-02 6.637873910859264370e-01
5.026548245743677618e-02 7.740592735710779548e-01
5.089380098815474152e-02 9.425078161556449396e-01
5.152211951887269992e-02 8.400126409952205497e-01
5.215043804959066526e-02 7.482519919834678124e-01
5.277875658030861672e-02 8.193152696644006028e-01
5.340707511102658206e-02 7.477488990421810033e-01
5.403539364174454046e-02 6.467286982233797499e-01
5.466371217246249192e-02 6.497593920401812939e-01
5.529203070318045726e-02 5.808418521767998444e-01
5.592034923389841566e-02 6.113708215749846797e-01
5.654866776461638100e-02 6.140685482434153908e-01
5.717698629533433247e-02 8.497873464871222859e-01
5.780530482605230475e-02 7.814155928648274241e-01
5.843362335677025621e-02 7.198397999653077806e-01
5.906194188748822155e-02 6.541141842326498868e-01
5.969026041820617995e-02 6.218954128345234311e-01
6.031857894892414529e-02 6.780449262903346375e-01
6.094689747964209675e-02 7.684746359813660055e-01
6.157521601036005515e-02 7.223009900003234396e-01
6.220353454107802049e-02 5.510458515029286186e-01
6.283185307179597889e-02 7.194267576527720864e-01
6.346017160251393729e-02 4.741598874609645464e-01
6.408849013323189570e-02 7.831495306397410205e-01
6.471680866394985410e-02 4.857902408899352209e-01
6.534512719466781250e-02 6.046142514287614622e-01
6.597344572538578478e-02 5.787455348963846946e-01
6.660176425610372930e-02 7.207522968739040747e-01
6.723008278682168770e-02 6.178832174308216407e-01
6.785840131753965998e-02 6.421877439671107579e-01
6.848671984825760450e-02 7.439494829864268244e-01
6.911503837897557678e-02 5.553971945904059293e-01
6.974335690969353518e-02 6.645303680633973809e-01
7.037167544041149359e-02 6.648717064914690944e-01
7.099999397112945199e-02 5.925380420239265700e-01
7.162831250184741039e-02 5.525999930424100315e-01
7.225663103256536879e-02 6.332563221812818055e-01
7.288494956328334107e-02 6.348405229054603360e-01
7.351326809400128559e-02 5.607754318642432789e-01
7.414158662471924399e-02 6.696750798538440019e-01
7.476990515543721627e-02 6.974402262903593996e-01
7.539822368615516079e-02 6.151310064321623416e-01
7.602654221687313307e-02 6.238852481201583311e-01
7.665486074759109147e-02 5.221072301244675806e-01
7.728317927830904988e-02 4.336856469702051187e-01
7.791149780902700828e-02 4.301163293700321355e-01
7.853981633974498056e-02 5.791897463823045822e-01
7.916813487046292508e-02 5.714662905529550585e-01
7.979645340118089736e-02 5.375045087531257204e-01
8.042477193189885576e-02 4.047171834991239447e-01
8.105309046261680028e-02 5.704159109066530009e-01
8.168140899333477256e-02 6.754134903171834514e-01
8.230972752405273096e-02 5.037261687091475482e-01
8.293804605477068936e-02 3.868551016525168529e-01
8.356636458548864776e-02 6.192787894492455258e-01
8.419468311620660617e-02 5.491180566342965808e-01
8.482300164692456457e-02 4.312569208681966693e-01
8.545132017764253685e-02 4.321883762936771789e-01
8.607963870836048137e-02 6.121600603246958316e-01
8.670795723907845365e-02 3.685752020308408206e-01
8.733627576979641205e-02 4.909847486583640008e-01
8.796459430051435657e-02 4.170372482137662540e-01
8.859291283123232885e-02 6.016657522187466300e-01
8.922123136195028725e-02 5.864520382335688398e-01
8.984954989266824565e-02 4.990616222315408246e-01
9.047786842338620406e-02 6.234408218554380321e-01
9.110618695410416246e-02 5.267664260382795005e-01
9.173450548482212086e-02 4.812809024599079555e-01
9.236282401554009314e-02 4.747702104436796189e-01
9.299114254625803766e-02 5.182448102775631948e-01
9.361946107697600994e-02 5.938070649943870682e-01
9.424777960769396834e-02 4.740363440796134253e-01
9.487609813841191286e-02 4.859066085601501661e-01
9.550441666912988514e-02 5.621839827702037606e-01
9.613273519984784354e-02 4.789488218997154934e-01
9.676105373056580194e-02 5.334594676930576318e-01
9.738937226128376035e-02 4.879429635182108149e-01
9.801769079200173262e-02 6.293880075955788911e-01
9.864600932271969103e-02 5.437073415943367571e-01
9.927432785343764943e-02 6.304766716542030691e-01
9.990264638415560783e-02 4.437892627126389100e-01
1.005309649148735524e-01 4.206020738780128498e-01
1.011592834455915108e-01 5.009154305658237716e-01
