# Spinless fermions Hamiltonian with random disorder and nearest neighbour interactions
# L=20 (size), J=0.5 (hoping amplitude), V=0.5 (interaction), W/J=10 (disorder strength), N=1000 (disorder realizations)
# Spectral function S(omega) as a function of omega (for Lanczos method)
# omega/J, S(omega)

0.000000000000000000e+00 1.126462759735912869e+03
6.282557051474438672e-03 1.186103304856818585e+00
1.256511410294887734e-02 1.167228358989031101e+00
1.884767115442331428e-02 9.383210499094337687e-01
2.513022820589775469e-02 5.498259751912492055e-01
3.141278525737219163e-02 5.752145150496490444e-01
3.769534230884662857e-02 4.218774511004009797e-01
4.397789936032107244e-02 6.365961572770877375e-01
5.026045641179550938e-02 5.985541681763707489e-01
5.654301346326994632e-02 4.354892144987155267e-01
6.282557051474438325e-02 5.289011396303172630e-01
6.910812756621882713e-02 6.147558042484169150e-01
7.539068461769325713e-02 3.019794113477218267e-01
8.167324166916770101e-02 2.902376009069093654e-01
8.795579872064214488e-02 3.442848786392914140e-01
9.423835577211658876e-02 4.226566731978498304e-01
1.005209128235910188e-01 2.906028192818246869e-01
1.068034698750654488e-01 4.102491737782710257e-01
1.130860269265398926e-01 3.778639127765207051e-01
1.193685839780143226e-01 2.397738099666970324e-01
1.256511410294887665e-01 3.238005067494288403e-01
1.319336980809632243e-01 2.857636436312057104e-01
1.382162551324376543e-01 4.230126864578890866e-01
1.444988121839120843e-01 2.611822758630863994e-01
1.507813692353865143e-01 1.903538828350195555e-01
1.570639262868609720e-01 2.524986270710586900e-01
1.633464833383354020e-01 2.202829279091647607e-01
1.696290403898098320e-01 1.568651760514145899e-01
1.759115974412842898e-01 2.603981796794005432e-01
1.821941544927587198e-01 3.311221927952557320e-01
1.884767115442331775e-01 1.963808132350932656e-01
1.947592685957076075e-01 3.137193147375359481e-01
2.010418256471820375e-01 2.288314395107415022e-01
2.073243826986564675e-01 2.726881665059524562e-01
2.136069397501308975e-01 2.494848353296943988e-01
2.198894968016053553e-01 1.610841740511994857e-01
2.261720538530797853e-01 2.289340454297175143e-01
2.324546109045542153e-01 2.045281531024520649e-01
2.387371679560286453e-01 3.321775673120037631e-01
2.450197250075030753e-01 2.427919541214591526e-01
2.513022820589775330e-01 1.540497685368368841e-01
2.575848391104519908e-01 1.510006922229313875e-01
2.638673961619264485e-01 1.594109705247160058e-01
2.701499532134008508e-01 1.665774834108010583e-01
2.764325102648753085e-01 1.870095571372600018e-01
2.827150673163497663e-01 1.647666709669920460e-01
2.889976243678241685e-01 1.474632766076107715e-01
2.952801814192986263e-01 1.352380227818631708e-01
3.015627384707730285e-01 1.230442703577809410e-01
3.078452955222474863e-01 1.293153992118971640e-01
3.141278525737219440e-01 1.278485523423091574e-01
3.204104096251963463e-01 1.602471989587954393e-01
3.266929666766708040e-01 1.340719635320702374e-01
3.329755237281452063e-01 1.529578898609752491e-01
3.392580807796196640e-01 1.519587755960506992e-01
3.455406378310941218e-01 1.240064025673755926e-01
3.518231948825685795e-01 1.090239305698659789e-01
3.581057519340430373e-01 1.300800681538610004e-01
3.643883089855174395e-01 9.416193598368652329e-02
3.706708660369918973e-01 9.469964641007237727e-02
3.769534230884663550e-01 1.155979436717401720e-01
3.832359801399407573e-01 1.203248054942765571e-01
3.895185371914152150e-01 1.214792884508067577e-01
3.958010942428896173e-01 1.218598062217940980e-01
4.020836512943640750e-01 1.323773734492535992e-01
4.083662083458385328e-01 1.268108139341622698e-01
4.146487653973129350e-01 1.281568141588179111e-01
4.209313224487873928e-01 1.231493191164536594e-01
4.272138795002617950e-01 1.676895573860809341e-01
4.334964365517362528e-01 1.235826959618606946e-01
4.397789936032107105e-01 9.299286561360912973e-02
4.460615506546851128e-01 1.017669095033907622e-01
4.523441077061595705e-01 1.030689108210835203e-01
4.586266647576339728e-01 1.286386303875288739e-01
4.649092218091084305e-01 1.262293460104584875e-01
4.711917788605828883e-01 1.116590702627392739e-01
4.774743359120572905e-01 1.140044456843731652e-01
4.837568929635317483e-01 1.732828094056636514e-01
4.900394500150061505e-01 1.208581832917176718e-01
4.963220070664806083e-01 2.063587374523275786e-01
5.026045641179550660e-01 1.135921948240377344e-01
5.088871211694295793e-01 1.068696405416881823e-01
5.151696782209039815e-01 1.080191077130573662e-01
5.214522352723784948e-01 9.417769223247061949e-02
5.277347923238528971e-01 7.648693217221980145e-02
5.340173493753272993e-01 1.196566705559390792e-01
5.402999064268017015e-01 1.070922089585567144e-01
5.465824634782762148e-01 1.121276277596977844e-01
5.528650205297506171e-01 1.039835664798995918e-01
5.591475775812250193e-01 1.210673490654248508e-01
5.654301346326995326e-01 1.384994904270245297e-01
5.717126916841739348e-01 1.087298299959187642e-01
5.779952487356483370e-01 9.047449475221050474e-02
5.842778057871228503e-01 1.194805260693018872e-01
5.905603628385972526e-01 1.882794422154750735e-01
5.968429198900716548e-01 1.412067078112430318e-01
6.031254769415460570e-01 1.321652210232441282e-01
6.094080339930205703e-01 1.081115380657629993e-01
6.156905910444949726e-01 2.232995747855318069e-01
6.219731480959693748e-01 1.122544069314755089e-01
6.282557051474438881e-01 1.061979602931041877e-01
6.345382621989182903e-01 1.260642201812915697e-01
6.408208192503926925e-01 2.131858846968974486e-01
6.471033763018672058e-01 1.275092394804337725e-01
6.533859333533416081e-01 1.312313092810194481e-01
6.596684904048160103e-01 1.618082425103163358e-01
6.659510474562904125e-01 1.698467453988576903e-01
6.722336045077649258e-01 2.180873724966062577e-01
6.785161615592393280e-01 1.900693964535531411e-01
6.847987186107137303e-01 1.634296387871478906e-01
6.910812756621882436e-01 1.447481286869991557e-01
6.973638327136626458e-01 1.950363128113540012e-01
7.036463897651371591e-01 2.625174613721790173e-01
7.099289468166115613e-01 1.427844822319174201e-01
7.162115038680860746e-01 2.321905020613224679e-01
7.224940609195604768e-01 1.215785344048281175e-01
7.287766179710348791e-01 1.916113616989942869e-01
7.350591750225093923e-01 2.062579015760155343e-01
7.413417320739837946e-01 2.466855186827286994e-01
7.476242891254581968e-01 2.440247729162602630e-01
7.539068461769327101e-01 1.632495762178562682e-01
7.601894032284071123e-01 1.767882417826076302e-01
7.664719602798815146e-01 1.611153496550298270e-01
7.727545173313559168e-01 1.685954786093244728e-01
7.790370743828304301e-01 1.554038139614609959e-01
7.853196314343048323e-01 1.795273118793130340e-01
7.916021884857792346e-01 2.734267476406084252e-01
7.978847455372537478e-01 2.697794994191259899e-01
