# Spinless fermions Hamiltonian with random disorder and nearest neighbour interactions
# L=12 (size), J=0.5 (hoping amplitude), V=0.5 (interaction), W/J=6 (disorder strength), N=200 (disorder realizations), T=500 (number of trajectories)
# Spectral function S(omega) as a function of omega (for fTWA method)
# omega/J, S(omega)

0.000000000000000000e+00 5.944003100892828115e+02
6.283185307179531970e-03 1.590264680287421584e+01
1.256637061435906394e-02 7.257854363809947529e+00
1.884955592153859591e-02 4.650593789090806673e+00
2.513274122871812788e-02 3.182361740220754687e+00
3.141592653589765638e-02 2.451144914947838593e+00
3.769911184307719182e-02 2.036688919207934934e+00
4.398229715025672032e-02 1.726653150990860919e+00
5.026548245743625576e-02 1.503216801332948771e+00
5.654866776461578426e-02 1.255954697766818340e+00
6.283185307179531276e-02 1.317581338435355187e+00
6.911503837897485514e-02 1.103058467493940542e+00
7.539822368615438364e-02 1.064845741917209043e+00
8.168140899333391214e-02 8.695405523560408856e-01
8.796459430051344064e-02 9.354968295152077395e-01
9.424777960769298302e-02 7.731535176417861921e-01
1.005309649148725115e-01 8.086882384486656639e-01
1.068141502220520400e-01 7.709377557750555221e-01
1.130973355292315685e-01 7.190374063511589808e-01
1.193805208364111109e-01 6.991968936847777760e-01
1.256637061435906255e-01 6.964091695249192693e-01
1.319468914507701540e-01 6.324571541621319959e-01
1.382300767579497103e-01 6.246297487307417295e-01
1.445132620651292388e-01 5.435005351266742890e-01
1.507964473723087673e-01 5.757423079369137220e-01
1.570796326794882958e-01 6.253168649535837398e-01
1.633628179866678243e-01 6.377293333375576578e-01
1.696460032938473528e-01 4.825805102537039093e-01
1.759291886010268813e-01 5.114755533930657183e-01
1.822123739082064098e-01 5.230306979741284890e-01
1.884955592153859660e-01 5.455536143322684550e-01
1.947787445225654945e-01 4.411719464229530985e-01
2.010619298297450230e-01 4.861322737643454239e-01
2.073451151369245793e-01 4.535348917504595789e-01
2.136283004441040800e-01 4.696779490598142481e-01
2.199114857512836085e-01 4.180214207647730551e-01
2.261946710584631370e-01 4.370613206536138051e-01
2.324778563656426655e-01 3.885918412377967757e-01
2.387610416728222218e-01 4.063692496006217070e-01
2.450442269800017225e-01 3.947125695199115714e-01
2.513274122871812510e-01 4.101484984521105437e-01
2.576105975943608350e-01 4.087698098424941140e-01
2.638937829015403080e-01 4.062211597648186512e-01
2.701769682087198921e-01 3.429709721192316652e-01
2.764601535158994206e-01 4.046283679593455918e-01
2.827433388230789491e-01 4.025886789138053978e-01
2.890265241302584776e-01 3.634159128205180500e-01
2.953097094374380061e-01 3.664287002216563005e-01
3.015928947446175346e-01 3.961704035419881809e-01
3.078760800517970631e-01 3.675691334193207371e-01
3.141592653589765916e-01 3.482367749539596047e-01
3.204424506661561201e-01 3.690688243531109469e-01
3.267256359733356486e-01 3.414809651993757633e-01
3.330088212805151771e-01 3.526579718050220635e-01
3.392920065876947056e-01 3.349335617135544285e-01
3.455751918948742341e-01 3.546722681763453955e-01
3.518583772020537626e-01 3.455581658442237192e-01
3.581415625092333466e-01 3.190711835986333456e-01
3.644247478164128196e-01 3.447664959257790152e-01
3.707079331235924036e-01 3.398152201854842125e-01
3.769911184307719321e-01 3.072458649957794941e-01
3.832743037379514606e-01 3.460882235540578278e-01
3.895574890451309891e-01 3.153488342054450722e-01
3.958406743523105176e-01 3.328792115114502792e-01
4.021238596594900461e-01 3.047915931256047206e-01
4.084070449666695191e-01 3.051332656843873115e-01
4.146902302738491586e-01 3.375503211847096230e-01
4.209734155810286316e-01 3.286306182868754533e-01
4.272566008882081601e-01 3.408571854624784514e-01
4.335397861953877441e-01 3.474872526300440412e-01
4.398229715025672171e-01 3.132834989873140019e-01
4.461061568097467456e-01 3.369084087496993507e-01
4.523893421169262741e-01 3.459714313994349810e-01
4.586725274241058581e-01 3.393970621580471581e-01
4.649557127312853311e-01 2.979981399605761139e-01
4.712388980384648596e-01 3.327506756486571793e-01
4.775220833456444436e-01 2.896574722978926264e-01
4.838052686528239721e-01 3.086033091222064595e-01
4.900884539600034451e-01 3.464011540369228426e-01
4.963716392671830291e-01 3.190117037006860445e-01
5.026548245743625021e-01 3.314659589003829399e-01
5.089380098815420306e-01 3.137246221879620989e-01
5.152211951887216701e-01 3.300815011220130657e-01
5.215043804959011986e-01 2.800165706407108379e-01
5.277875658030806161e-01 3.210056243821649558e-01
5.340707511102602556e-01 3.404612687536545668e-01
5.403539364174397841e-01 3.431679792169368692e-01
5.466371217246192016e-01 3.359534527074636845e-01
5.529203070317988411e-01 3.136734157263242895e-01
5.592034923389783696e-01 3.550179240065798325e-01
5.654866776461578981e-01 3.357679135767689393e-01
5.717698629533373156e-01 3.572849992641290995e-01
5.780530482605169551e-01 3.337575400588007613e-01
5.843362335676964836e-01 3.554130618776087380e-01
5.906194188748760121e-01 3.078667564808263979e-01
5.969026041820555406e-01 3.676355782129372418e-01
