# Spinless fermions Hamiltonian with random disorder and nearest neighbour interactions
# L=12 (size), J=0.5 (hoping amplitude), V=0.5 (interaction), W/J=6 (disorder strength), N=200 (disorder realizations)
# Spectral function S(omega) as a function of omega (for Lanczos method)
# omega/J, S(omega)

0.000000000000000000e+00 8.174587972011239572e+02
6.282557051474438672e-03 3.428982302868578191e+00
1.256511410294887734e-02 1.527107923209903406e+00
1.884767115442331428e-02 7.304009906398815088e-01
2.513022820589775469e-02 1.898824951747775103e+00
3.141278525737219163e-02 1.141351958238535191e+00
3.769534230884662857e-02 9.135514837631094620e-01
4.397789936032107244e-02 1.592913425054620191e+00
5.026045641179550938e-02 6.258875565288516407e-01
5.654301346326994632e-02 5.909989997935367612e-01
6.282557051474438325e-02 6.614594962337061457e-01
6.910812756621882713e-02 9.129483099058166573e-01
7.539068461769325713e-02 7.754860678405173235e-01
8.167324166916770101e-02 5.626117138187168853e-01
8.795579872064214488e-02 6.450783708108107639e-01
9.423835577211658876e-02 4.443722336347790680e-01
1.005209128235910188e-01 5.316886154025456390e-01
1.068034698750654488e-01 4.041492958774974276e-01
1.130860269265398926e-01 5.294923094706425193e-01
1.193685839780143226e-01 6.419913351876092023e-01
1.256511410294887665e-01 5.154927713289356728e-01
1.319336980809632243e-01 5.220572381789979621e-01
1.382162551324376543e-01 8.961406305773507164e-01
1.444988121839120843e-01 4.760507589978227871e-01
1.507813692353865143e-01 5.767450233223311296e-01
1.570639262868609720e-01 5.601259314156726843e-01
1.633464833383354020e-01 5.686069535869310299e-01
1.696290403898098320e-01 2.837248807832633002e-01
1.759115974412842898e-01 4.799345668524647168e-01
1.821941544927587198e-01 4.637910033076242944e-01
1.884767115442331775e-01 4.614617825143941809e-01
1.947592685957076075e-01 6.962951800749446196e-01
2.010418256471820375e-01 5.277037532045991686e-01
2.073243826986564675e-01 4.180807365881632487e-01
2.136069397501308975e-01 4.675031551695680299e-01
2.198894968016053553e-01 3.408645832691273858e-01
2.261720538530797853e-01 3.136009312948963013e-01
2.324546109045542153e-01 2.473276503323384168e-01
2.387371679560286453e-01 3.278011313389131431e-01
2.450197250075030753e-01 2.653068312255121852e-01
2.513022820589775330e-01 2.766254741845561305e-01
2.575848391104519908e-01 3.740015499994429060e-01
2.638673961619264485e-01 2.691875727300833687e-01
2.701499532134008508e-01 2.963266210757733443e-01
2.764325102648753085e-01 3.451297775203080453e-01
2.827150673163497663e-01 1.899778562185491237e-01
2.889976243678241685e-01 2.835112945802652495e-01
2.952801814192986263e-01 2.432207876601748531e-01
3.015627384707730285e-01 1.968172611940957883e-01
3.078452955222474863e-01 2.516915889504069970e-01
3.141278525737219440e-01 1.647187725178723139e-01
3.204104096251963463e-01 2.313654841927408334e-01
3.266929666766708040e-01 2.314586866950568700e-01
3.329755237281452063e-01 2.887704491704264353e-01
3.392580807796196640e-01 1.982387670441447813e-01
3.455406378310941218e-01 2.032680290692638614e-01
3.518231948825685795e-01 2.535884016320077428e-01
3.581057519340430373e-01 1.831976245517143165e-01
3.643883089855174395e-01 1.770709709554479927e-01
3.706708660369918973e-01 1.855800857763064693e-01
3.769534230884663550e-01 3.016935314681375435e-01
3.832359801399407573e-01 1.931215962740980285e-01
3.895185371914152150e-01 2.297249266736216267e-01
3.958010942428896173e-01 1.819687215246173773e-01
4.020836512943640750e-01 2.401096093581845947e-01
4.083662083458385328e-01 2.714386182431596239e-01
4.146487653973129350e-01 1.718290682619157406e-01
4.209313224487873928e-01 2.410909696266506086e-01
4.272138795002617950e-01 3.216464726350075631e-01
4.334964365517362528e-01 1.603434311785209565e-01
4.397789936032107105e-01 1.995818460120488413e-01
4.460615506546851128e-01 2.046530515553215968e-01
4.523441077061595705e-01 3.274076258423588293e-01
4.586266647576339728e-01 3.026742598682226060e-01
4.649092218091084305e-01 2.232520084823943485e-01
4.711917788605828883e-01 2.170639565893031642e-01
4.774743359120572905e-01 2.694299357497665914e-01
4.837568929635317483e-01 3.025616229877395869e-01
4.900394500150061505e-01 2.137998322724734557e-01
4.963220070664806083e-01 3.146514110800785469e-01
5.026045641179550660e-01 1.976616044190317723e-01
5.088871211694295793e-01 1.602711432675081593e-01
5.151696782209039815e-01 1.695871099755388300e-01
5.214522352723784948e-01 2.715918055742027049e-01
5.277347923238528971e-01 2.039394085515248145e-01
5.340173493753272993e-01 3.630749214414845105e-01
5.402999064268017015e-01 3.128322532932856226e-01
5.465824634782762148e-01 2.200128583395611348e-01
5.528650205297506171e-01 1.610926699849463128e-01
5.591475775812250193e-01 3.323980246874196909e-01
5.654301346326995326e-01 2.833217967322383957e-01
5.717126916841739348e-01 3.393665885138639204e-01
5.779952487356483370e-01 2.705976849086770830e-01
5.842778057871228503e-01 2.078590357922956433e-01
5.905603628385972526e-01 3.123990021091807012e-01
5.968429198900716548e-01 1.614966074028159060e-01
6.031254769415460570e-01 4.869424903426363693e-01
6.094080339930205703e-01 3.505116751825721466e-01
6.156905910444949726e-01 3.049823041383137312e-01
6.219731480959693748e-01 3.088596984486627894e-01
6.282557051474438881e-01 4.057036241366477336e-01
6.345382621989182903e-01 3.443123178670542406e-01
6.408208192503926925e-01 3.477332620774673533e-01
6.471033763018672058e-01 3.435434344405958185e-01
6.533859333533416081e-01 3.135270610281630232e-01
6.596684904048160103e-01 2.325843324474290430e-01
6.659510474562904125e-01 2.667443131088614305e-01
6.722336045077649258e-01 4.404047664403855089e-01
6.785161615592393280e-01 3.749582089176765609e-01
6.847987186107137303e-01 6.077169663663850585e-01
6.910812756621882436e-01 3.458556625246880789e-01
6.973638327136626458e-01 2.138797830007337086e-01
7.036463897651371591e-01 2.266256499556473791e-01
7.099289468166115613e-01 1.309764573520230402e-01
7.162115038680860746e-01 1.993686246457122002e-01
7.224940609195604768e-01 3.426561642724761936e-01
7.287766179710348791e-01 5.324870813781767964e-01
7.350591750225093923e-01 3.413706554403210802e-01
7.413417320739837946e-01 4.169270868198047819e-01
7.476242891254581968e-01 4.116756636810849912e-01
7.539068461769327101e-01 7.308239875457709367e-01
7.601894032284071123e-01 5.650495038819774996e-01
7.664719602798815146e-01 2.231855430522009520e-01
7.727545173313559168e-01 1.747566947205982102e-01
7.790370743828304301e-01 2.210648054808356244e-01
7.853196314343048323e-01 1.971308792237091989e-01
7.916021884857792346e-01 5.432803313424500180e-01
7.978847455372537478e-01 6.783528114416652599e-01
8.041673025887281501e-01 9.859165796945673632e-01
8.104498596402025523e-01 7.273165782714872130e-01
8.167324166916770656e-01 5.489206536187759555e-01
8.230149737431514678e-01 6.530543103392441040e-01
8.292975307946258701e-01 9.057054552525141133e-01
8.355800878461002723e-01 9.011540300099609713e-01
8.418626448975747856e-01 3.100553076710211853e-01
8.481452019490491878e-01 7.876255428258708280e-01
8.544277590005235901e-01 8.892392042432256671e-01
8.607103160519981033e-01 6.236591099774598801e-01
8.669928731034725056e-01 1.037395086040855174e+00
8.732754301549469078e-01 9.211044897580009660e-01
8.795579872064214211e-01 1.714966933523324188e+00
8.858405442578958233e-01 8.781472570085363527e-01
8.921231013093702256e-01 1.800663360243853095e+00
8.984056583608446278e-01 9.362538674350746604e-01
9.046882154123191411e-01 2.256178045015482247e+00
9.109707724637935433e-01 1.870908778450413257e+00
9.172533295152679456e-01 2.123899867283306264e+00
9.235358865667424588e-01 1.363781388912838510e+00
9.298184436182168611e-01 1.766501166566406766e+00
9.361010006696912633e-01 3.024026078374518089e+00
9.423835577211657766e-01 1.426470140444321633e+00
9.486661147726401788e-01 7.988600131395142689e-01
9.549486718241145811e-01 1.552922610519460234e+00
9.612312288755890943e-01 2.248444159449522584e+00
9.675137859270634966e-01 1.774148862547827221e+00
9.737963429785378988e-01 1.485077144041758501e+00
9.800789000300123011e-01 2.412888365620006415e+00
9.863614570814868143e-01 3.289739250896412059e+00
9.926440141329612166e-01 2.378848028609908294e+00
9.989265711844356188e-01 2.325604558409676503e+00
1.005209128235910132e+00 2.254298978286678246e+00
1.011491685287384756e+00 2.291654737345112824e+00
1.017774242338859159e+00 2.045657833002276327e+00
1.024056799390333561e+00 1.766383238096971953e+00
1.030339356441807963e+00 2.223568057518002128e+00
1.036621913493282365e+00 2.201914161621597810e+00
1.042904470544756990e+00 1.329928967509003801e+00
1.049187027596231392e+00 1.069834637461354543e+00
1.055469584647705794e+00 2.011804525301805757e+00
1.061752141699180196e+00 1.803711123095125934e+00
1.068034698750654599e+00 2.807288206667709396e+00
1.074317255802129001e+00 1.653434738188813924e+00
1.080599812853603403e+00 1.816728038523067967e+00
1.086882369905078027e+00 7.399305105270701510e-01
1.093164926956552430e+00 1.354117745375560178e+00
1.099447484008026832e+00 2.152454597742301967e+00
1.105730041059501234e+00 1.781442799823158341e+00
1.112012598110975636e+00 2.125836676609267784e+00
1.118295155162450039e+00 1.161481048521489257e+00
1.124577712213924441e+00 1.368536889933215095e+00
1.130860269265399065e+00 1.082960043540522888e+00
1.137142826316873467e+00 8.790969368961530916e-01
1.143425383368347870e+00 2.067039785748603808e+00
1.149707940419822272e+00 4.692636261943947673e-01
1.155990497471296674e+00 1.543145568241064414e+00
