# Spinless fermions Hamiltonian with random disorder and nearest neighbour interactions
# L=8x8 (size), J=0.5 (hoping amplitude), V=0.5 (interaction), W/J=10 (disorder strength), N=30 (disorder realizations), T=25 (number of trajectories)
# Spectral function S(omega) as a function of omega (for fTWA method)
# omega/J, S(omega)

0.000000000000000000e+00 4.417750977138584858e+02
1.256637061435917236e-03 1.198737015997483013e+02
2.513274122871834472e-03 7.923727021699227180e+01
3.769911184307752142e-03 6.084986976747976684e+01
5.026548245743668944e-03 5.127204464672314543e+01
6.283185307179586614e-03 4.031402347595951596e+01
7.539822368615504283e-03 3.807744503569858807e+01
8.796459430051421086e-03 3.153221357951753134e+01
1.005309649148733789e-02 2.757084275302269916e+01
1.130973355292325642e-02 2.397028752970213716e+01
1.256637061435917323e-02 2.120652411200484622e+01
1.382300767579509003e-02 1.842613495422325443e+01
1.507964473723100857e-02 1.868975133179121073e+01
1.633628179866692537e-02 1.733539744248028214e+01
1.759291886010284217e-02 1.873088841485197165e+01
1.884955592153875897e-02 1.548836592180140137e+01
2.010619298297467578e-02 1.504601330046830299e+01
2.136283004441059605e-02 1.125464471469393324e+01
2.261946710584651285e-02 1.180291226759103296e+01
2.387610416728242618e-02 1.246787743384886227e+01
2.513274122871834645e-02 1.004530767586337880e+01
2.638937829015426673e-02 1.191288706796077435e+01
2.764601535159018006e-02 9.717333330513453049e+00
2.890265241302609686e-02 9.085496936544766200e+00
3.015928947446201713e-02 8.807907295665778236e+00
3.141592653589793394e-02 8.359531152099364704e+00
3.267256359733385074e-02 7.956368691142232663e+00
3.392920065876976754e-02 7.641145261692819268e+00
3.518583772020568434e-02 8.114315970994395499e+00
3.644247478164160114e-02 6.604812081491177267e+00
3.769911184307751795e-02 7.023546106903980402e+00
3.895574890451344169e-02 5.660727214002556629e+00
4.021238596594935155e-02 6.613378077784958009e+00
4.146902302738526835e-02 6.546566505209838738e+00
4.272566008882119210e-02 6.851035451598531445e+00
4.398229715025710196e-02 5.374659737320782504e+00
4.523893421169302570e-02 6.865715288511744063e+00
4.649557127312894250e-02 4.847800837555370279e+00
4.775220833456485237e-02 6.629330593584782605e+00
4.900884539600077611e-02 6.447852260505342770e+00
5.026548245743669291e-02 5.422033121879088924e+00
5.152211951887260971e-02 4.219961545210407117e+00
5.277875658030853345e-02 4.806755449804075653e+00
5.403539364174444332e-02 4.680100791302936436e+00
5.529203070318036012e-02 5.555026119142670638e+00
5.654866776461628386e-02 5.000537347810031008e+00
5.780530482605219372e-02 5.538021052528957711e+00
5.906194188748811053e-02 3.305489122684384551e+00
6.031857894892403427e-02 4.266162996754753856e+00
6.157521601035994413e-02 5.450809392575876267e+00
6.283185307179586787e-02 3.730925345078798472e+00
6.408849013323178467e-02 5.069729585083533330e+00
6.534512719466770148e-02 4.291005515920935487e+00
6.660176425610361828e-02 3.479434126605737365e+00
6.785840131753953508e-02 4.271538041952275933e+00
6.911503837897545188e-02 3.344597603577720957e+00
7.037167544041136868e-02 4.496587062473724750e+00
7.162831250184728549e-02 4.111072192807887937e+00
7.288494956328320229e-02 4.149129316598879846e+00
7.414158662471911909e-02 3.733960403022325902e+00
7.539822368615503589e-02 2.455150162521162027e+00
7.665486074759095270e-02 2.630564621523795665e+00
7.791149780902688338e-02 4.131543479920877004e+00
7.916813487046278630e-02 3.348256022980214741e+00
8.042477193189870310e-02 3.277980131355056059e+00
8.168140899333463378e-02 3.359618767649311000e+00
8.293804605477053671e-02 4.078156777800034938e+00
8.419468311620645351e-02 3.003620132777179652e+00
8.545132017764238419e-02 2.644675463259583026e+00
8.670795723907830099e-02 2.704871581547438453e+00
8.796459430051420392e-02 2.560363350788762205e+00
8.922123136195013460e-02 2.310186973968448410e+00
9.047786842338605140e-02 2.991520054151308283e+00
9.173450548482195432e-02 3.029549919681481018e+00
9.299114254625788500e-02 2.591261317990133151e+00
9.424777960769380181e-02 2.715111103260168246e+00
9.550441666912970473e-02 2.507666534651644241e+00
9.676105373056563541e-02 2.703254147188219658e+00
9.801769079200155221e-02 2.679835258595132164e+00
9.927432785343746902e-02 2.511110103168863628e+00
1.005309649148733858e-01 2.763652962426033532e+00
1.017876019763092887e-01 2.281624159850585531e+00
1.030442390377452194e-01 2.369929392095412535e+00
1.043008760991811362e-01 1.339654242208945023e+00
1.055575131606170669e-01 2.234978555864543193e+00
1.068141502220529698e-01 2.348826699874181578e+00
1.080707872834888866e-01 2.525774197591724501e+00
1.093274243449248173e-01 1.733233730020312224e+00
1.105840614063607202e-01 1.872631231231901117e+00
1.118406984677966370e-01 1.467453550542074936e+00
1.130973355292325677e-01 1.963287661258610983e+00
1.143539725906684706e-01 1.761568037430996103e+00
1.156106096521043874e-01 2.232619172877222891e+00
1.168672467135403181e-01 1.296616487474856916e+00
1.181238837749762211e-01 2.372097965772591799e+00
1.193805208364121379e-01 1.909024575066716967e+00
1.206371578978480685e-01 1.856731647815210939e+00
1.218937949592839715e-01 1.564596874714692554e+00
1.231504320207198883e-01 1.932651469381462483e+00
1.244070690821558189e-01 1.096094458274789352e+00
1.256637061435917357e-01 1.680807723583708224e+00
1.269203432050276525e-01 2.432808938607155191e+00
1.281769802664635693e-01 1.525468560882303315e+00
1.294336173278994861e-01 1.373558116334829826e+00
1.306902543893354030e-01 2.151084210069614588e+00
1.319468914507713198e-01 2.192023809429529901e+00
1.332035285122072366e-01 1.353892176573535000e+00
1.344601655736431534e-01 1.128003969127695738e+00
1.357168026350790702e-01 1.197254829330908876e+00
1.369734396965149870e-01 1.784530091092881410e+00
1.382300767579509038e-01 1.501969102361944808e+00
1.394867138193868206e-01 2.430519125125390367e+00
1.407433508808227374e-01 1.021189284402881592e+00
1.419999879422586542e-01 1.382597532740651003e+00
1.432566250036945710e-01 2.415941558726677929e+00
1.445132620651304878e-01 1.114450361973488235e+00
1.457698991265664046e-01 1.742437537924178770e+00
1.470265361880023214e-01 1.710457582188058767e+00
1.482831732494382382e-01 1.370273376973645929e+00
1.495398103108741550e-01 2.336164326889350829e+00
1.507964473723100718e-01 1.743007742530576998e+00
1.520530844337460163e-01 1.910530410350355979e+00
